"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"adhP","","ethanol dehydrogenase / alcohol dehydrogenase","1","637","28","2","3.44827586207","0.312989045383","0.000112132765194","5.48493847492e-46","1.22374462314e-41","1.22374462314e-41"
"group_7104","adhP","ethanol dehydrogenase / alcohol dehydrogenase","28","3","1","636","96.5517241379","99.5305164319","5936.0","5.65919336566e-45","1.26262263181e-40","6.31311315906e-41"
"dosP","","c-di-GMP phosphodiesterase, heme-regulated","0","630","29","9","0.0","1.40845070423","0.0","3.22131725067e-43","7.18708091797e-39","2.39569363932e-39"
"group_13417","","hypothetical protein","29","10","0","629","100.0","98.4350547731","inf","1.25631372776e-42","2.80296155801e-38","7.00740389502e-39"
"group_11050","","hypothetical protein","29","12","0","627","100.0","98.1220657277","inf","1.56087463146e-41","3.48246739025e-37","5.80411231709e-38"
"group_11049","","hypothetical protein","29","12","0","627","100.0","98.1220657277","inf","1.56087463146e-41","3.48246739025e-37","5.80411231709e-38"
"group_11047","","hypothetical protein","29","15","0","624","100.0","97.6525821596","inf","4.54334585035e-40","1.01366589267e-35","1.44809413239e-36"
"group_11048","","hypothetical protein","29","16","0","623","100.0","97.4960876369","inf","1.27781602041e-39","2.85093532314e-35","3.56366915392e-36"
"group_13418","","hypothetical protein","29","17","0","622","100.0","97.3395931142","inf","3.45761981993e-39","7.71429558025e-35","7.71429558025e-36"
"group_13416","","hypothetical protein","29","17","0","622","100.0","97.3395931142","inf","3.45761981993e-39","7.71429558025e-35","7.71429558025e-36"
"dosP_2","","c-di-GMP phosphodiesterase, heme-regulated","29","19","0","620","100.0","97.0266040689","inf","2.28081588122e-38","5.08872831259e-34","3.9144063943e-35"
"group_7868","","hypothetical protein","29","19","0","620","100.0","97.0266040689","inf","2.28081588122e-38","5.08872831259e-34","3.9144063943e-35"
"yhjY_2","","putative lipase","29","19","0","620","100.0","97.0266040689","inf","2.28081588122e-38","5.08872831259e-34","3.9144063943e-35"
"group_9296","","hypothetical protein","29","20","0","619","100.0","96.8701095462","inf","5.58799890899e-38","1.24673843658e-33","8.90527454703e-35"
"group_13645","","hypothetical protein","23","0","6","639","79.3103448276","100.0","inf","1.93068744155e-37","4.30755675083e-33","2.15377837542e-34"
"group_11206","","hypothetical protein","23","0","6","639","79.3103448276","100.0","inf","1.93068744155e-37","4.30755675083e-33","2.15377837542e-34"
"group_13644","","hypothetical protein","23","0","6","639","79.3103448276","100.0","inf","1.93068744155e-37","4.30755675083e-33","2.15377837542e-34"
"group_13641","rop","Regulatory protein rop","23","0","6","639","79.3103448276","100.0","inf","1.93068744155e-37","4.30755675083e-33","2.15377837542e-34"
"group_13643","","hypothetical protein","23","0","6","639","79.3103448276","100.0","inf","1.93068744155e-37","4.30755675083e-33","2.15377837542e-34"
"group_13642","","hypothetical protein","23","0","6","639","79.3103448276","100.0","inf","1.93068744155e-37","4.30755675083e-33","2.15377837542e-34"
"group_13447","","hypothetical protein","27","11","2","628","93.1034482759","98.2785602504","770.727272727","4.71737605057e-37","1.05249377064e-32","4.38539071101e-34"
"group_13446","","hypothetical protein","27","11","2","628","93.1034482759","98.2785602504","770.727272727","4.71737605057e-37","1.05249377064e-32","4.38539071101e-34"
"group_13445","","hypothetical protein","27","11","2","628","93.1034482759","98.2785602504","770.727272727","4.71737605057e-37","1.05249377064e-32","4.38539071101e-34"
"group_11060","","hypothetical protein","27","11","2","628","93.1034482759","98.2785602504","770.727272727","4.71737605057e-37","1.05249377064e-32","4.38539071101e-34"
"rusA_2","","endodeoxyribonuclease RUS (Holliday junction resolvase)","0","611","29","28","0.0","4.38184663537","0.0","2.97083705972e-35","6.62823456394e-31","2.65129382558e-32"
"ybcQ_2","","DLP12 prophage; predicted antitermination protein","29","29","0","610","100.0","95.4616588419","inf","5.94167411944e-35","1.32564691279e-30","5.09864197226e-32"
"group_11063","","hypothetical protein","27","16","2","623","93.1034482759","97.4960876369","525.65625","1.02373869694e-34","2.28406340674e-30","8.45949409902e-32"
"group_6827","intS_1","CPS-53 (KpLE1) prophage; prophage CPS-53 integrase","29","31","0","608","100.0","95.1486697966","inf","2.26166950353e-34","5.04601082932e-30","1.80214672476e-31"
"group_13448","","hypothetical protein","27","17","2","622","93.1034482759","97.3395931142","493.941176471","2.64150822604e-34","5.89346900311e-30","1.9644896677e-31"
"group_594","","hypothetical protein","27","17","2","622","93.1034482759","97.3395931142","493.941176471","2.64150822604e-34","5.89346900311e-30","1.9644896677e-31"
"group_12449","","hypothetical protein","0","603","29","36","0.0","5.6338028169","0.0","4.95531385073e-33","1.10558007324e-28","3.56638733302e-30"
"group_11061","","hypothetical protein","25","11","4","628","86.2068965517","98.2785602504","356.818181818","7.83869868156e-33","1.74889206284e-28","5.46528769638e-30"
"ylcG","","DLP12 prophage; small protein","0","600","29","39","0.0","6.10328638498","0.0","2.71737070733e-32","6.06272578513e-28","1.83718963186e-29"
"group_4971","","hypothetical protein","0","598","29","41","0.0","6.41627543036","0.0","8.00298811977e-32","1.7855466794e-27","5.2434105655e-29"
"group_11052","","hypothetical protein","26","18","3","621","89.6551724138","97.1830985915","299.0","8.22551072531e-32","1.83519369792e-27","5.2434105655e-29"
"group_11062","","hypothetical protein","27","28","2","611","93.1034482759","95.6181533646","294.589285714","1.42224029199e-30","3.17316031545e-26","8.81433420959e-28"
"ybcQ","","DLP12 prophage; predicted antitermination protein","0","591","29","48","0.0","7.5117370892","0.0","2.61386597068e-30","5.83179636718e-26","1.57616118032e-27"
"group_3529","garD_1","galactarate dehydratase","28","39","1","600","96.5517241379","93.896713615","430.769230769","6.98044581114e-30","1.55740726492e-25","4.09844017085e-27"
"group_4264","ycfT","putative transport protein","28","43","1","596","96.5517241379","93.2707355243","388.093023256","5.46062579639e-29","1.21832022143e-24","3.12389800367e-26"
"group_11053","","hypothetical protein","29","55","0","584","100.0","91.392801252","inf","5.83417326077e-29","1.30166239621e-24","3.25415599053e-26"
"yshB","","small predicted membrane protein","0","582","29","57","0.0","8.92018779343","0.0","1.33608416467e-28","2.9809373798e-24","7.27057897511e-26"
"yhjH_1","","c-di-GMP phosphodiesterase","29","59","0","580","100.0","90.7668231612","inf","2.98920524977e-28","6.66921583276e-24","1.44982952886e-25"
"group_11065","","hypothetical protein","29","59","0","580","100.0","90.7668231612","inf","2.98920524977e-28","6.66921583276e-24","1.44982952886e-25"
"group_13454","","hypothetical protein","29","59","0","580","100.0","90.7668231612","inf","2.98920524977e-28","6.66921583276e-24","1.44982952886e-25"
"group_13455","hsdM","host modification; DNA methylase M","29","59","0","580","100.0","90.7668231612","inf","2.98920524977e-28","6.66921583276e-24","1.44982952886e-25"
"group_13456","","hypothetical protein","29","59","0","580","100.0","90.7668231612","inf","2.98920524977e-28","6.66921583276e-24","1.44982952886e-25"
"qor","","quinone oxidoreductase","0","578","29","61","0.0","9.54616588419","0.0","6.54194919417e-28","1.45957428471e-23","3.10547720151e-25"
"yhjE","","YhjE MFS transporter","1","590","28","49","3.44827586207","7.66823161189","0.00296610169492","9.1688016947e-28","2.04565134611e-23","4.09130269221e-25"
"garR","","tartronate semialdehyde reductase","1","590","28","49","3.44827586207","7.66823161189","0.00296610169492","9.1688016947e-28","2.04565134611e-23","4.09130269221e-25"
"group_6413","aslB","putative anaerobic sulfatase maturation enzyme","28","49","1","590","96.5517241379","92.3317683881","337.142857143","9.1688016947e-28","2.04565134611e-23","4.09130269221e-25"
"group_8736","qor","quinone oxidoreductase","29","63","0","576","100.0","90.1408450704","inf","1.40218122513e-27","3.12840653139e-23","6.01135371702e-25"
"group_8905","garR","tartronate semialdehyde reductase","28","50","1","589","96.5517241379","92.1752738654","329.84","1.42800298957e-27","3.18601747002e-23","6.01135371702e-25"
"group_8846","yhjE","YhjE MFS transporter","28","50","1","589","96.5517241379","92.1752738654","329.84","1.42800298957e-27","3.18601747002e-23","6.01135371702e-25"
"group_5653","symE","toxin-like protein of the SOS response","29","64","0","575","100.0","89.9843505477","inf","2.03754459277e-27","4.54596574092e-23","8.41845507578e-25"
"group_10122","","hypothetical protein","0","574","29","65","0.0","10.172143975","0.0","2.94660294954e-27","6.57416584072e-23","1.17395818584e-24"
"group_4553","","hypothetical protein","0","574","29","65","0.0","10.172143975","0.0","2.94660294954e-27","6.57416584072e-23","1.17395818584e-24"
"group_13433","","hypothetical protein","25","27","4","612","86.2068965517","95.7746478873","141.666666667","5.64488364194e-27","1.25942998935e-22","2.17143101613e-24"
"group_13434","","hypothetical protein","25","27","4","612","86.2068965517","95.7746478873","141.666666667","5.64488364194e-27","1.25942998935e-22","2.17143101613e-24"
