"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_13744","","hypothetical protein","2","48","512","106","0.389105058366","68.8311688312","0.00862630208333","3.32314371483e-31","7.41426594216e-27","3.70713297108e-27"
"group_13738","","hypothetical protein","2","48","512","106","0.389105058366","68.8311688312","0.00862630208333","3.32314371483e-31","7.41426594216e-27","3.70713297108e-27"
"ybjH","","putative protein","511","106","3","48","99.4163424125","31.1688311688","77.1320754717","4.70037207218e-30","1.04870001303e-25","4.99380958583e-27"
"fliC","","Flagellin","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13748","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13749","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13745","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13746","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13740","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_11245","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_11244","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_11242","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_11241","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_11240","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13735","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13739","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13752","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13751","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13750","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_11239","","hypothetical protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13893","ybjH","putative protein","3","48","511","106","0.583657587549","68.8311688312","0.0129647749511","4.70037207219e-30","1.04870001303e-25","4.99380958583e-27"
"group_13742","","hypothetical protein","3","47","511","107","0.583657587549","69.4805194805","0.0133655327476","2.55609093157e-29","5.70289447743e-25","2.59222476247e-26"
"group_11243","","hypothetical protein","2","45","512","109","0.389105058366","70.7792207792","0.00946180555556","5.55300171169e-29","1.23893021189e-24","5.16220921623e-26"
"group_13737","","hypothetical protein","2","45","512","109","0.389105058366","70.7792207792","0.00946180555556","5.55300171169e-29","1.23893021189e-24","5.16220921623e-26"
"group_6751","fepC_2","ferric enterobactin ABC transporter - ATP binding subunit","373","36","141","118","72.5680933852","76.6233766234","8.67100078802","1.07226065549e-27","2.39232074846e-23","9.20123364792e-25"
