"","name","SEQUENCE","START","END","STRAND","GENE","COVERAGE","COVERAGE_MAP","GAPS","perc_coverage","perc_identity","DATABASE","ACCESSION","PRODUCT","RESISTANCE","gene_present"
"1","AVC171","1","2223197","2223445","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"2","AVC171","1","2223896","2224142","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"3","ESC_BA8511AA_AS","NODE_9_length_195740_cov_6.73687_ID_17","32758","33006","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"4","ESC_BA8511AA_AS","NODE_9_length_195740_cov_6.73687_ID_17","33457","33703","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"5","ESC_GA5350AA_AS","NODE_30_length_52899_cov_9.40899_ID_59","353","599","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"6","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_40_length_14261_cov_5.103180","524","772","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"7","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_8_length_250605_cov_5.466111","128","374","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"8","ESC_HA6332AA_AS","NODE_14_length_141693_cov_11.2001_ID_27","100897","101145","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"9","ESC_HA6332AA_AS","NODE_14_length_141693_cov_11.2001_ID_27","101596","101842","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"10","ESC_HA6342AA_AS","NODE_5_length_352179_cov_11.3852_ID_9","100897","101145","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"11","ESC_HA6342AA_AS","NODE_5_length_352179_cov_11.3852_ID_9","101596","101842","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"12","ESC_HA6411AA_AS","NODE_5_length_352220_cov_13.9339_ID_9","250381","250627","+","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"13","ESC_HA6411AA_AS","NODE_5_length_352220_cov_13.9339_ID_9","251078","251326","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"14","ESC_HA6413AA_AS","NODE_5_length_356832_cov_11.7128_ID_9","254991","255237","+","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"15","ESC_HA6413AA_AS","NODE_5_length_356832_cov_11.7128_ID_9","255688","255936","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"16","ESC_HA6418AA_AS","NODE_5_length_352175_cov_13.1734_ID_9","250336","250582","+","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"17","ESC_HA6418AA_AS","NODE_5_length_352175_cov_13.1734_ID_9","251033","251281","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"18","ESC_HA6420AA_AS","NODE_5_length_264647_cov_13.0886_ID_9","13471","13719","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"19","ESC_HA6420AA_AS","NODE_5_length_264647_cov_13.0886_ID_9","14170","14416","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"20","ESC_HB8007AA_AS","ESC_HB8007AA_AS_NODE_44_length_38923_cov_39.740618","35624","35872","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"21","ESC_HB8007AA_AS","ESC_HB8007AA_AS_NODE_44_length_38923_cov_39.740618","36323","36569","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"22","ESC_IA0811AA_AS","NODE_119_length_571_cov_8.53099","419","570","-","EC_custom_Feb_2020_ompT_HM210637.1","793-944/954","............===","0/0",15.93,76.97,"EC_custom_Feb_2020",NA,"ompT_HM210637.1",NA,1
"23","ESC_IA0811AA_AS","NODE_5_length_352220_cov_9.72744","250381","250627","+","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"24","ESC_IA0811AA_AS","NODE_5_length_352220_cov_9.72744","251078","251326","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"25","ESC_IA0811AA_AS","NODE_81_length_2185_cov_10.3975","2","153","+","EC_custom_Feb_2020_ompT_HM210637.1","793-944/954","............===","0/0",15.93,75.66,"EC_custom_Feb_2020",NA,"ompT_HM210637.1",NA,1
"26","ESC_IA3651AA_AS","NODE_6_length_279274_cov_7.71897","101291","101539","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"27","ESC_IA3651AA_AS","NODE_6_length_279274_cov_7.71897","101990","102236","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"28","ESC_LA1124AA_AS","NODE_4_length_352373_cov_9.85506","101157","101405","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"29","ESC_LA1124AA_AS","NODE_4_length_352373_cov_9.85506","101856","102102","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"30","ESC_LA2840AA_AS","NODE_12_length_126481_cov_3.55505","34967","35215","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"31","ESC_LA2840AA_AS","NODE_12_length_126481_cov_3.55505","35666","35912","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"32","ESC_LA2848AA_AS","NODE_8_length_264410_cov_3.84481","162545","162791","+","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"33","ESC_LA2848AA_AS","NODE_8_length_264410_cov_3.84481","163242","163490","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"34","ESC_LB6278AA_AS","ESC_LB6278AA_AS_NODE_12_length_133585_cov_12.018058","119130","119376","+","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"35","ESC_LB6278AA_AS","ESC_LB6278AA_AS_NODE_12_length_133585_cov_12.018058","119827","120075","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"36","ESC_LB6279AA_AS","ESC_LB6279AA_AS_NODE_22_length_104859_cov_14.024701","90405","90651","+","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"37","ESC_LB6279AA_AS","ESC_LB6279AA_AS_NODE_22_length_104859_cov_14.024701","91102","91350","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"38","ESC_MA2736AA_AS","NODE_5_length_352479_cov_5.62872","101277","101525","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"39","ESC_MA2736AA_AS","NODE_5_length_352479_cov_5.62872","101976","102222","-","EC_custom_Feb_2020_usp_AB056439","793-1040/1041","......../..====","1/1",23.73,83.87,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"40","ESC_NA3971AA_AS","NODE_209_length_2507_cov_7.68109","2255","2503","+","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"41","ESC_NA3973AA_AS","NODE_84_length_16861_cov_9.82449","13511","13759","-","EC_custom_Feb_2020_usp_AB056439","793-1041/1041","...........====","0/0",23.92,86.34,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
