#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_10_length_223414_cov_5.397276	1	110	-	IS10L:J01829	1-110/1329	==.............	0/0	8.28	97.27	ISfinder_Feb_2020		IS10L:J01829	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_118_length_470_cov_13.629526	1	107	+	IS10L:J01829	1223-1329/1329	.............==	0/0	8.05	98.13	ISfinder_Feb_2020		IS10L:J01829	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_11_length_167823_cov_5.148016	1	111	-	IS10L:J01829	1-111/1329	==.............	0/0	8.35	97.30	ISfinder_Feb_2020		IS10L:J01829	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_14_length_129299_cov_5.372349	58732	58820	+	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_15_length_120735_cov_5.525244	76872	76994	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_15_length_120735_cov_5.525244	88784	88874	+	IS621:NC_009800	1335-1425/1425	..............=	0/0	6.39	87.91	ISfinder_Feb_2020		IS621:NC_009800	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_16_length_114944_cov_5.326875	112047	113330	-	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_16_length_114944_cov_5.326875	113339	114769	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_19_length_87556_cov_5.479604	1	88	-	IS10L:J01829	1-88/1329	=..............	0/0	6.62	97.73	ISfinder_Feb_2020		IS10L:J01829	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_1_length_633050_cov_5.292102	204839	204961	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_20_length_84593_cov_5.403411	1	436	+	IS4:J01733	548-983/1426	.....======....	0/0	30.58	97.71	ISfinder_Feb_2020		IS4:J01733	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_20_length_84593_cov_5.403411	426	598	+	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	29	836	+	ISKpn28:NC_009649	290-1096/1096	...=====/======	1/1	73.63	76.48	ISfinder_Feb_2020		ISKpn28:NC_009649	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	836	954	-	ISEc13:DQ388534	1-124/1550	==....../......	1/5	7.68	91.94	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	62994	64173	+	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	68795	68979	-	IS1S:M37615	584-768/768	...........====	0/0	24.09	99.46	ISfinder_Feb_2020		IS1S:M37615	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_23_length_55577_cov_5.131342	55471	55576	+	IS10L:J01829	1-106/1329	==.............	0/0	7.98	98.11	ISfinder_Feb_2020		IS10L:J01829	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	9734	11043	+	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	17094	17369	+	ISEc13:DQ388534	1276-1550/1550	......../...===	1/1	17.74	94.93	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	24099	25410	-	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.28	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	34701	34950	+	IS682:NC_002695	10-260/2533	==....../......	3/3	9.83	94.44	ISfinder_Feb_2020		IS682:NC_002695	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	38571	38660	+	IS3H:CP000035	1173-1261/1261	......../.....=	1/1	7.06	88.89	ISfinder_Feb_2020		IS3H:CP000035	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	43747	44384	-	ISEc76:NZ_CP019028	721-1362/1368	.......=/======	4/4	46.64	91.28	ISfinder_Feb_2020		ISEc76:NZ_CP019028	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	47503	47977	+	ISEc48:ADUS01000070	8-484/1336	======../......	2/2	35.55	85.74	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	47963	48629	+	ISEc48:ADUS01000070	629-1298/1336	......==/======	3/5	49.85	91.95	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	51742	51991	+	ISSfl3:AL391753	1-249/2729	==....../......	2/5	9.05	76.19	ISfinder_Feb_2020		ISSfl3:AL391753	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	52065	52946	+	ISEc8:NC_004431	1-882/2442	======.........	0/0	36.12	98.87	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	52947	53165	-	ISEc47:AIFX01000063	2323-2541/2541	.............==	0/0	8.62	99.54	ISfinder_Feb_2020		ISEc47:AIFX01000063	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	53165	54573	+	ISEc45:NC_004431	1-1409/1447	===============	0/0	97.37	99.93	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	54574	54681	-	IS10L:J01829	1222-1329/1329	.............==	0/0	8.13	98.15	ISfinder_Feb_2020		IS10L:J01829	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_25_length_53785_cov_5.510154	53675	53785	-	IS10L:J01829	1219-1329/1329	.............==	0/0	8.35	98.20	ISfinder_Feb_2020		IS10L:J01829	
