#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_MA2736AA_AS.fasta	NODE_11_length_160518_cov_5.4008	159736	159890	+	ISEc1:L02370	1-155/1291	==.............	0/0	12.01	85.81	ISfinder_Feb_2020		ISEc1:L02370	
ESC_MA2736AA_AS.fasta	NODE_13_length_129478_cov_5.71538	70677	70765	-	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_MA2736AA_AS.fasta	NODE_14_length_122674_cov_5.61079	84402	84574	-	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_MA2736AA_AS.fasta	NODE_14_length_122674_cov_5.61079	84564	85546	-	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.66	ISfinder_Feb_2020		IS4:J01733	
ESC_MA2736AA_AS.fasta	NODE_15_length_119010_cov_5.33756	1	113	+	IS10L:J01829	1217-1329/1329	.............==	0/0	8.50	98.23	ISfinder_Feb_2020		IS10L:J01829	
ESC_MA2736AA_AS.fasta	NODE_15_length_119010_cov_5.33756	116938	117096	+	ISEc47:AIFX01000063	2383-2541/2541	..............=	0/0	6.26	98.74	ISfinder_Feb_2020		ISEc47:AIFX01000063	
ESC_MA2736AA_AS.fasta	NODE_17_length_109415_cov_5.37302	1	113	+	IS10L:J01829	1217-1329/1329	.............==	0/0	8.50	98.23	ISfinder_Feb_2020		IS10L:J01829	
ESC_MA2736AA_AS.fasta	NODE_17_length_109415_cov_5.37302	45042	45132	+	IS621:NC_009800	36-126/1425	==.............	0/0	6.39	93.41	ISfinder_Feb_2020		IS621:NC_009800	
ESC_MA2736AA_AS.fasta	NODE_17_length_109415_cov_5.37302	109256	109415	+	IS10L:J01829	1-160/1329	==.............	0/0	12.04	98.12	ISfinder_Feb_2020		IS10L:J01829	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	10448	10636	-	IS21:X14793	1914-2102/2131	.............==	0/0	8.87	90.48	ISfinder_Feb_2020		IS21:X14793	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	10633	10916	-	IS21:X14793	218-501/2131	.===..../......	2/4	13.23	87.06	ISfinder_Feb_2020		IS21:X14793	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	11230	12672	+	IS150:X07037	1-1443/1443	===============	0/0	100.00	99.03	ISfinder_Feb_2020		IS150:X07037	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	17454	19175	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	94.72	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	23713	24150	-	ISEc23:[]	2081-2532/2532	......../...===	3/14	17.30	83.19	ISfinder_Feb_2020		ISEc23:[]	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	24155	24913	+	IS911:X17613	6-789/1250	========/=.....	6/27	60.64	85.22	ISfinder_Feb_2020		IS911:X17613	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	26218	26402	+	ISCro3:[]	579-763/1430	......===......	0/0	12.94	77.30	ISfinder_Feb_2020		ISCro3:[]	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	109009	109121	-	IS10L:J01829	1217-1329/1329	.............==	0/0	8.50	98.23	ISfinder_Feb_2020		IS10L:J01829	
ESC_MA2736AA_AS.fasta	NODE_1_length_631673_cov_5.47113	200985	201107	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	1	352	-	IS2:M18426	1-352/1331	====...........	0/0	26.45	99.43	ISfinder_Feb_2020		IS2:M18426	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	3019	3137	-	ISEc13:DQ388534	1-124/1550	==....../......	1/5	7.68	91.94	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	23224	23334	+	IS200C:NC_004431	599-709/709	............===	0/0	15.66	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	27859	27952	-	IS1396:AF027768	1630-1723/1771	.............==	0/0	5.31	86.17	ISfinder_Feb_2020		IS1396:AF027768	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	77235	78414	+	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	83208	83400	-	IS1S:M37615	576-768/768	...........====	0/0	25.13	99.48	ISfinder_Feb_2020		IS1S:M37615	
ESC_MA2736AA_AS.fasta	NODE_22_length_44435_cov_6.32614	19024	20335	+	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.20	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_MA2736AA_AS.fasta	NODE_22_length_44435_cov_6.32614	27065	27340	-	ISEc13:DQ388534	1276-1550/1550	......../...===	1/1	17.74	94.93	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_MA2736AA_AS.fasta	NODE_22_length_44435_cov_6.32614	33391	34700	-	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_MA2736AA_AS.fasta	NODE_24_length_38113_cov_6.31508	8032	8281	+	IS682:NC_002695	10-260/2533	==....../......	3/3	9.83	94.44	ISfinder_Feb_2020		IS682:NC_002695	
ESC_MA2736AA_AS.fasta	NODE_24_length_38113_cov_6.31508	11902	11991	+	IS3H:CP000035	1173-1261/1261	......../.....=	1/1	7.06	88.89	ISfinder_Feb_2020		IS3H:CP000035	
ESC_MA2736AA_AS.fasta	NODE_24_length_38113_cov_6.31508	17078	17715	-	ISEc76:NZ_CP019028	721-1362/1368	.......=/======	4/4	46.64	91.28	ISfinder_Feb_2020		ISEc76:NZ_CP019028	
ESC_MA2736AA_AS.fasta	NODE_24_length_38113_cov_6.31508	20834	21308	+	ISEc48:ADUS01000070	8-484/1336	======../......	2/2	35.55	85.74	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_MA2736AA_AS.fasta	NODE_24_length_38113_cov_6.31508	21294	21960	+	ISEc48:ADUS01000070	629-1298/1336	......==/======	3/5	49.85	91.95	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_MA2736AA_AS.fasta	NODE_24_length_38113_cov_6.31508	25073	25322	+	ISSfl3:AL391753	1-249/2729	==....../......	2/5	9.05	76.19	ISfinder_Feb_2020		ISSfl3:AL391753	
