"","name","SEQUENCE","START","END","STRAND","GENE","COVERAGE","COVERAGE_MAP","GAPS","perc_coverage","perc_identity","DATABASE","ACCESSION","PRODUCT","RESISTANCE","gene_present"
"1","AVC171","1","116562","116783","-","EC_custom_Feb_2020_yeeT_|VFG1529","1-222/222","===============","0/0",100,95.95,"EC_custom_Feb_2020",NA,"yeeT_|VFG1529",NA,1
"2","AVC171","1","989877","990791","+","EC_custom_Feb_2020_sitA_(gi:91210366)|VFG012573","1-915/915","===============","0/0",100,99.34,"EC_custom_Feb_2020",NA,"sitA_(gi:91210366)|VFG012573",NA,1
"3","AVC171","1","1138681","1138902","-","EC_custom_Feb_2020_yeeT_|VFG1529","1-222/222","===============","0/0",100,93.69,"EC_custom_Feb_2020",NA,"yeeT_|VFG1529",NA,1
"4","AVC171","1","2016083","2016304","-","EC_custom_Feb_2020_yeeT_|VFG1529","1-222/222","===============","0/0",100,95.95,"EC_custom_Feb_2020",NA,"yeeT_|VFG1529",NA,1
"5","AVC171","1","2224585","2225625","-","EC_custom_Feb_2020_usp_AB056439","1-1041/1041","===============","0/0",100,99.9,"EC_custom_Feb_2020",NA,"usp_AB056439",NA,1
"6","AVC171","1","2437928","2438830","-","EC_custom_Feb_2020_fimH_CP015076.1","1-903/903","===============","0/0",100,98.67,"EC_custom_Feb_2020",NA,"fimH_CP015076.1",NA,1
"7","AVC171","1","2473965","2474186","-","EC_custom_Feb_2020_yeeT_|VFG1529","1-222/222","===============","0/0",100,95.05,"EC_custom_Feb_2020",NA,"yeeT_|VFG1529",NA,1
"8","AVC171","1","2492279","2494603","+","EC_custom_Feb_2020_fecA_NC_000913.3","1-2325/2325","===============","0/0",100,99.78,"EC_custom_Feb_2020",NA,"fecA_NC_000913.3",NA,1
"9","AVC171","1","2706466","2707219","+","EC_custom_Feb_2020_hek_|VFG1539","3-756/756","===============","0/0",99.74,97.75,"EC_custom_Feb_2020",NA,"hek_|VFG1539",NA,1
"10","AVC171","1","2730763","2730984","+","EC_custom_Feb_2020_yeeT_|VFG1529","1-222/222","===============","0/0",100,94.14,"EC_custom_Feb_2020",NA,"yeeT_|VFG1529",NA,1
"11","AVC171","1","3547026","3547762","-","EC_custom_Feb_2020_gimB-marker_CP002167.1","1-737/737","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"gimB-marker_CP002167.1",NA,1
"12","AVC171","1","4065144","4066587","-","EC_custom_Feb_2020_kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102","1-1444/1444","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102",NA,1
"13","AVC171","1","4069550","4070725","-","EC_custom_Feb_2020_neuC_CP007275.1","1-1176/1176","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"neuC_CP007275.1",NA,1
"14","AVC171","1","4086639","4086860","-","EC_custom_Feb_2020_yeeT_|VFG1529","1-222/222","===============","0/0",100,95.5,"EC_custom_Feb_2020",NA,"yeeT_|VFG1529",NA,1
"15","AVC171","1","4118217","4118522","+","EC_custom_Feb_2020_papI_DQ095216.1","1-306/306","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papI_DQ095216.1",NA,1
"16","AVC171","1","4118826","4119140","+","EC_custom_Feb_2020_papB_CU928161","1-315/315","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papB_CU928161",NA,1
"17","AVC171","1","4119314","4119895","+","EC_custom_Feb_2020_papA_CU928161","1-582/582","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papA_CU928161",NA,1
"18","AVC171","1","4119958","4120545","+","EC_custom_Feb_2020_papH_CU928161","1-588/588","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papH_CU928161",NA,1
"19","AVC171","1","4120583","4123114","+","EC_custom_Feb_2020_papC_CU928161","1-2532/2532","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papC_CU928161",NA,1
"20","AVC171","1","4123185","4123919","+","EC_custom_Feb_2020_papD_CU928161","1-735/735","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papD_CU928161",NA,1
"21","AVC171","1","4123956","4124537","+","EC_custom_Feb_2020_papJ_CU928161","1-582/582","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papJ_CU928161",NA,1
"22","AVC171","1","4124544","4125083","+","EC_custom_Feb_2020_papK_CU928161","1-540/540","===============","0/0",100,99.81,"EC_custom_Feb_2020",NA,"papK_CU928161",NA,1
"23","AVC171","1","4125092","4125631","+","EC_custom_Feb_2020_papE_CU928161","1-540/540","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papE_CU928161",NA,1
"24","AVC171","1","4125676","4126206","+","EC_custom_Feb_2020_papF_CU928161","1-531/531","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"papF_CU928161",NA,1
"25","AVC171","1","4126250","4127248","+","EC_custom_Feb_2020_papGII_DQ095216.1","1-999/1011","===============","0/0",98.81,100,"EC_custom_Feb_2020",NA,"papGII_DQ095216.1",NA,1
"26","AVC171","1","4128947","4129702","+","EC_custom_Feb_2020_tia_CU928161","1-756/756","===============","0/0",100,100,"EC_custom_Feb_2020",NA,"tia_CU928161",NA,1
