#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_16_length_56617_cov_12.484192	50608	51787	+	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_17_length_56316_cov_13.182349	569	1336	+	IS1A:X52534	1-768/768	===============	0/0	100.00	99.61	ISfinder_Feb_2020		IS1A:X52534	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_17_length_56316_cov_13.182349	10962	12271	+	IS629:X51586	1-1310/1310	===============	0/0	100.00	97.79	ISfinder_Feb_2020		IS629:X51586	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_17_length_56316_cov_13.182349	24587	25917	-	IS2:M18426	1-1331/1331	===============	0/0	100.00	98.50	ISfinder_Feb_2020		IS2:M18426	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_18_length_51358_cov_15.903047	44667	45431	-	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_19_length_49683_cov_14.771249	42901	44854	+	IS100kyp:U59875	1-1954/1954	===============	0/0	100.00	99.23	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_19_length_49683_cov_14.771249	46881	48339	-	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.93	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_1_length_774947_cov_14.907400	406827	406949	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_24_length_20980_cov_15.932863	1495	3563	+	ISEc8:NC_004431	1-2070/2442	========/====..	1/1	84.73	99.28	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_28_length_10924_cov_14.040845	809	2530	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.12	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_28_length_10924_cov_14.040845	7271	8717	+	ISEc45:NC_004431	1-1447/1447	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_2_length_633360_cov_14.880805	577	1867	-	ISEc1:L02370	1-1291/1291	===============	0/0	100.00	96.13	ISfinder_Feb_2020		ISEc1:L02370	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_2_length_633360_cov_14.880805	630109	631392	-	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.85	ISfinder_Feb_2020		IS621:NC_009800	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_2_length_633360_cov_14.880805	631401	632831	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.44	ISfinder_Feb_2020		IS1397:X92970	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_30_length_5203_cov_12.053980	128	5077	+	Tn2:KT002541	1-4950/4950	===============	0/0	100.00	99.84	ISfinder_Feb_2020		Tn2:KT002541	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_4_length_458293_cov_15.523904	368474	368596	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_4_length_458293_cov_15.523904	431839	433150	+	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.28	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_4_length_458293_cov_15.523904	446206	447514	-	IS1203:U06468	1-1310/1310	========/======	1/1	99.92	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_5_length_443669_cov_15.425173	191786	192494	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_5_length_443669_cov_15.425173	282054	282821	-	IS1F:X52538	1-768/768	===============	0/0	100.00	98.83	ISfinder_Feb_2020		IS1F:X52538	
ESC_CB9097AA_AS.fasta	ESC_CB9097AA_AS_NODE_5_length_443669_cov_15.425173	287010	288106	-	ISEc40:NC_004431	1-1097/1097	===============	0/0	100.00	99.36	ISfinder_Feb_2020		ISEc40:NC_004431	
