#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_1_length_763237_cov_13.669540	395465	395587	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_25_length_31691_cov_14.905589	4207	5516	+	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_25_length_31691_cov_14.905589	18572	19883	-	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.28	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_2_length_738553_cov_15.270248	341162	341284	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_33_length_17025_cov_14.482424	126	893	+	IS1X4:Z11604	1-768/768	===============	0/0	100.00	97.79	ISfinder_Feb_2020		IS1X4:Z11604	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_34_length_16514_cov_14.821139	8444	9522	-	IS2:M18426	1-1079/1331	=============..	0/0	81.07	95.09	ISfinder_Feb_2020		IS2:M18426	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_35_length_15823_cov_13.183805	2623	4081	-	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.86	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_35_length_15823_cov_13.183805	7174	8895	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.18	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_36_length_14755_cov_15.396500	10000	11220	-	IS30:X00792	1-1221/1221	===============	0/0	100.00	99.67	ISfinder_Feb_2020		IS30:X00792	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_3_length_398805_cov_15.007560	206088	206796	+	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_41_length_10317_cov_14.060353	7806	9063	-	IS3:X02311	1-1258/1258	===============	0/0	100.00	99.92	ISfinder_Feb_2020		IS3:X02311	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_43_length_8119_cov_15.611612	5758	8119	+	ISEc23:[]	1-2383/2532	========/======	2/21	93.29	97.52	ISfinder_Feb_2020		ISEc23:[]	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_4_length_377522_cov_13.640970	355887	357161	+	ISEc1:L02370	1-1276/1291	========/======	1/1	98.76	95.61	ISfinder_Feb_2020		ISEc1:L02370	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_53_length_3247_cov_12.866026	366	1796	+	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_53_length_3247_cov_12.866026	1805	3088	+	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_59_length_2582_cov_30.061914	2	2582	-	ISEc12:DQ269483	1-2581/2581	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc12:DQ269483	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_60_length_2577_cov_168.652245	3	2577	-	ISCro1:[]	1-2575/2699	===============	0/0	95.41	98.17	ISfinder_Feb_2020		ISCro1:[]	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_6_length_259922_cov_13.041175	116310	117406	-	ISEc40:NC_004431	1-1097/1097	===============	0/0	100.00	98.72	ISfinder_Feb_2020		ISEc40:NC_004431	
ESC_KB9768AA_AS.fasta	ESC_KB9768AA_AS_NODE_70_length_1222_cov_26.211872	1	1222	-	IS2:M18426	110-1331/1331	.==============	0/0	91.81	99.51	ISfinder_Feb_2020		IS2:M18426	
