#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_YA6556AA_AS.fasta	NODE_16_length_59765_cov_5.656847	47707	48526	+	IS26:X00011	1-820/820	===============	0/0	100.00	99.51	ISfinder_Feb_2020		IS26:X00011	
ESC_YA6556AA_AS.fasta	NODE_17_length_50243_cov_8.097779	43560	44324	-	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_YA6556AA_AS.fasta	NODE_18_length_45657_cov_7.938663	10737	12045	+	IS1203:U06468	1-1310/1310	========/======	1/1	99.92	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_YA6556AA_AS.fasta	NODE_18_length_45657_cov_7.938663	25101	26412	-	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.28	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_YA6556AA_AS.fasta	NODE_1_length_896444_cov_7.054536	406077	406199	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_YA6556AA_AS.fasta	NODE_20_length_32766_cov_5.927533	19811	21695	+	ISEc53:HG941718	1-1885/1885	===============	0/0	100.00	99.89	ISfinder_Feb_2020		ISEc53:HG941718	
ESC_YA6556AA_AS.fasta	NODE_20_length_32766_cov_5.927533	22850	24980	-	IS21:X14793	1-2131/2131	===============	0/0	100.00	99.72	ISfinder_Feb_2020		IS21:X14793	
ESC_YA6556AA_AS.fasta	NODE_26_length_10340_cov_6.699542	525	2246	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.18	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_YA6556AA_AS.fasta	NODE_26_length_10340_cov_6.699542	6987	8433	+	ISEc45:NC_004431	1-1447/1447	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_YA6556AA_AS.fasta	NODE_29_length_5828_cov_7.278446	2116	3574	-	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.93	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_YA6556AA_AS.fasta	NODE_2_length_619638_cov_7.008057	26991	28239	-	ISEc1:L02370	35-1291/1291	========/======	8/12	96.59	89.52	ISfinder_Feb_2020		ISEc1:L02370	
ESC_YA6556AA_AS.fasta	NODE_2_length_619638_cov_7.008057	28286	29576	-	ISEc1:L02370	1-1291/1291	===============	0/0	100.00	96.13	ISfinder_Feb_2020		ISEc1:L02370	
ESC_YA6556AA_AS.fasta	NODE_2_length_619638_cov_7.008057	616642	617925	-	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.77	ISfinder_Feb_2020		IS621:NC_009800	
ESC_YA6556AA_AS.fasta	NODE_2_length_619638_cov_7.008057	617934	619364	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_YA6556AA_AS.fasta	NODE_35_length_2808_cov_5.975359	310	2719	-	ISEc10:NC_004431	1-2410/2410	===============	0/0	100.00	99.92	ISfinder_Feb_2020		ISEc10:NC_004431	
ESC_YA6556AA_AS.fasta	NODE_38_length_1870_cov_13.052218	1	1870	+	IS100kyp:U59875	85-1954/1954	===============	0/0	95.70	99.57	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_YA6556AA_AS.fasta	NODE_4_length_411972_cov_7.690548	43508	43630	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_YA6556AA_AS.fasta	NODE_6_length_296647_cov_7.795457	192105	192813	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_YA6556AA_AS.fasta	NODE_6_length_296647_cov_7.795457	282373	283140	-	IS1F:X52538	1-768/768	===============	0/0	100.00	99.35	ISfinder_Feb_2020		IS1F:X52538	
ESC_YA6556AA_AS.fasta	NODE_9_length_181266_cov_8.026344	602	2670	+	ISEc8:NC_004431	1-2070/2442	========/====..	1/1	84.73	99.28	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_YA6556AA_AS.fasta	NODE_9_length_181266_cov_8.026344	19869	20636	-	IS1F:X52538	1-768/768	===============	0/0	100.00	98.96	ISfinder_Feb_2020		IS1F:X52538	
ESC_YA6556AA_AS.fasta	NODE_9_length_181266_cov_8.026344	24820	25916	-	ISEc40:NC_004431	1-1097/1097	===============	0/0	100.00	99.36	ISfinder_Feb_2020		ISEc40:NC_004431	
