#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_SA2297AA_AS.fasta	NODE_18_length_77862_cov_3.984699	5027	9976	+	Tn2:KT002541	1-4950/4950	===============	0/0	100.00	99.84	ISfinder_Feb_2020		Tn2:KT002541	
ESC_SA2297AA_AS.fasta	NODE_1_length_1213494_cov_4.025331	798231	798353	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_SA2297AA_AS.fasta	NODE_25_length_44362_cov_4.943781	37709	38473	-	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_SA2297AA_AS.fasta	NODE_2_length_401132_cov_4.001962	2255	3713	+	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.93	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_SA2297AA_AS.fasta	NODE_2_length_401132_cov_4.001962	5740	7693	-	IS100kyp:U59875	1-1954/1954	===============	0/0	100.00	99.23	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_SA2297AA_AS.fasta	NODE_2_length_401132_cov_4.001962	49759	51007	-	ISEc1:L02370	35-1291/1291	========/======	8/12	96.59	89.52	ISfinder_Feb_2020		ISEc1:L02370	
ESC_SA2297AA_AS.fasta	NODE_2_length_401132_cov_4.001962	51054	52344	-	ISEc1:L02370	1-1291/1291	===============	0/0	100.00	96.13	ISfinder_Feb_2020		ISEc1:L02370	
ESC_SA2297AA_AS.fasta	NODE_30_length_27800_cov_4.377034	10218	11526	+	IS1203:U06468	1-1310/1310	========/======	1/1	99.92	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_SA2297AA_AS.fasta	NODE_30_length_27800_cov_4.377034	24582	25893	-	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.28	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_SA2297AA_AS.fasta	NODE_31_length_26442_cov_4.624787	602	2670	+	ISEc8:NC_004431	1-2070/2442	========/====..	1/1	84.73	99.28	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_SA2297AA_AS.fasta	NODE_31_length_26442_cov_4.624787	19869	20636	-	IS1F:X52538	1-768/768	===============	0/0	100.00	98.96	ISfinder_Feb_2020		IS1F:X52538	
ESC_SA2297AA_AS.fasta	NODE_31_length_26442_cov_4.624787	24815	25911	-	ISEc40:NC_004431	1-1097/1097	===============	0/0	100.00	99.36	ISfinder_Feb_2020		ISEc40:NC_004431	
ESC_SA2297AA_AS.fasta	NODE_37_length_10421_cov_3.459543	525	2246	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.12	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_SA2297AA_AS.fasta	NODE_37_length_10421_cov_3.459543	6987	8433	+	ISEc45:NC_004431	1-1447/1447	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_SA2297AA_AS.fasta	NODE_3_length_352943_cov_4.352840	46835	46957	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_SA2297AA_AS.fasta	NODE_5_length_295894_cov_4.396417	191587	192295	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_SA2297AA_AS.fasta	NODE_5_length_295894_cov_4.396417	281620	282387	-	IS1F:X52538	1-768/768	===============	0/0	100.00	99.35	ISfinder_Feb_2020		IS1F:X52538	
ESC_SA2297AA_AS.fasta	NODE_6_length_241237_cov_4.086009	238356	239639	-	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.85	ISfinder_Feb_2020		IS621:NC_009800	
ESC_SA2297AA_AS.fasta	NODE_6_length_241237_cov_4.086009	239648	241078	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
