#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AVC171.fasta	1	91187	91954	+	IS1A:X52534	1-768/768	===============	0/0	100.00	99.87	ISfinder_Feb_2020		IS1A:X52534	
AVC171.fasta	1	114918	115076	+	ISEc47:AIFX01000063	2383-2541/2541	..............=	0/0	6.26	98.74	ISfinder_Feb_2020		ISEc47:AIFX01000063	
AVC171.fasta	1	127975	128163	-	IS21:X14793	1914-2102/2131	.............==	0/0	8.87	90.48	ISfinder_Feb_2020		IS21:X14793	
AVC171.fasta	1	128160	128411	-	IS21:X14793	250-501/2131	.===..../......	2/4	11.73	86.61	ISfinder_Feb_2020		IS21:X14793	
AVC171.fasta	1	128412	130365	+	IS100kyp:U59875	1-1954/1954	===============	0/0	100.00	99.49	ISfinder_Feb_2020		IS100kyp:U59875	
AVC171.fasta	1	135492	137213	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	94.66	ISfinder_Feb_2020		ISEc38:AJ303141	
AVC171.fasta	1	139925	141255	-	IS2:M18426	1-1331/1331	===============	0/0	100.00	96.39	ISfinder_Feb_2020		IS2:M18426	
AVC171.fasta	1	143087	143524	-	ISEc23:[]	2081-2532/2532	......../...===	3/14	17.30	83.19	ISfinder_Feb_2020		ISEc23:[]	
AVC171.fasta	1	143529	144287	+	IS911:X17613	6-789/1250	========/=.....	6/27	60.64	85.10	ISfinder_Feb_2020		IS911:X17613	
AVC171.fasta	1	146154	146338	+	ISCro3:[]	579-763/1430	......===......	0/0	12.94	77.30	ISfinder_Feb_2020		ISCro3:[]	
AVC171.fasta	1	292367	293695	-	IS10R:J01829	1-1329/1329	===============	0/0	100.00	99.17	ISfinder_Feb_2020		IS10R:J01829	
AVC171.fasta	1	308121	308211	-	IS621:NC_009800	36-126/1425	==.............	0/0	6.39	93.41	ISfinder_Feb_2020		IS621:NC_009800	
AVC171.fasta	1	491359	492687	-	IS10R:J01829	1-1329/1329	===============	0/0	100.00	99.17	ISfinder_Feb_2020		IS10R:J01829	
AVC171.fasta	1	498012	499340	+	IS10R:J01829	1-1329/1329	===============	0/0	100.00	99.17	ISfinder_Feb_2020		IS10R:J01829	
AVC171.fasta	1	672726	672887	-	ISEc5:L02372	621-783/1291	......==/=.....	1/1	12.55	89.57	ISfinder_Feb_2020		ISEc5:L02372	
AVC171.fasta	1	677433	677587	-	ISEc1:L02370	1-155/1291	==.............	0/0	12.01	85.81	ISfinder_Feb_2020		ISEc1:L02370	
AVC171.fasta	1	853893	855221	+	IS10R:J01829	1-1329/1329	===============	0/0	100.00	99.17	ISfinder_Feb_2020		IS10R:J01829	
AVC171.fasta	1	904988	905970	+	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.66	ISfinder_Feb_2020		IS4:J01733	
AVC171.fasta	1	905960	906132	+	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
AVC171.fasta	1	1033578	1034908	-	IS2:M18426	1-1331/1331	===============	0/0	100.00	97.75	ISfinder_Feb_2020		IS2:M18426	
AVC171.fasta	1	1140922	1141630	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	95.49	ISfinder_Feb_2020		IS200C:NC_004431	
AVC171.fasta	1	1142113	1144751	-	ISSso4:NC_007385	1-2638/2638	========/======	1/1	100.00	96.21	ISfinder_Feb_2020		ISSso4:NC_007385	
AVC171.fasta	1	1148433	1150874	-	ISEc8:NC_004431	1-2442/2442	===============	0/0	100.00	99.30	ISfinder_Feb_2020		ISEc8:NC_004431	
AVC171.fasta	1	1168216	1168319	-	IS682:NC_002695	1-103/2533	=......./......	1/1	4.07	89.42	ISfinder_Feb_2020		IS682:NC_002695	
AVC171.fasta	1	1174280	1174734	-	ISEc49:NC_004431	2306-2760/2766	......../...===	12/24	16.02	76.02	ISfinder_Feb_2020		ISEc49:NC_004431	
AVC171.fasta	1	1174895	1177426	-	ISEc23:[]	1-2532/2532	===============	0/0	100.00	98.54	ISfinder_Feb_2020		ISEc23:[]	
AVC171.fasta	1	1177698	1179007	-	IS629:X51586	1-1310/1310	===============	0/0	100.00	95.57	ISfinder_Feb_2020		IS629:X51586	
