#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_NA3988AA_AS.fasta	NODE_101_length_2614_cov_1446.72	1720	1912	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_102_length_2558_cov_1497.14	703	895	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_105_length_2419_cov_1491.83	1410	1602	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_106_length_2414_cov_1488.1	813	1005	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_107_length_2395_cov_1474.88	1410	1602	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_109_length_2383_cov_1472.64	703	895	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_110_length_2376_cov_1474.5	1482	1674	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_111_length_2375_cov_1415.46	1481	1673	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_112_length_2357_cov_1472.67	1469	1661	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_113_length_2352_cov_1471.34	703	895	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_114_length_2351_cov_1471.08	750	942	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_115_length_2351_cov_1470.93	703	895	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_116_length_2326_cov_1478.33	666	858	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_118_length_2309_cov_1462.03	1415	1607	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_119_length_2304_cov_1503.52	1410	1602	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_120_length_2303_cov_1466.84	1363	1555	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_121_length_2299_cov_1467.35	749	941	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_122_length_2293_cov_1456.45	691	883	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_123_length_2292_cov_1393.71	1411	1603	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_124_length_2272_cov_1450.75	670	862	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_125_length_2272_cov_1452.54	670	862	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_126_length_2272_cov_1451.62	1411	1603	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_127_length_2272_cov_1451.45	1411	1603	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_128_length_2272_cov_1452.37	1411	1603	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_129_length_2272_cov_1451.39	1411	1603	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_130_length_2267_cov_1469.87	749	941	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_131_length_2254_cov_1473.31	652	844	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_132_length_2245_cov_1495.15	643	835	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_133_length_2237_cov_1437.96	1999	2191	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_134_length_2226_cov_1551.53	1286	1478	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_136_length_2149_cov_1443.83	1911	2103	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_137_length_2149_cov_1446.27	1911	2103	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_140_length_2010_cov_1502.92	1772	1964	-	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_144_length_1957_cov_1442.46	47	239	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_148_length_1806_cov_1003.43	460	719	+	Col(MG828)_1	1-260/262	===============	0/0	99.24	95.00	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
ESC_NA3988AA_AS.fasta	NODE_151_length_1711_cov_1427.75	703	895	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_NA3988AA_AS.fasta	NODE_155_length_1447_cov_1026.2	729	988	-	Col(MG828)_1	1-260/262	===============	0/0	99.24	95.00	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
ESC_NA3988AA_AS.fasta	NODE_156_length_1447_cov_954.704	460	719	+	Col(MG828)_1	1-260/262	===============	0/0	99.24	95.00	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
