#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_12_length_128552_cov_12.219195	100730	101185	-	csgB	1-456/456	========/======	2/2	99.78	84.03	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_12_length_128552_cov_12.219195	101938	102588	+	csgD	1-651/651	===============	0/0	100.00	81.41	vfdb	NP_460113	(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_12_length_128552_cov_12.219195	103007	103423	+	csgF	1-417/417	========/======	3/8	99.04	81.00	vfdb	NP_460111	(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_12_length_128552_cov_12.219195	103450	104283	+	csgG	1-834/834	===============	0/0	100.00	82.97	vfdb	NP_460110	(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_14_length_113278_cov_20.632884	36997	38425	-	aslA	1-1428/1428	========/======	1/1	100.00	98.67	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	90539	91567	-	chuS	1-1029/1029	===============	0/0	100.00	98.93	vfdb	NP_756169	(chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	91616	93562	-	chuA	1-1947/1947	===============	0/0	100.00	99.44	vfdb	NP_756170	(chuA) Outer membrane heme/hemoglobin receptor ChuA [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	94204	95196	+	chuT	1-993/993	===============	0/0	100.00	99.80	vfdb	NP_756175	(chuT) periplasmic heme-binding protein ChuT [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	95216	96553	+	chuW	1-1338/1338	===============	0/0	100.00	99.48	vfdb	NP_756176	(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	96566	97060	+	chuX	1-495/495	===============	0/0	100.00	99.80	vfdb	NP_756177	(chuX) putative heme-binding protein ChuX [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	97060	97683	+	chuY	1-624/624	===============	0/0	100.00	98.40	vfdb	NP_756178	(chuY) ChuY [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	97732	98724	+	chuU	1-993/993	===============	0/0	100.00	99.80	vfdb	NP_756179	(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_15_length_110585_cov_20.275497	98691	99491	+	chuV	1-801/801	===============	0/0	100.00	99.75	vfdb	NP_756180	(chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_19_length_92136_cov_16.338072	1557	2162	+	papD	1-606/606	===============	0/0	100.00	99.50	vfdb	NP_755464	(papD) chaperone protein PapD [P fimbriae (VF0220)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_19_length_92136_cov_16.338072	2199	2781	+	papJ	1-582/582	========/======	1/1	100.00	98.11	vfdb	NP_755463	(papJ) P pilus assembly protein PapJ [P fimbriae (VF0220)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_19_length_92136_cov_16.338072	2788	3327	+	papK	1-540/540	===============	0/0	100.00	98.33	vfdb	NP_755461	(papK) P pilus minor subunit PapK [P fimbriae (VF0220)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_19_length_92136_cov_16.338072	3920	4454	+	papF	1-531/531	========/======	2/4	100.00	94.58	vfdb	NP_755459	(papF) P pilus minor subunit PapF  [P fimbriae (VF0220)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_19_length_92136_cov_16.338072	5768	6319	+	papX	1-552/552	===============	0/0	100.00	97.64	vfdb	NP_755457	(papX) PapX protein regulates flagellum synthesis to repress motility [P fimbriae (CVF425)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	4458	8708	+	fdeC	1-4251/4251	===============	0/0	100.00	99.95	vfdb	YP_002390132	(fdeC) adhesin FdeC [FdeC (VF0506)] [Escherichia coli O45:K1:H7 str. S88]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	266843	267613	-	entD	1-771/771	===============	0/0	100.00	97.02	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	267638	269878	-	fepA	1-2241/2241	===============	0/0	100.00	99.11	vfdb	NP_752600	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	270121	271323	+	fes	1-1203/1203	===============	0/0	100.00	99.83	vfdb	NP_752602	(fes) enterobactin/ferric enterobactin esterase [enterobactin (IA019)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	271541	275394	+	entF	1-3854/3882	===============	0/0	99.28	98.62	vfdb	NP_752604	(entF) enterobactin synthase multienzyme complex component ATP-dependent [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	276768	277583	-	fepC	1-816/816	===============	0/0	100.00	99.75	vfdb	NP_752606	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	277580	278572	-	fepG	1-993/993	===============	0/0	100.00	99.19	vfdb	NP_752607	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	278569	279585	-	fepD	1-1017/1017	===============	0/0	100.00	98.62	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	279684	280934	+	entS	1-1251/1251	===============	0/0	100.00	98.72	vfdb	NP_752609	(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	280938	281894	-	fepB	1-957/957	===============	0/0	100.00	99.79	vfdb	NP_752610	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	282071	283258	+	entC	1-1188/1188	===============	0/0	100.00	99.75	vfdb	NP_752611	(entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6010AA_AS.fasta	ESC_LB6010AA_AS_NODE_1_length_734502_cov_14.975078	283268	284878	+	entE	1-1611/1611	===============	0/0	100.00	98.76	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
