#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_IA0811AA_AS.fasta	NODE_10_length_162988_cov_9.55671	1	87	-	IS2:M18426	1-87/1331	=..............	0/0	6.54	97.70	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_113_length_611_cov_10.9466	1	87	-	IS1X2:Z11605	1-87/768	==.............	0/0	11.33	100.00	ISfinder_Feb_2020		IS1X2:Z11605	
ESC_IA0811AA_AS.fasta	NODE_114_length_606_cov_9.60308	1	87	-	IS3H:CP000035	1-87/1261	==.............	0/0	6.90	100.00	ISfinder_Feb_2020		IS3H:CP000035	
ESC_IA0811AA_AS.fasta	NODE_11_length_144336_cov_9.8297	1	87	+	IS2:M18426	1245-1331/1331	..............=	0/0	6.54	93.10	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_121_length_566_cov_9.40919	481	566	+	IS10L:J01829	1-86/1329	=..............	0/0	6.47	97.67	ISfinder_Feb_2020		IS10L:J01829	
ESC_IA0811AA_AS.fasta	NODE_123_length_555_cov_17.6004	1	555	-	IS4:J01733	173-727/1426	.=======.......	0/0	38.92	100.00	ISfinder_Feb_2020		IS4:J01733	
ESC_IA0811AA_AS.fasta	NODE_12_length_143487_cov_9.24159	1	87	+	IS10L:J01829	1243-1329/1329	..............=	0/0	6.55	97.70	ISfinder_Feb_2020		IS10L:J01829	
ESC_IA0811AA_AS.fasta	NODE_131_length_529_cov_66.2941	1	529	-	IS1A:X52534	158-686/768	...===========.	0/0	68.88	99.62	ISfinder_Feb_2020		IS1A:X52534	
ESC_IA0811AA_AS.fasta	NODE_13_length_129419_cov_9.67848	70651	70739	-	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_IA0811AA_AS.fasta	NODE_144_length_410_cov_66.7523	1	410	-	IS2:M18426	443-852/1331	....======.....	0/0	30.80	98.29	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_16_length_105599_cov_9.77536	105516	105599	-	IS2:M18426	1248-1331/1331	..............=	0/0	6.31	92.86	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_171_length_271_cov_11.9837	185	271	-	IS600:X05952	1178-1264/1264	.............==	0/0	6.88	100.00	ISfinder_Feb_2020		IS600:X05952	
ESC_IA0811AA_AS.fasta	NODE_175_length_254_cov_68.491	1	254	-	IS2:M18426	240-493/1331	..====.........	0/0	19.08	100.00	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_17_length_87318_cov_9.44448	1	343	+	IS4:J01733	641-983/1426	......=====....	0/0	24.05	97.38	ISfinder_Feb_2020		IS4:J01733	
ESC_IA0811AA_AS.fasta	NODE_17_length_87318_cov_9.44448	333	505	+	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_IA0811AA_AS.fasta	NODE_182_length_175_cov_65.0227	1	175	+	IS2:M18426	989-1163/1331	...........===.	0/0	13.15	96.00	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_184_length_174_cov_8.10345	1	87	-	ISSfl10:NC_004741	1-87/1237	==.............	0/0	7.03	100.00	ISfinder_Feb_2020		ISSfl10:NC_004741	
ESC_IA0811AA_AS.fasta	NODE_184_length_174_cov_8.10345	88	174	+	IS911:X17613	454-540/1250	.....==........	0/0	6.96	100.00	ISfinder_Feb_2020		IS911:X17613	
ESC_IA0811AA_AS.fasta	NODE_185_length_172_cov_8.29412	1	79	+	IS911:X17613	445-524/1250	....==../......	1/1	6.32	88.75	ISfinder_Feb_2020		IS911:X17613	
ESC_IA0811AA_AS.fasta	NODE_185_length_172_cov_8.29412	88	172	+	IS2:M18426	1-85/1331	=..............	0/0	6.39	97.65	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_188_length_169_cov_13.8049	88	169	-	IS10L:J01829	1248-1329/1329	..............=	0/0	6.17	97.56	ISfinder_Feb_2020		IS10L:J01829	
ESC_IA0811AA_AS.fasta	NODE_190_length_168_cov_6.75309	1	168	-	IS911:X17613	445-631/1250	....====/......	2/19	13.44	80.75	ISfinder_Feb_2020		IS911:X17613	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	1	87	-	IS3H:CP000035	1-87/1261	==.............	0/0	6.90	100.00	ISfinder_Feb_2020		IS3H:CP000035	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	15029	16355	-	IS4321R:U67194	1-1326/1326	========/======	1/1	100.00	99.70	ISfinder_Feb_2020		IS4321R:U67194	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	16355	22362	+	TnAs3:CP000645	22-6029/18735	=====..........	0/0	32.07	99.98	ISfinder_Feb_2020		TnAs3:CP000645	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	22360	23179	+	IS26:X00011	1-820/820	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS26:X00011	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	23180	23247	+	IS1326:U38187	2403-2470/2470	..............=	0/0	2.75	100.00	ISfinder_Feb_2020		IS1326:U38187	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	23249	25275	+	TnAs3:CP000645	7306-9332/18735	.....===.......	0/0	10.82	100.00	ISfinder_Feb_2020		TnAs3:CP000645	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	25965	27566	+	TnAs3:CP000645	13469-15070/18735	..........===..	0/0	8.55	99.94	ISfinder_Feb_2020		TnAs3:CP000645	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	27534	31282	+	TnAs1:CP022426	2946-6694/6694	......=========	0/0	56.01	99.92	ISfinder_Feb_2020		TnAs1:CP022426	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	33138	33231	+	IS1396:AF027768	1630-1723/1771	.............==	0/0	5.31	86.17	ISfinder_Feb_2020		IS1396:AF027768	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	37756	37866	-	IS200C:NC_004431	599-709/709	............===	0/0	15.66	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	57955	58073	+	ISEc13:DQ388534	1-124/1550	==....../......	1/5	7.68	91.94	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_IA0811AA_AS.fasta	NODE_19_length_61065_cov_12.8951	60740	61065	+	IS2:M18426	1-326/1331	====...........	0/0	24.49	99.39	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_1_length_636411_cov_9.70945	1	87	+	IS10L:J01829	1243-1329/1329	..............=	0/0	6.55	97.70	ISfinder_Feb_2020		IS10L:J01829	
ESC_IA0811AA_AS.fasta	NODE_1_length_636411_cov_9.70945	111150	111233	+	MITEEc1:U00096	1-84/123	===========....	0/0	68.29	89.29	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_IA0811AA_AS.fasta	NODE_1_length_636411_cov_9.70945	633324	634607	-	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_IA0811AA_AS.fasta	NODE_1_length_636411_cov_9.70945	634616	636046	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_IA0811AA_AS.fasta	NODE_20_length_60754_cov_8.62355	1	134	-	IS10R:J01829	1-134/1329	==.............	0/0	10.08	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_IA0811AA_AS.fasta	NODE_20_length_60754_cov_8.62355	38740	39455	-	IS1N:J01737	44-761/766	========/======	4/4	93.34	76.77	ISfinder_Feb_2020		IS1N:J01737	
ESC_IA0811AA_AS.fasta	NODE_21_length_55385_cov_9.82435	1	87	+	IS10L:J01829	1243-1329/1329	..............=	0/0	6.55	97.70	ISfinder_Feb_2020		IS10L:J01829	
ESC_IA0811AA_AS.fasta	NODE_21_length_55385_cov_9.82435	55299	55385	-	IS2:M18426	1245-1331/1331	..............=	0/0	6.54	93.10	ISfinder_Feb_2020		IS2:M18426	
ESC_IA0811AA_AS.fasta	NODE_22_length_52038_cov_9.03986	1	134	-	IS10R:J01829	1-134/1329	==.............	0/0	10.08	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_IA0811AA_AS.fasta	NODE_22_length_52038_cov_9.03986	49340	49498	+	ISEc47:AIFX01000063	2383-2541/2541	..............=	0/0	6.26	98.74	ISfinder_Feb_2020		ISEc47:AIFX01000063	
ESC_IA0811AA_AS.fasta	NODE_23_length_50281_cov_9.45715	50195	50281	-	IS2:M18426	1245-1331/1331	..............=	0/0	6.54	93.10	ISfinder_Feb_2020		IS2:M18426	
