#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_NA4071AA_AS.fasta	NODE_101_length_2808_cov_18.8299	2682	2808	-	IS1S:M37615	642-768/768	............===	0/0	16.54	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_NA4071AA_AS.fasta	NODE_103_length_2216_cov_16.2676	1	127	+	IS1S:M37615	642-768/768	............===	0/0	16.54	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_NA4071AA_AS.fasta	NODE_103_length_2216_cov_16.2676	130	937	+	ISKpn37:KU318421	446-1253/1253	.....==========	0/0	64.49	97.03	ISfinder_Feb_2020		ISKpn37:KU318421	
ESC_NA4071AA_AS.fasta	NODE_103_length_2216_cov_16.2676	2090	2216	-	IS1S:M37615	642-768/768	............===	0/0	16.54	99.21	ISfinder_Feb_2020		IS1S:M37615	
ESC_NA4071AA_AS.fasta	NODE_107_length_1918_cov_23.0843	1	159	-	IS2:M18426	1-159/1331	==.............	0/0	11.95	99.37	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4071AA_AS.fasta	NODE_107_length_1918_cov_23.0843	1244	1384	-	IS200:X56834	1-143/709	===...../......	2/4	19.75	76.39	ISfinder_Feb_2020		IS200:X56834	
ESC_NA4071AA_AS.fasta	NODE_107_length_1918_cov_23.0843	1745	1918	+	IS10R:J01829	1-174/1329	==.............	0/0	13.09	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_NA4071AA_AS.fasta	NODE_108_length_1904_cov_12.9094	1	127	+	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4071AA_AS.fasta	NODE_10_length_131670_cov_17.6087	1	383	+	IS2:M18426	949-1331/1331	..........=====	0/0	28.78	95.82	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4071AA_AS.fasta	NODE_112_length_1685_cov_17.4897	1004	1685	-	IS2:M18426	650-1331/1331	.......========	0/0	51.24	99.71	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4071AA_AS.fasta	NODE_117_length_1282_cov_195.523	1	1282	+	IS10R:J01829	48-1329/1329	===============	0/0	96.46	99.30	ISfinder_Feb_2020		IS10R:J01829	
ESC_NA4071AA_AS.fasta	NODE_11_length_129967_cov_19.4069	58833	58921	+	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_NA4071AA_AS.fasta	NODE_125_length_695_cov_19.6813	1	127	-	IS1A:X52534	1-127/768	===............	0/0	16.54	100.00	ISfinder_Feb_2020		IS1A:X52534	
ESC_NA4071AA_AS.fasta	NODE_12_length_126164_cov_19.1719	1	284	-	IS1F:X52538	1-284/768	======.........	0/0	36.98	95.78	ISfinder_Feb_2020		IS1F:X52538	
ESC_NA4071AA_AS.fasta	NODE_136_length_601_cov_83.3565	1	601	-	IS2:M18426	176-776/1331	.========......	0/0	45.15	99.83	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4071AA_AS.fasta	NODE_147_length_426_cov_71.5452	1	426	-	IS2:M18426	650-1075/1331	.......======..	0/0	32.01	96.48	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4071AA_AS.fasta	NODE_149_length_270_cov_38.7622	1	270	+	ISEc27:AY857617	28-297/1321	====...........	0/0	20.44	99.63	ISfinder_Feb_2020		ISEc27:AY857617	
ESC_NA4071AA_AS.fasta	NODE_14_length_124859_cov_16.4459	84013	84185	-	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_NA4071AA_AS.fasta	NODE_14_length_124859_cov_16.4459	84175	85157	-	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.66	ISfinder_Feb_2020		IS4:J01733	
ESC_NA4071AA_AS.fasta	NODE_16_length_110934_cov_16.0545	1	127	+	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4071AA_AS.fasta	NODE_16_length_110934_cov_16.0545	67960	68043	-	MITEEc1:U00096	1-84/123	===========....	0/0	68.29	89.29	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_NA4071AA_AS.fasta	NODE_19_length_93036_cov_16.9016	1	127	+	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4071AA_AS.fasta	NODE_19_length_93036_cov_16.9016	92863	93036	+	IS10L:J01829	1-174/1329	==.............	0/0	13.09	98.28	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4071AA_AS.fasta	NODE_1_length_234931_cov_15.8951	145779	145869	+	IS621:NC_009800	36-126/1425	==.............	0/0	6.39	93.41	ISfinder_Feb_2020		IS621:NC_009800	
ESC_NA4071AA_AS.fasta	NODE_22_length_87734_cov_19.3383	1	174	-	IS10L:J01829	1-174/1329	==.............	0/0	13.09	98.28	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4071AA_AS.fasta	NODE_23_length_84091_cov_15.8156	10462	10650	-	IS21:X14793	1914-2102/2131	.............==	0/0	8.87	90.48	ISfinder_Feb_2020		IS21:X14793	
ESC_NA4071AA_AS.fasta	NODE_23_length_84091_cov_15.8156	10647	10930	-	IS21:X14793	218-501/2131	.===..../......	2/4	13.23	87.06	ISfinder_Feb_2020		IS21:X14793	
ESC_NA4071AA_AS.fasta	NODE_23_length_84091_cov_15.8156	11244	12686	+	IS150:X07037	1-1443/1443	===============	0/0	100.00	99.03	ISfinder_Feb_2020		IS150:X07037	
ESC_NA4071AA_AS.fasta	NODE_23_length_84091_cov_15.8156	17467	19188	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	94.72	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_NA4071AA_AS.fasta	NODE_23_length_84091_cov_15.8156	23726	24163	-	ISEc23:[]	2081-2532/2532	......../...===	3/14	17.30	83.19	ISfinder_Feb_2020		ISEc23:[]	
ESC_NA4071AA_AS.fasta	NODE_23_length_84091_cov_15.8156	24168	24926	+	IS911:X17613	6-789/1250	========/=.....	6/27	60.64	85.22	ISfinder_Feb_2020		IS911:X17613	
ESC_NA4071AA_AS.fasta	NODE_23_length_84091_cov_15.8156	26231	26415	+	ISCro3:[]	579-763/1430	......===......	0/0	12.94	77.30	ISfinder_Feb_2020		ISCro3:[]	
ESC_NA4071AA_AS.fasta	NODE_24_length_82858_cov_17.4941	1	174	-	IS10R:J01829	1-174/1329	==.............	0/0	13.09	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_NA4071AA_AS.fasta	NODE_25_length_72093_cov_22.7409	3526	4293	+	IS1A:X52534	1-768/768	===============	0/0	100.00	99.48	ISfinder_Feb_2020		IS1A:X52534	
ESC_NA4071AA_AS.fasta	NODE_25_length_72093_cov_22.7409	9087	10266	-	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
