#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_11_length_162637_cov_13.232244	643	797	-	ISEc1:L02370	1-155/1291	==.............	0/0	12.01	85.81	ISfinder_Feb_2020		ISEc1:L02370	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_122_length_446_cov_32.865204	1	446	-	IS4:J01733	173-618/1426	.======........	0/0	31.28	100.00	ISfinder_Feb_2020		IS4:J01733	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_129_length_424_cov_83.424242	1	424	-	IS1A:X52534	263-686/768	.....=========.	0/0	55.21	100.00	ISfinder_Feb_2020		IS1A:X52534	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_134_length_331_cov_23.612745	1	331	+	IS200C:NC_004431	5-335/709	========.......	0/0	46.69	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_13_length_135457_cov_14.502623	1	131	-	IS1F:X52538	1-131/768	===............	0/0	17.06	99.24	ISfinder_Feb_2020		IS1F:X52538	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_142_length_232_cov_68.228571	1	232	+	IS1A:X52534	158-389/768	...=====.......	0/0	30.21	99.57	ISfinder_Feb_2020		IS1A:X52534	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_15_length_129499_cov_15.007768	58748	58836	+	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_18_length_120769_cov_14.836234	76890	77012	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_18_length_120769_cov_14.836234	88802	88892	+	IS621:NC_009800	1335-1425/1425	..............=	0/0	6.39	87.91	ISfinder_Feb_2020		IS621:NC_009800	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_1_length_400485_cov_13.860540	1	127	+	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_1_length_400485_cov_13.860540	205376	205498	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_20_length_114982_cov_13.762474	112063	113346	-	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_20_length_114982_cov_13.762474	113355	114785	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
