#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_10_length_157917_cov_11.391584	6180	6298	-	entD	14-132/771	===...../......	2/2	15.30	82.50	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_11_length_147862_cov_12.900971	118139	118258	+	entD	1-130/771	===...../......	2/12	15.43	83.97	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_12_length_133585_cov_12.018058	2310	2445	-	entD	1-136/771	===...../......	2/2	17.51	91.97	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_12_length_133585_cov_12.018058	128023	128157	+	entD	1-136/771	===...../......	3/3	17.38	81.75	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_13_length_129526_cov_12.737409	58694	58824	-	entD	1-131/771	===...../......	2/2	16.86	84.85	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_13_length_129526_cov_12.737409	92532	92644	+	katB	1231-1343/2196	........==.....	0/0	5.15	80.53	vfdb	YP_096397	(katB) catalase-peroxidase KatB [KatAB (VF0168)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_13_length_129526_cov_12.737409	95284	95393	+	entD	15-124/771	===...../......	2/2	14.14	88.29	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_14_length_115340_cov_11.596738	96433	96556	-	entD	14-137/771	===...../......	2/2	15.95	91.20	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_14_length_115340_cov_11.596738	103146	103262	+	entD	15-132/771	===...../......	1/1	15.18	83.90	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_15_length_114982_cov_11.857351	68213	68315	+	entD	14-117/771	===...../......	3/7	12.97	83.18	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_17_length_113853_cov_12.404947	37001	38429	-	aslA	1-1428/1428	========/======	1/1	100.00	98.67	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_19_length_94309_cov_12.414187	88743	88879	-	entD	1-137/771	===...../......	2/2	17.64	87.68	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	9954	10057	-	entD	11-114/771	===...../......	2/2	13.36	93.33	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	142366	142484	+	entD	1-119/771	===...../......	2/2	15.30	86.67	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	227210	228010	-	chuV	1-801/801	===============	0/0	100.00	99.75	vfdb	NP_756180	(chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	227977	228969	-	chuU	1-993/993	===============	0/0	100.00	99.80	vfdb	NP_756179	(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	229018	229641	-	chuY	1-624/624	===============	0/0	100.00	98.40	vfdb	NP_756178	(chuY) ChuY [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	229641	230135	-	chuX	1-495/495	===============	0/0	100.00	99.80	vfdb	NP_756177	(chuX) putative heme-binding protein ChuX [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	230148	231485	-	chuW	1-1338/1338	===============	0/0	100.00	99.48	vfdb	NP_756176	(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	231505	232497	-	chuT	1-993/993	===============	0/0	100.00	99.80	vfdb	NP_756175	(chuT) periplasmic heme-binding protein ChuT [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	233139	235085	+	chuA	1-1947/1947	===============	0/0	100.00	99.49	vfdb	NP_756170	(chuA) Outer membrane heme/hemoglobin receptor ChuA [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	235134	236162	+	chuS	1-1029/1029	===============	0/0	100.00	98.93	vfdb	NP_756169	(chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	289450	289554	+	entD	11-114/771	===...../......	3/3	13.36	85.85	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	295261	295391	-	entD	11-140/771	===...../......	2/3	16.73	85.61	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_1_length_420117_cov_12.678721	370947	371050	-	entD	10-114/771	===...../......	3/3	13.36	85.85	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_20_length_92697_cov_11.482975	1	94	-	fepD	1-94/1017	==.............	0/0	9.24	100.00	vfdb	NP_752608	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_20_length_92697_cov_11.482975	193	1443	+	entS	1-1251/1251	===============	0/0	100.00	98.56	vfdb	NP_752609	(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_20_length_92697_cov_11.482975	1447	2403	-	fepB	1-957/957	===============	0/0	100.00	99.79	vfdb	NP_752610	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_20_length_92697_cov_11.482975	2580	3767	+	entC	1-1188/1188	===============	0/0	100.00	99.75	vfdb	NP_752611	(entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_20_length_92697_cov_11.482975	3777	5387	+	entE	1-1611/1611	===============	0/0	100.00	98.76	vfdb	NP_752612	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_20_length_92697_cov_11.482975	5401	6258	+	entB	1-858/858	===============	0/0	100.00	99.30	vfdb	NP_752613	(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_20_length_92697_cov_11.482975	6258	7004	+	entA	1-747/747	===============	0/0	100.00	98.53	vfdb	NP_752614	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073]	
ESC_LB6278AA_AS.fasta	ESC_LB6278AA_AS_NODE_21_length_87909_cov_12.467340	7817	7931	+	entD	14-127/771	===...../......	2/3	14.66	82.76	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]	
