#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_GA5350AA_AS.fasta	NODE_106_length_10468_cov_8.267_ID_211	149	1729	+	malX_AF081286.1:c2588-1008	1-1581/1581	===============	0/0	100.00	98.80	EC_custom_Feb_2020		malX_AF081286.1:c2588-1008	
ESC_GA5350AA_AS.fasta	NODE_112_length_9184_cov_9.71205_ID_223	8587	8808	-	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	98.65	EC_custom_Feb_2020		yeeT_|VFG1529	
ESC_GA5350AA_AS.fasta	NODE_114_length_8832_cov_8.62447_ID_227	4519	5796	+	iucD_AY545598.5	1-1278/1278	===============	0/0	100.00	99.92	EC_custom_Feb_2020		iucD_AY545598.5	
ESC_GA5350AA_AS.fasta	NODE_114_length_8832_cov_8.62447_ID_227	5878	8079	+	iutA_KU578032.1	1-2202/2202	===============	0/0	100.00	100.00	EC_custom_Feb_2020		iutA_KU578032.1	
ESC_GA5350AA_AS.fasta	NODE_121_length_7630_cov_10.0489_ID_241	5124	5345	-	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	95.50	EC_custom_Feb_2020		yeeT_|VFG1529	
ESC_GA5350AA_AS.fasta	NODE_131_length_6256_cov_7.20101_ID_261	2771	4465	-	merA_CP022086.1	1-1695/1695	===============	0/0	100.00	100.00	EC_custom_Feb_2020		merA_CP022086.1	
ESC_GA5350AA_AS.fasta	NODE_132_length_6095_cov_11.0159_ID_263	167	472	-	papI_DQ095216.1	1-306/306	===============	0/0	100.00	100.00	EC_custom_Feb_2020		papI_DQ095216.1	
ESC_GA5350AA_AS.fasta	NODE_146_length_5103_cov_10.4542_ID_291	3693	3914	-	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	93.24	EC_custom_Feb_2020		yeeT_|VFG1529	
ESC_GA5350AA_AS.fasta	NODE_159_length_4420_cov_9.73352_ID_317	383	604	+	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	95.95	EC_custom_Feb_2020		yeeT_|VFG1529	
ESC_GA5350AA_AS.fasta	NODE_160_length_4245_cov_12.5311_ID_319	1483	2397	-	sitA_(gi:91210366)|VFG012573	1-915/915	===============	0/0	100.00	99.34	EC_custom_Feb_2020		sitA_(gi:91210366)|VFG012573	
