#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_109_length_558_cov_3338.044084	148	398	-	pAVC171-IncF	107239-107490/144998	......../..=...	3/3	0.17	90.51	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_10_length_176121_cov_14.649681	94123	94395	+	pAVC171-IncF	114743-115014/144998	......../...=..	1/1	0.19	75.46	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_129_length_424_cov_83.424242	1	424	+	pAVC171-IncF	126109-126532/144998	.............=.	0/0	0.29	99.76	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_134_length_331_cov_23.612745	1	331	+	pAVC171-IncF	15269-15599/144998	.=.............	0/0	0.23	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_13_length_135457_cov_14.502623	1	131	+	pAVC171-IncF	126664-126794/144998	.............=.	0/0	0.09	88.55	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_142_length_232_cov_68.228571	1	232	-	pAVC171-IncF	126406-126637/144998	.............=.	0/0	0.16	99.57	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_22_length_104859_cov_14.024701	1	127	+	pAVC171-IncF	15473-15599/144998	.=.............	0/0	0.09	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_22_length_104859_cov_14.024701	391	502	+	pAVC171-IncF	45541-45652/144998	....=..........	0/0	0.08	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_24_length_84961_cov_14.370736	1	143	-	pAVC171-IncF	15253-15395/144998	.=.............	0/0	0.10	98.60	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_25_length_84666_cov_12.882173	1	453	+	pAVC171-IncF	141750-142201/144998	......../.....=	2/3	0.31	90.75	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	127	15180	+	pAVC171-IncF	24244-39299/144998	..==..../......	1/2	10.38	99.91	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	15219	27918	+	pAVC171-IncF	39425-52124/144998	....==.........	0/0	8.76	99.94	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	27914	29730	+	pAVC171-IncF	66943-68758/144998	......=./......	1/1	1.25	98.62	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	29720	31236	+	pAVC171-IncF	69887-71400/144998	......=./......	7/11	1.04	94.21	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	31277	40472	+	pAVC171-IncF	72408-81606/144998	......==/......	2/3	6.34	97.63	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	41098	61034	+	pAVC171-IncF	83464-103398/144998	......../==....	1/2	13.75	99.14	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	61029	78505	+	pAVC171-IncF	106038-123514/144998	......../..==..	2/2	12.05	99.91	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_27_length_81398_cov_13.765464	78316	81398	+	pAVC171-IncF	123153-126235/144998	............==.	0/0	2.13	99.03	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_31_length_56137_cov_14.848545	1	366	+	pAVC171-IncF	22302-22667/144998	..=............	0/0	0.25	98.36	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_32_length_45130_cov_15.753328	9873	11183	+	pAVC171-IncF	7712-9022/144998	=..............	0/0	0.90	93.82	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_34_length_39209_cov_13.226114	38145	38361	-	pAVC171-IncF	23537-23749/144998	..=...../......	3/6	0.15	76.61	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_37_length_34139_cov_15.071269	27321	27671	-	pAVC171-IncF	22317-22667/144998	..=............	0/0	0.24	94.59	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	11502	11619	-	pAVC171-IncF	38563-38680/144998	...==..........	0/0	0.08	90.68	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	13343	13520	+	pAVC171-IncF	8849-9026/144998	=..............	0/0	0.12	98.31	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	14391	14502	-	pAVC171-IncF	82995-83106/144998	........=......	0/0	0.08	83.93	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	14507	14744	-	pAVC171-IncF	81862-82099/144998	.......=/......	3/6	0.16	88.38	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	14744	14815	-	pAVC171-IncF	5503-5574/144998	=..............	0/0	0.05	95.83	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	14811	15584	-	pAVC171-IncF	142316-143089/144998	..............=	0/0	0.53	92.25	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	24257	24601	+	pAVC171-IncF	9124-9453/144998	=......./......	3/17	0.23	87.57	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_38_length_33976_cov_16.148867	28822	29170	+	pAVC171-IncF	9120-9453/144998	=......./......	3/17	0.23	93.43	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_42_length_17517_cov_15.211788	1	15395	-	pAVC171-IncF	1-15395/144998	==.............	0/0	10.62	99.93	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_42_length_17517_cov_15.211788	15396	17517	-	pAVC171-IncF	142877-144998/144998	..............=	0/0	1.46	99.95	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_43_length_16684_cov_13.510419	1	128	-	pAVC171-IncF	142315-142442/144998	..............=	0/0	0.09	88.28	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_43_length_16684_cov_13.510419	8524	8889	+	pAVC171-IncF	9487-9828/144998	=......./......	5/24	0.24	79.23	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_45_length_14351_cov_14.539019	1919	2578	-	pAVC171-IncF	24250-24909/144998	..=...../......	2/2	0.45	97.28	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_45_length_14351_cov_14.539019	2916	4173	+	pAVC171-IncF	81862-83119/144998	........=......	0/0	0.87	99.84	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_47_length_12682_cov_13.004540	1	12682	-	pAVC171-IncF	126511-139193/144998	......../....==	1/1	8.75	99.97	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_48_length_12414_cov_14.743062	1	127	-	pAVC171-IncF	21337-21463/144998	..=............	0/0	0.09	94.49	pAVC171-IncF		pAVC171-IncF	
ESC_LB6279AA_AS.fasta	ESC_LB6279AA_AS_NODE_4_length_234015_cov_13.000026	231151	231355	-	pAVC171-IncF	143931-144137/144998	......../.....=	1/2	0.14	90.34	pAVC171-IncF		pAVC171-IncF	
