#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_HA5568AA_AS.fasta	NODE_11_length_162527_cov_15.4043_ID_21	12674	13730	+	IS903B:X02527	1-1057/1057	===============	0/0	100.00	95.27	ISfinder_Feb_2020		IS903B:X02527	
ESC_HA5568AA_AS.fasta	NODE_12_length_147571_cov_11.9727_ID_23	125799	125921	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_HA5568AA_AS.fasta	NODE_26_length_49694_cov_20.3954_ID_51	27474	28730	+	ISKpn37:KU318421	1-1253/1253	========/======	2/4	100.00	97.30	ISfinder_Feb_2020		ISKpn37:KU318421	
ESC_HA5568AA_AS.fasta	NODE_26_length_49694_cov_20.3954_ID_51	47207	49557	+	IS682:NC_002695	1-2330/2533	========/=====.	2/21	91.99	95.70	ISfinder_Feb_2020		IS682:NC_002695	
ESC_HA5568AA_AS.fasta	NODE_3_length_353405_cov_14.0378_ID_5	191785	192493	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_HA5568AA_AS.fasta	NODE_40_length_22616_cov_12.4463_ID_79	4867	6588	-	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.18	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_HA5568AA_AS.fasta	NODE_40_length_22616_cov_12.4463_ID_79	9681	11139	+	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.93	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_HA5568AA_AS.fasta	NODE_62_length_2984_cov_21.7791_ID_123	448	2857	+	ISEc10:NC_004431	1-2410/2410	===============	0/0	100.00	99.88	ISfinder_Feb_2020		ISEc10:NC_004431	
ESC_HA5568AA_AS.fasta	NODE_6_length_312566_cov_15.5443_ID_11	169748	169870	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_HA5568AA_AS.fasta	NODE_79_length_1421_cov_30.694_ID_157	1	1421	-	ISEc45:NC_004431	1-1421/1447	===============	0/0	98.20	99.93	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_HA5568AA_AS.fasta	NODE_7_length_229729_cov_12.7956_ID_13	1034	2317	+	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_HA5568AA_AS.fasta	NODE_82_length_1063_cov_42.6154_ID_163	1	1063	+	ISKpn26:NC_016845	1-1063/1196	==============.	0/0	88.88	99.81	ISfinder_Feb_2020		ISKpn26:NC_016845	
ESC_HA5568AA_AS.fasta	NODE_84_length_927_cov_32.7413_ID_167	1	820	-	IS26:X00011	1-820/820	===============	0/0	100.00	99.88	ISfinder_Feb_2020		IS26:X00011	
ESC_HA5568AA_AS.fasta	NODE_91_length_768_cov_48.1622_ID_181	1	768	+	IS1S:M37615	1-768/768	===============	0/0	100.00	99.22	ISfinder_Feb_2020		IS1S:M37615	
ESC_HA5568AA_AS.fasta	NODE_9_length_195497_cov_12.5043_ID_17	56875	58413	+	ISEc13:DQ388534	1-1550/1550	========/======	4/13	99.23	96.45	ISfinder_Feb_2020		ISEc13:DQ388534	
