#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_10_length_148941_cov_3.632550	111988	112443	-	csgB	1-456/456	========/======	2/2	99.78	84.03	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_10_length_148941_cov_3.632550	113196	113846	+	csgD	1-651/651	===============	0/0	100.00	81.41	vfdb	NP_460113	(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_10_length_148941_cov_3.632550	114265	114681	+	csgF	1-417/417	========/======	3/8	99.04	81.00	vfdb	NP_460111	(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_10_length_148941_cov_3.632550	114708	115541	+	csgG	1-834/834	===============	0/0	100.00	82.97	vfdb	NP_460110	(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	31143	35273	-	vat	1-4131/4131	===============	0/0	100.00	99.95	vfdb	NP_752330	(vat) Haemoglobin protease [Tsh (VF0233)] [Escherichia coli CFT073]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	38884	39637	-	yagV/ecpE	1-754/756	===============	0/0	99.74	98.28	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	39561	41204	-	yagW/ecpD	1-1644/1644	===============	0/0	100.00	99.03	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	41194	43720	-	yagX/ecpC	1-2526/2526	========/======	1/1	100.00	97.67	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	43746	44414	-	yagY/ecpB	1-669/669	===============	0/0	100.00	98.06	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	44471	45058	-	yagZ/ecpA	1-588/588	===============	0/0	100.00	98.30	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	45132	45722	-	ykgK/ecpR	1-591/591	===============	0/0	100.00	99.32	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_14_length_121983_cov_4.088070	54975	59225	+	fdeC	1-4251/4251	===============	0/0	100.00	100.00	vfdb	YP_002390132	(fdeC) adhesin FdeC [FdeC (VF0506)] [Escherichia coli O45:K1:H7 str. S88]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_15_length_113087_cov_4.440600	74814	76242	+	aslA	1-1428/1428	========/======	1/1	100.00	98.67	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_16_length_74240_cov_1.722451	1019	2157	-	senB	2-1140/1140	===============	0/0	99.91	99.74	vfdb	YP_406304	(senB) enterotoxin [ShET2 (VF0258)] [Shigella flexneri 2a str. 301]	
ESC_IB7548AA_AS.fasta	ESC_IB7548AA_AS_NODE_17_length_68025_cov_4.355536	53444	54046	+	fimB	1-603/603	===============	0/0	100.00	97.84	vfdb	NP_757239	(fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
