#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_109_length_5212_cov_46.340413	1313	1534	+	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	93.24	EC_custom_Feb_2020		yeeT_|VFG1529	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_121_length_4254_cov_33.913496	1067	2176	-	hylF_CP000836.1	1-1110/1110	===============	0/0	100.00	99.82	EC_custom_Feb_2020		hylF_CP000836.1	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_121_length_4254_cov_33.913496	2609	3562	-	ompT_HM210637.1	1-954/954	===============	0/0	100.00	100.00	EC_custom_Feb_2020		ompT_HM210637.1	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_122_length_3862_cov_29.975100	2813	3862	-	neuC_CP007275.1	127-1176/1176	.==============	0/0	89.29	100.00	EC_custom_Feb_2020		neuC_CP007275.1	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_125_length_3575_cov_27.679234	1	91	-	cvi_AY545598.5	1-91/237	======.........	0/0	38.40	100.00	EC_custom_Feb_2020		cvi_AY545598.5	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_135_length_2391_cov_37.116166	789	2232	-	kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102	1-1444/1444	===============	0/0	100.00	100.00	EC_custom_Feb_2020		kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_138_length_2211_cov_46.124280	937	1075	+	papGIII_CP010151.1|3421241-3422500	1121-1260/1260	......../....==	1/1	11.03	90.00	EC_custom_Feb_2020		papGIII_CP010151.1|3421241-3422500	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_164_length_1127_cov_62.023000	852	1127	-	traT_CP018978.1	457-732/732	.........======	0/0	37.70	99.28	EC_custom_Feb_2020		traT_CP018978.1	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_17_length_90244_cov_43.678585	86243	87145	-	fimH_CP015076.1	1-903/903	===============	0/0	100.00	98.67	EC_custom_Feb_2020		fimH_CP015076.1	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_218_length_478_cov_5.823362	1	182	+	cvi_AY545598.5	56-237/237	...============	0/0	76.79	100.00	EC_custom_Feb_2020		cvi_AY545598.5	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_218_length_478_cov_5.823362	160	471	-	cvaC_X57525.1	1-312/312	===============	0/0	100.00	100.00	EC_custom_Feb_2020		cvaC_X57525.1	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_23_length_68539_cov_32.884289	17557	23686	+	irp2_(gi:117624162)|VFG012550	1-6126/6126	========/======	1/4	100.00	99.94	EC_custom_Feb_2020		irp2_(gi:117624162)|VFG012550	
