#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_18_length_119025_cov_6.992397	41104	41643	-	IncHI1B(R27)_1_R27	1-540/540	===============	0/0	100.00	100.00	plasmidfinder	AF250878	IncHI1B(R27)_1_R27_AF250878	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_18_length_119025_cov_6.992397	54720	55139	+	IncHI1A_1	1-420/420	===============	0/0	100.00	100.00	plasmidfinder	AF250878	IncHI1A_1__AF250878	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_29_length_44159_cov_13.664471	10485	10858	-	IncX1_1	1-374/374	===============	0/0	100.00	99.20	plasmidfinder	EU370913	IncX1_1__EU370913	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_34_length_32757_cov_17.316243	24411	24784	+	IncX4_1	1-374/374	===============	0/0	100.00	100.00	plasmidfinder	CP002895	IncX4_1__CP002895	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_56_length_10824_cov_9.468730	8184	8865	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	98.24	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_63_length_8664_cov_9.096287	4787	5283	-	IncFIC(FII)_1	1-499/499	========/======	1/2	99.60	95.59	plasmidfinder	AP001918	IncFIC(FII)_1__AP001918	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_65_length_8579_cov_7.230123	7641	8028	-	IncFIA(HI1)_1_HI1	1-388/388	===============	0/0	100.00	100.00	plasmidfinder	AF250878	IncFIA(HI1)_1_HI1_AF250878	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_74_length_5899_cov_113.524428	5124	5254	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_79_length_4720_cov_129.083388	1800	1930	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	90.08	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_91_length_2893_cov_97.929863	63	314	-	Col(MG828)_1	1-262/262	========/======	1/10	96.18	88.17	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
ESC_GB6087AA_AS.fasta	ESC_GB6087AA_AS_NODE_95_length_2621_cov_60.101043	197	310	-	Col440I_1	1-114/114	===============	0/0	100.00	94.74	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
