#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
AVC171.fasta	1	87415	88593	+	wzy-O153var1	1-1179/1179	===============	0/0	100.00	100.00	ecoh	ERS139265	O antigen polyermase O153-like	
AVC171.fasta	1	89550	90728	+	wzx-O153var1	1-1179/1179	===============	0/0	100.00	100.00	ecoh	ERS139265	O antigen flippase O153-like	
AVC171.fasta	1	250176	251933	+	fliC-H7	1-1758/1758	===============	0/0	100.00	100.00	ecoh	AF228492.1	flagellin H7	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_AA7971AA_AS.fasta	NODE_2_length_422374_cov_5.01177_ID_3	33838	35595	+	fliC-H7	1-1758/1758	===============	0/0	100.00	100.00	ecoh	AF228492.1	flagellin H7	
ESC_AA7971AA_AS.fasta	NODE_3_length_419790_cov_4.9929_ID_5	389670	390917	+	wzx-O18-Gp12	1-1248/1248	===============	0/0	100.00	99.84	ecoh	GU299793.1	O antigen flippase O18	
ESC_AA7971AA_AS.fasta	NODE_3_length_419790_cov_4.9929_ID_5	390974	392164	+	wzy-O18-Gp12	1-1191/1191	===============	0/0	100.00	99.92	ecoh	GU299793.1	O antigen polyermase O18	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_AA9421AA_AS.fasta	NODE_3_length_501756_cov_4.08265_ID_5	467951	469213	+	wzx-O2-O50-Gp7	1-1263/1263	===============	0/0	100.00	100.00	ecoh	EU549863.1	O antigen flippase O2	
ESC_AA9421AA_AS.fasta	NODE_3_length_501756_cov_4.08265_ID_5	470926	471888	+	wzy-O2-Gp7	1-963/963	===============	0/0	100.00	99.90	ecoh	EU549863.1	O antigen polyermase O2	
ESC_AA9421AA_AS.fasta	NODE_4_length_418743_cov_3.65211_ID_7	383197	384954	-	fliC-H7	1-1758/1758	===============	0/0	100.00	100.00	ecoh	AF228492.1	flagellin H7	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_BA0967AA_AS.fasta	NODE_1_length_768587_cov_12.6996_ID_1	591649	593406	-	fliC-H7	1-1758/1758	===============	0/0	100.00	100.00	ecoh	AF228492.1	flagellin H7	
ESC_BA0967AA_AS.fasta	NODE_3_length_612440_cov_11.3783_ID_5	25086	26090	-	wzy-O1	1-1005/1005	===============	0/0	100.00	99.80	ecoh	GU299791.1	O antigen polyermase O1	
ESC_BA0967AA_AS.fasta	NODE_3_length_612440_cov_11.3783_ID_5	28358	29584	-	wzx-O1	1-1227/1227	===============	0/0	100.00	99.92	ecoh	GU299791.1	O antigen flippase O1	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_BA1000AA_AS.fasta	NODE_1_length_653322_cov_14.2829_ID_1	623747	624973	+	wzx-O1	1-1227/1227	===============	0/0	100.00	99.92	ecoh	GU299791.1	O antigen flippase O1	
ESC_BA1000AA_AS.fasta	NODE_1_length_653322_cov_14.2829_ID_1	627241	628245	+	wzy-O1	1-1005/1005	===============	0/0	100.00	99.80	ecoh	GU299791.1	O antigen polyermase O1	
ESC_BA1000AA_AS.fasta	NODE_7_length_229460_cov_16.5571_ID_13	52550	54307	-	fliC-H7	1-1758/1758	===============	0/0	100.00	100.00	ecoh	AF228492.1	flagellin H7	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_BA1242AA_AS.fasta	NODE_19_length_79265_cov_2.95389_ID_37	25306	26310	-	wzy-O1	1-1005/1005	===============	0/0	100.00	99.80	ecoh	GU299791.1	O antigen polyermase O1	
ESC_BA1242AA_AS.fasta	NODE_19_length_79265_cov_2.95389_ID_37	28578	29804	-	wzx-O1	1-1227/1227	===============	0/0	100.00	99.92	ecoh	GU299791.1	O antigen flippase O1	
ESC_BA1242AA_AS.fasta	NODE_8_length_161487_cov_2.75731_ID_15	7573	9330	+	fliC-H7	1-1758/1758	===============	0/0	100.00	100.00	ecoh	AF228492.1	flagellin H7	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_BA1451AA_AS.fasta	NODE_2_length_430553_cov_5.93348_ID_3	42870	43919	+	fliC-H4	1-1050/1050	===============	0/0	100.00	100.00	ecoh	AJ605764.1	flagellin H4	
ESC_BA1451AA_AS.fasta	NODE_3_length_404856_cov_6.18816_ID_5	46966	47928	-	wzy-O2-Gp7	1-963/963	===============	0/0	100.00	100.00	ecoh	EU549863.1	O antigen polyermase O2	
ESC_BA1451AA_AS.fasta	NODE_3_length_404856_cov_6.18816_ID_5	49641	50903	-	wzx-O2-O50-Gp7	1-1263/1263	===============	0/0	100.00	100.00	ecoh	EU549863.1	O antigen flippase O2	
#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_BA2267AA_AS.fasta	NODE_16_length_90483_cov_3.44898_ID_31	33798	35555	+	fliC-H7	1-1758/1758	===============	0/0	100.00	100.00	ecoh	AF228492.1	flagellin H7	
ESC_BA2267AA_AS.fasta	NODE_31_length_38676_cov_4.42547_ID_61	9236	10483	+	wzx-O18-Gp12	1-1248/1248	===============	0/0	100.00	99.76	ecoh	GU299793.1	O antigen flippase O18	
