#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	62161	62763	+	fimB	1-603/603	===============	0/0	100.00	98.18	vfdb	NP_757239	(fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	63241	63837	+	fimE	1-597/597	===============	0/0	100.00	98.66	vfdb	NP_757240	(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	64263	64868	+	fimA	1-606/606	===============	0/0	100.00	92.41	vfdb	NP_757241	(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	64933	65472	+	fimI	1-540/540	===============	0/0	100.00	98.33	vfdb	NP_757242	(fimI) Fimbrin-like protein fimI precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	65509	66234	+	fimC	1-726/726	===============	0/0	100.00	98.48	vfdb	NP_757243	(fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	66301	68937	+	fimD	1-2637/2637	===============	0/0	100.00	98.26	vfdb	NP_757244	(fimD) Outer membrane usher protein fimD precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	68944	69477	+	fimF	1-534/534	===============	0/0	100.00	97.38	vfdb	NP_757245	(fimF) FimF protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	69490	69993	+	fimG	1-504/504	===============	0/0	100.00	98.02	vfdb	NP_757247	(fimG) FimG protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_15_length_121862_cov_12.112447	70004	70915	+	fimH	1-912/912	===============	0/0	100.00	97.26	vfdb	NP_757248	(fimH) FimH protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073]	
ESC_CB2309AA_AS.fasta	ESC_CB2309AA_AS_NODE_1_length_808756_cov_9.438644	103710	104165	-	csgB	1-456/456	========/======	2/2	99.78	84.03	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
