#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_QA7878AA_AS.fasta	NODE_108_length_5889_cov_20.0902	1629	1748	+	ColRNAI_1	13-130/130	.=======/======	2/2	90.77	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_QA7878AA_AS.fasta	NODE_113_length_5334_cov_18.1988	3772	3902	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_QA7878AA_AS.fasta	NODE_114_length_5294_cov_27.259	4908	5061	+	Col156_1	1-154/154	===============	0/0	100.00	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
ESC_QA7878AA_AS.fasta	NODE_120_length_4209_cov_17.1085	3439	3640	+	Col8282_1	4-205/207	===============	0/0	97.58	89.60	plasmidfinder	DQ995352	Col8282_1__DQ995352	
ESC_QA7878AA_AS.fasta	NODE_145_length_2223_cov_83.9256	1342	1534	+	ColpVC_1	1-193/193	===============	0/0	100.00	98.96	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_QA7878AA_AS.fasta	NODE_160_length_1679_cov_64.7513	917	1178	-	Col(MG828)_1	1-262/262	===============	0/0	100.00	93.51	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
ESC_QA7878AA_AS.fasta	NODE_19_length_72943_cov_11.2023	65460	65614	+	IncB/O/K/Z_2	1-154/160	========/======	1/1	96.25	96.13	plasmidfinder	GU256641	IncB/O/K/Z_2__GU256641	
ESC_QA7878AA_AS.fasta	NODE_45_length_41195_cov_10.8114	38921	39178	-	IncFII(29)_1_pUTI89	1-259/259	========/======	1/1	99.61	97.30	plasmidfinder	CP003035	IncFII(29)_1_pUTI89_CP003035	
ESC_QA7878AA_AS.fasta	NODE_82_length_13043_cov_10.218	3936	4617	-	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	96.63	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
ESC_QA7878AA_AS.fasta	NODE_98_length_8369_cov_9.83718	6880	7021	-	Col156_1	13-154/154	.==============	0/0	92.21	98.59	plasmidfinder	NC_009781	Col156_1__NC_009781	
