#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_LA2848AA_AS.fasta	NODE_107_length_267_cov_2.25325	1	267	+	pAVC171-IncF	139972-140238/144998	..............=	0/0	0.18	98.13	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_108_length_194_cov_16.1481	1	194	-	pAVC171-IncF	142891-143084/144998	..............=	0/0	0.13	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_11_length_144967_cov_3.86805	144600	144967	+	pAVC171-IncF	21337-21704/144998	..=............	0/0	0.25	97.28	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_18_length_84586_cov_3.60441	1	413	+	pAVC171-IncF	141790-142201/144998	......../.....=	2/3	0.28	89.86	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_1_length_750903_cov_3.70048	741551	741755	-	pAVC171-IncF	143931-144137/144998	......../.....=	1/2	0.14	90.34	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_1_length_750903_cov_3.70048	741882	742019	-	pAVC171-IncF	143794-143930/144998	......../.....=	1/1	0.09	89.86	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_20_length_54672_cov_2.71702	1	766	+	pAVC171-IncF	51359-52124/144998	.....=.........	0/0	0.53	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_20_length_54672_cov_2.71702	762	2578	+	pAVC171-IncF	66943-68758/144998	......=./......	1/1	1.25	98.62	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_20_length_54672_cov_2.71702	2568	4084	+	pAVC171-IncF	69887-71400/144998	......=./......	7/11	1.04	94.21	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_20_length_54672_cov_2.71702	4125	13320	+	pAVC171-IncF	72408-81606/144998	......==/......	2/3	6.34	97.63	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_20_length_54672_cov_2.71702	13946	33882	+	pAVC171-IncF	83464-103398/144998	......../==....	1/2	13.75	99.15	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_20_length_54672_cov_2.71702	33877	51353	+	pAVC171-IncF	106038-123514/144998	......../..==..	2/2	12.05	99.92	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_20_length_54672_cov_2.71702	51293	54672	+	pAVC171-IncF	123153-126532/144998	............==.	0/0	2.33	99.05	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_22_length_37039_cov_4.09351	12960	13049	+	pAVC171-IncF	83031-83119/144998	......../=.....	1/1	0.06	87.78	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_22_length_37039_cov_4.09351	36927	37039	-	pAVC171-IncF	142972-143084/144998	..............=	0/0	0.08	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_LA2848AA_AS.fasta	NODE_24_length_32878_cov_4.14055	27258	27608	-	pAVC171-IncF	22317-22667/144998	..=............	0/0	0.24	94.59	pAVC171-IncF		pAVC171-IncF	
