#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_14_length_118885_cov_10.691254	107521	108435	+	sitA	1-915/915	===============	0/0	100.00	98.25	colV_zoetis		sitA	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_14_length_118885_cov_10.691254	108435	109262	+	sitB	1-828/828	===============	0/0	100.00	99.03	colV_zoetis		sitB	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_14_length_118885_cov_10.691254	109259	110094	+	sitC	1-837/837	========/======	1/1	99.88	98.69	colV_zoetis		sitC	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_14_length_118885_cov_10.691254	110113	110970	+	sitD	1-858/858	===============	0/0	100.00	95.80	colV_zoetis		sitD	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	4293	5456	+	iroB	1-1164/1164	===============	0/0	100.00	100.00	colV_zoetis		iroB	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	5470	9255	+	iroC	1-3786/3786	===============	0/0	100.00	99.84	colV_zoetis		iroC	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	9359	10588	+	iroD	1-1230/1230	===============	0/0	100.00	99.92	colV_zoetis		iroD	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	10673	11629	+	iroE	1-957/957	===============	0/0	100.00	100.00	colV_zoetis		iroE	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	11674	13851	+	iroN	1-2178/2178	===============	0/0	100.00	99.77	colV_zoetis		iroN	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	18126	19037	+	cvaA	1-912/912	===============	0/0	100.00	100.00	colV_zoetis		cvaA	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	19012	21126	+	cvaB	1-2115/2115	===============	0/0	100.00	99.91	colV_zoetis		cvaB	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	21296	21607	+	cvaC	1-312/312	===============	0/0	100.00	100.00	colV_zoetis		cvaC	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_16_length_83250_cov_4.837494	21585	21821	+	cvi	1-237/237	===============	0/0	100.00	100.00	colV_zoetis		cvi	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_23_length_26029_cov_4.752529	6788	8158	-	etsC	1-1371/1371	===============	0/0	100.00	100.00	colV_zoetis		etsC	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_23_length_26029_cov_4.752529	8162	10102	-	etsB	1-1941/1941	===============	0/0	100.00	99.90	colV_zoetis		etsB	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_23_length_26029_cov_4.752529	10099	10476	-	etsA	1-378/378	===============	0/0	100.00	98.94	colV_zoetis		etsA	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_23_length_26029_cov_4.752529	17838	18791	-	ompT	1-954/954	===============	0/0	100.00	100.00	colV_zoetis		ompT	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_23_length_26029_cov_4.752529	19552	21304	-	hlyF	1-1754/1754	========/======	1/1	99.94	99.32	colV_zoetis		hlyF	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_34_length_7385_cov_4.676495	756	1703	-	iucB	1-948/948	===============	0/0	100.00	99.79	colV_zoetis		iucB	
ESC_IB7712AA_AS.fasta	ESC_IB7712AA_AS_NODE_34_length_7385_cov_4.676495	1704	3485	-	iucA	1-1782/1782	===============	0/0	100.00	99.89	colV_zoetis		iucA	
