#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	716	2917	-	iutA	1-2202/2202	===============	0/0	100.00	99.91	colV_zoetis		iutA	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	2999	4276	-	iucD	1-1278/1278	===============	0/0	100.00	99.92	colV_zoetis		iucD	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	4273	6015	-	iucC	1-1743/1743	===============	0/0	100.00	99.94	colV_zoetis		iucC	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	6015	6962	-	iucB	1-948/948	===============	0/0	100.00	99.89	colV_zoetis		iucB	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	6963	8744	-	iucA	1-1782/1782	===============	0/0	100.00	99.89	colV_zoetis		iucA	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	12019	12876	-	sitD	1-858/858	===============	0/0	100.00	99.88	colV_zoetis		sitD	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	12895	13730	-	sitC	1-837/837	========/======	1/1	99.88	99.52	colV_zoetis		sitC	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	13727	14554	-	sitB	1-828/828	===============	0/0	100.00	99.64	colV_zoetis		sitB	
ESC_JA4785AA_AS.fasta	NODE_18_length_99483_cov_6.85299	14554	15468	-	sitA	1-915/915	===============	0/0	100.00	98.91	colV_zoetis		sitA	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	14124	14360	-	cvi	1-237/237	===============	0/0	100.00	100.00	colV_zoetis		cvi	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	14338	14649	-	cvaC	1-312/312	===============	0/0	100.00	100.00	colV_zoetis		cvaC	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	14819	16933	-	cvaB	1-2115/2115	===============	0/0	100.00	99.91	colV_zoetis		cvaB	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	16908	17819	-	cvaA	1-912/912	===============	0/0	100.00	100.00	colV_zoetis		cvaA	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	22096	24273	-	iroN	1-2178/2178	===============	0/0	100.00	99.95	colV_zoetis		iroN	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	24318	25274	-	iroE	1-957/957	===============	0/0	100.00	100.00	colV_zoetis		iroE	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	25359	26588	-	iroD	1-1230/1230	===============	0/0	100.00	99.92	colV_zoetis		iroD	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	26692	30477	-	iroC	1-3786/3786	===============	0/0	100.00	99.84	colV_zoetis		iroC	
ESC_JA4785AA_AS.fasta	NODE_28_length_35908_cov_9.61286	30491	31654	-	iroB	1-1164/1164	===============	0/0	100.00	100.00	colV_zoetis		iroB	
ESC_JA4785AA_AS.fasta	NODE_47_length_11722_cov_8.68331	2311	2688	+	etsA	1-378/378	===============	0/0	100.00	98.94	colV_zoetis		etsA	
ESC_JA4785AA_AS.fasta	NODE_47_length_11722_cov_8.68331	2685	4625	+	etsB	1-1941/1941	===============	0/0	100.00	99.95	colV_zoetis		etsB	
ESC_JA4785AA_AS.fasta	NODE_47_length_11722_cov_8.68331	4629	5999	+	etsC	1-1371/1371	===============	0/0	100.00	100.00	colV_zoetis		etsC	
ESC_JA4785AA_AS.fasta	NODE_48_length_10128_cov_9.18807	1893	2846	-	ompT	1-954/954	===============	0/0	100.00	100.00	colV_zoetis		ompT	
ESC_JA4785AA_AS.fasta	NODE_48_length_10128_cov_9.18807	3607	5359	-	hlyF	1-1754/1754	========/======	1/1	99.94	99.37	colV_zoetis		hlyF	
