#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_HA6413AA_AS.fasta	NODE_104_length_1258_cov_26.024_ID_207	1	1258	-	pAVC171-IncF	81862-83119/144998	........=......	0/0	0.87	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_10_length_163231_cov_11.7135_ID_19	1	330	+	pAVC171-IncF	22340-22669/144998	..=............	0/0	0.23	98.18	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_112_length_868_cov_23.294_ID_223	1	868	+	pAVC171-IncF	139067-139934/144998	..............=	0/0	0.60	99.19	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_114_length_836_cov_85.9732_ID_227	1	836	-	pAVC171-IncF	21593-22428/144998	..=............	0/0	0.58	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_115_length_820_cov_36.9918_ID_229	1	820	+	pAVC171-IncF	60128-60947/144998	......=........	0/0	0.57	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_118_length_776_cov_19.8413_ID_235	1	776	+	pAVC171-IncF	141788-142563/144998	..............=	0/0	0.54	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_11_length_162136_cov_11.4411_ID_21	1	349	-	pAVC171-IncF	21333-21681/144998	..=............	0/0	0.24	96.85	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_12_length_144707_cov_11.5328_ID_23	1	345	-	pAVC171-IncF	21337-21681/144998	..=............	0/0	0.24	97.10	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_146_length_424_cov_78.3701_ID_291	1	424	-	pAVC171-IncF	126109-126532/144998	.............=.	0/0	0.29	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_147_length_417_cov_55.6128_ID_293	90	417	-	pAVC171-IncF	22340-22667/144998	..=............	0/0	0.23	98.17	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_150_length_388_cov_12.0702_ID_299	1	388	-	pAVC171-IncF	139846-140233/144998	..............=	0/0	0.27	98.45	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_151_length_388_cov_9.30769_ID_301	1	388	-	pAVC171-IncF	139846-140233/144998	..............=	0/0	0.27	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_152_length_381_cov_14.1541_ID_303	1	381	-	pAVC171-IncF	141385-141765/144998	..............=	0/0	0.26	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HA6413AA_AS.fasta	NODE_172_length_194_cov_58.1905_ID_343	1	194	-	pAVC171-IncF	126444-126637/144998	.............=.	0/0	0.13	99.48	pAVC171-IncF		pAVC171-IncF	
