#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_16_length_100133_cov_32.404886	99237	99692	-	csgB	1-456/456	========/======	2/2	99.78	84.03	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	72980	73810	+	gspC	1-831/831	===============	0/0	100.00	93.26	vfdb	YP_404599	(gspC) general secretion pathway protein C [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	74050	75900	+	gspD	1-1836/1836	========/======	1/15	100.00	94.38	vfdb	YP_404600	(gspD) general secretion pathway protein D [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	75900	77393	+	gspE	1-1494/1494	===============	0/0	100.00	93.51	vfdb	YP_404601	(gspE) general secretion pathway protein E [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	77393	78592	+	gspF	1-1200/1200	===============	0/0	100.00	93.58	vfdb	YP_404602	(gspF) general secretion pathway protein F [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	78633	79088	+	gspG	1-456/456	===============	0/0	100.00	94.08	vfdb	YP_404603	(gspG) general secretion pathway protein G [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	79125	79655	+	gspH	1-531/531	===============	0/0	100.00	96.42	vfdb	YP_404604	(gspH) general secretion pathway protein H [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	79652	80023	+	gspI	1-372/372	===============	0/0	100.00	91.40	vfdb	YP_404605	(gspI) general secretion pathway protein I [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	80056	80625	+	gspJ	1-570/570	===============	0/0	100.00	94.39	vfdb	YP_404606	(gspJ) general secretion pathway protein J [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
ESC_KB3281AA_AS.fasta	ESC_KB3281AA_AS_NODE_19_length_86089_cov_32.830716	80622	81599	+	gspK	1-978/978	===============	0/0	100.00	96.83	vfdb	YP_404607	(gspK) general secretion pathway protein K [T2SS (VF0333)] [Shigella dysenteriae Sd197]	
