#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_SA8291AA_AS.fasta	NODE_105_length_4641_cov_6.172992	1	2619	-	pAVC171-IncF	1-2619/144998	=..............	0/0	1.81	99.96	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_105_length_4641_cov_6.172992	2620	4641	-	pAVC171-IncF	142977-144998/144998	..............=	0/0	1.39	99.95	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_109_length_3654_cov_4.442031	1	3654	-	pAVC171-IncF	3273-6926/144998	=..............	0/0	2.52	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_114_length_2884_cov_6.763964	2772	2884	-	pAVC171-IncF	126682-126794/144998	.............=.	0/0	0.08	87.61	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_118_length_2175_cov_6.769603	1	105	+	pAVC171-IncF	142981-143085/144998	..............=	0/0	0.07	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_118_length_2175_cov_6.769603	2067	2175	-	pAVC171-IncF	142978-143086/144998	..............=	0/0	0.08	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_120_length_2041_cov_6.663043	1	1933	+	pAVC171-IncF	22320-24252/144998	..=............	0/0	1.33	99.95	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_123_length_1732_cov_11.715958	1	1732	-	pAVC171-IncF	140145-141876/144998	..............=	0/0	1.19	99.48	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_127_length_1477_cov_5.637427	21	150	-	pAVC171-IncF	23545-23673/144998	..=...../......	2/3	0.09	85.50	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_127_length_1477_cov_5.637427	311	411	-	pAVC171-IncF	22936-23037/144998	..=...../......	1/1	0.07	81.37	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_130_length_1277_cov_4.674658	1	187	+	pAVC171-IncF	126424-126610/144998	.............=.	0/0	0.13	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_143_length_836_cov_16.618982	1	836	-	pAVC171-IncF	21593-22428/144998	..=............	0/0	0.58	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_150_length_659_cov_3.945455	1	659	+	pAVC171-IncF	141768-142426/144998	..............=	0/0	0.45	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_152_length_635_cov_2.718631	1	635	-	pAVC171-IncF	2614-3248/144998	=..............	0/0	0.44	99.84	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_170_length_481_cov_8.569892	1	109	-	pAVC171-IncF	45541-45649/144998	....=..........	0/0	0.08	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_170_length_481_cov_8.569892	373	481	-	pAVC171-IncF	15491-15599/144998	.=.............	0/0	0.08	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_171_length_466_cov_7.750700	1	361	-	pAVC171-IncF	24244-24604/144998	..=............	0/0	0.25	99.17	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_177_length_424_cov_35.965079	1	424	+	pAVC171-IncF	126109-126532/144998	.............=.	0/0	0.29	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_178_length_416_cov_3.801303	1	416	+	pAVC171-IncF	139838-140253/144998	..............=	0/0	0.29	99.76	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_214_length_214_cov_29.085714	1	214	-	pAVC171-IncF	126424-126637/144998	.............=.	0/0	0.15	99.53	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_216_length_198_cov_15.112360	1	196	+	pAVC171-IncF	126529-126724/144998	.............=.	0/0	0.14	95.41	pAVC171-IncF		pAVC171-IncF	
ESC_SA8291AA_AS.fasta	NODE_23_length_84102_cov_5.669782	83668	84102	-	pAVC171-IncF	141768-142201/144998	......../.....=	2/3	0.30	90.37	pAVC171-IncF		pAVC171-IncF	
