#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_VA0598AA_AS.fasta	NODE_11_length_160693_cov_8.512163	159897	160051	+	ISEc1:L02370	1-155/1291	==.............	0/0	12.01	85.81	ISfinder_Feb_2020		ISEc1:L02370	
ESC_VA0598AA_AS.fasta	NODE_12_length_152657_cov_8.618200	152531	152657	+	IS10L:J01829	1-127/1329	==.............	0/0	9.56	97.64	ISfinder_Feb_2020		IS10L:J01829	
ESC_VA0598AA_AS.fasta	NODE_13_length_144784_cov_8.704466	1	383	+	IS2:M18426	949-1331/1331	..........=====	0/0	28.78	95.82	ISfinder_Feb_2020		IS2:M18426	
ESC_VA0598AA_AS.fasta	NODE_14_length_129343_cov_8.581182	58748	58836	+	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_VA0598AA_AS.fasta	NODE_15_length_124859_cov_8.516443	39703	40685	+	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.66	ISfinder_Feb_2020		IS4:J01733	
ESC_VA0598AA_AS.fasta	NODE_15_length_124859_cov_8.516443	40675	40847	+	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_VA0598AA_AS.fasta	NODE_17_length_94373_cov_5.846402	56213	57156	-	Tn5393:M96392	835-1778/5470	..===..........	0/0	17.26	99.89	ISfinder_Feb_2020		Tn5393:M96392	
ESC_VA0598AA_AS.fasta	NODE_17_length_94373_cov_5.846402	57157	62106	+	Tn2:KT002541	1-4950/4950	===============	0/0	100.00	99.82	ISfinder_Feb_2020		Tn2:KT002541	
ESC_VA0598AA_AS.fasta	NODE_17_length_94373_cov_5.846402	62107	62945	-	Tn5393:M96392	1-839/5470	===............	0/0	15.34	99.40	ISfinder_Feb_2020		Tn5393:M96392	
ESC_VA0598AA_AS.fasta	NODE_17_length_94373_cov_5.846402	90548	91367	-	IS15:M12900	654-1473/1648	.....=========.	0/0	49.76	100.00	ISfinder_Feb_2020		IS15:M12900	
