#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_BA8511AA_AS.fasta	NODE_100_length_1059_cov_7.45258_ID_199	924	1059	+	IS10R:J01829	1-136/1329	==.............	0/0	10.23	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_BA8511AA_AS.fasta	NODE_103_length_881_cov_11.1806_ID_205	531	881	+	IS1A:X52534	1-351/768	=======........	0/0	45.70	99.72	ISfinder_Feb_2020		IS1A:X52534	
ESC_BA8511AA_AS.fasta	NODE_104_length_836_cov_14.2249_ID_207	1	836	-	IS2:M18426	240-1075/1331	..===========..	0/0	62.81	98.21	ISfinder_Feb_2020		IS2:M18426	
ESC_BA8511AA_AS.fasta	NODE_105_length_820_cov_13.6347_ID_209	1	820	+	IS26:X00011	1-820/820	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS26:X00011	
ESC_BA8511AA_AS.fasta	NODE_113_length_661_cov_4.91084_ID_225	1	89	-	TnAs3:CP000645	10184-10272/18735	........=......	0/0	0.48	100.00	ISfinder_Feb_2020		TnAs3:CP000645	
ESC_BA8511AA_AS.fasta	NODE_113_length_661_cov_4.91084_ID_225	573	661	-	IS15:M12900	1385-1473/1648	............==.	0/0	5.40	100.00	ISfinder_Feb_2020		IS15:M12900	
ESC_BA8511AA_AS.fasta	NODE_11_length_175354_cov_7.56405_ID_21	1	136	-	IS10R:J01829	1-136/1329	==.............	0/0	10.23	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_BA8511AA_AS.fasta	NODE_121_length_555_cov_11.1996_ID_241	1	555	-	IS4:J01733	173-727/1426	.=======.......	0/0	38.92	100.00	ISfinder_Feb_2020		IS4:J01733	
ESC_BA8511AA_AS.fasta	NODE_12_length_129450_cov_7.19366_ID_23	58710	58798	+	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_BA8511AA_AS.fasta	NODE_140_length_424_cov_40.8776_ID_279	1	424	+	IS1A:X52534	263-686/768	.....=========.	0/0	55.21	99.76	ISfinder_Feb_2020		IS1A:X52534	
ESC_BA8511AA_AS.fasta	NODE_15_length_95940_cov_4.97761_ID_29	1	136	-	IS10R:J01829	1-136/1329	==.............	0/0	10.23	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_BA8511AA_AS.fasta	NODE_15_length_95940_cov_4.97761_ID_29	86285	87041	-	TnEc1:[]	3097-3854/3854	......../...===	1/1	19.64	83.11	ISfinder_Feb_2020		TnEc1:[]	
ESC_BA8511AA_AS.fasta	NODE_15_length_95940_cov_4.97761_ID_29	87040	88086	-	TnEc1:[]	68-1101/3854	====..../......	2/13	26.83	83.19	ISfinder_Feb_2020		TnEc1:[]	
ESC_BA8511AA_AS.fasta	NODE_15_length_95940_cov_4.97761_ID_29	95590	95940	+	IS1A:X52534	1-351/768	=======........	0/0	45.70	99.72	ISfinder_Feb_2020		IS1A:X52534	
ESC_BA8511AA_AS.fasta	NODE_16_length_94609_cov_5.73072_ID_31	51276	51430	+	ISEc1:L02370	1-155/1291	==.............	0/0	12.01	85.81	ISfinder_Feb_2020		ISEc1:L02370	
ESC_BA8511AA_AS.fasta	NODE_16_length_94609_cov_5.73072_ID_31	56820	57351	+	ISEc1:L02370	1-532/1291	======../......	2/2	41.13	92.12	ISfinder_Feb_2020		ISEc1:L02370	
ESC_BA8511AA_AS.fasta	NODE_16_length_94609_cov_5.73072_ID_31	57352	57797	+	ISEc1:L02370	845-1291/1291	......../.=====	1/1	34.55	92.17	ISfinder_Feb_2020		ISEc1:L02370	
ESC_BA8511AA_AS.fasta	NODE_16_length_94609_cov_5.73072_ID_31	59066	59262	+	ISEc5:L02372	323-519/1291	...====........	0/0	15.26	85.28	ISfinder_Feb_2020		ISEc5:L02372	
ESC_BA8511AA_AS.fasta	NODE_16_length_94609_cov_5.73072_ID_31	94521	94609	-	IS10L:J01829	1241-1329/1329	..............=	0/0	6.70	97.75	ISfinder_Feb_2020		IS10L:J01829	
ESC_BA8511AA_AS.fasta	NODE_17_length_94233_cov_5.21824_ID_33	93727	93899	-	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_BA8511AA_AS.fasta	NODE_17_length_94233_cov_5.21824_ID_33	93889	94233	-	IS4:J01733	639-983/1426	......=====....	0/0	24.19	97.39	ISfinder_Feb_2020		IS4:J01733	
ESC_BA8511AA_AS.fasta	NODE_18_length_92341_cov_7.37871_ID_35	92253	92341	-	IS10L:J01829	1241-1329/1329	..............=	0/0	6.70	97.75	ISfinder_Feb_2020		IS10L:J01829	
ESC_BA8511AA_AS.fasta	NODE_19_length_89978_cov_6.40935_ID_37	1	89	-	IS10L:J01829	1-89/1329	==.............	0/0	6.70	97.75	ISfinder_Feb_2020		IS10L:J01829	
ESC_BA8511AA_AS.fasta	NODE_1_length_687543_cov_5.87334_ID_1	1891	2049	-	ISEc47:AIFX01000063	2383-2541/2541	..............=	0/0	6.26	98.74	ISfinder_Feb_2020		ISEc47:AIFX01000063	
ESC_BA8511AA_AS.fasta	NODE_1_length_687543_cov_5.87334_ID_1	162308	162391	+	MITEEc1:U00096	1-84/123	===========....	0/0	68.29	89.29	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_BA8511AA_AS.fasta	NODE_1_length_687543_cov_5.87334_ID_1	684433	685716	-	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_BA8511AA_AS.fasta	NODE_1_length_687543_cov_5.87334_ID_1	685725	687155	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_BA8511AA_AS.fasta	NODE_20_length_68495_cov_5.41302_ID_39	56345	56529	-	ISCro3:[]	579-763/1430	......===......	0/0	12.94	77.30	ISfinder_Feb_2020		ISCro3:[]	
ESC_BA8511AA_AS.fasta	NODE_20_length_68495_cov_5.41302_ID_39	57834	58592	-	IS911:X17613	6-789/1250	========/=.....	6/27	60.64	85.22	ISfinder_Feb_2020		IS911:X17613	
