#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_100_length_7331_cov_51.389645	1	3290	-	pAVC171-IncF	72408-75697/144998	.......=.......	0/0	2.27	94.86	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_100_length_7331_cov_51.389645	3331	4426	-	pAVC171-IncF	70290-71400/144998	......=./......	4/17	0.76	92.27	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_100_length_7331_cov_51.389645	5815	7331	-	pAVC171-IncF	69205-70745/144998	......=./......	4/24	1.05	95.59	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_104_length_6493_cov_27.263117	1	6493	-	pAVC171-IncF	69205-75697/144998	.......=.......	0/0	4.48	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_105_length_6466_cov_63.221486	1	3219	+	pAVC171-IncF	94059-97272/144998	......../.=....	2/5	2.22	96.27	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_105_length_6466_cov_63.221486	4427	5611	+	pAVC171-IncF	97378-98562/144998	..........=....	0/0	0.82	96.12	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_105_length_6466_cov_63.221486	5717	6466	+	pAVC171-IncF	98564-99321/144998	......../.=....	7/20	0.51	90.18	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_10_length_122237_cov_33.026501	1436	1645	+	pAVC171-IncF	23545-23753/144998	..=...../......	2/3	0.14	85.31	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_116_length_4655_cov_36.023410	1	2615	-	pAVC171-IncF	1-2615/144998	=..............	0/0	1.80	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_116_length_4655_cov_36.023410	2616	4655	-	pAVC171-IncF	142959-144998/144998	..............=	0/0	1.41	99.95	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_117_length_4639_cov_23.488475	1	127	-	pAVC171-IncF	60128-60254/144998	......=........	0/0	0.09	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_117_length_4639_cov_23.488475	4514	4639	+	pAVC171-IncF	60128-60253/144998	......=........	0/0	0.09	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_120_length_4313_cov_69.062112	1109	1692	+	pAVC171-IncF	142502-143085/144998	..............=	0/0	0.40	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_121_length_4254_cov_33.913496	1	4254	+	pAVC171-IncF	2591-6844/144998	=..............	0/0	2.93	99.98	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_125_length_3575_cov_27.679234	1	3575	+	pAVC171-IncF	44034-47608/144998	....=..........	0/0	2.47	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_127_length_3469_cov_40.622382	427	1684	-	pAVC171-IncF	81862-83119/144998	........=......	0/0	0.87	99.92	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_127_length_3469_cov_40.622382	2022	2681	+	pAVC171-IncF	24250-24909/144998	..=...../......	2/2	0.45	97.28	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_130_length_3149_cov_48.918266	1	366	+	pAVC171-IncF	22302-22667/144998	..=............	0/0	0.25	98.36	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_131_length_2932_cov_30.838859	1	2932	+	pAVC171-IncF	94059-96990/144998	.........==....	0/0	2.02	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_133_length_2555_cov_66.351318	1	2555	+	pAVC171-IncF	77609-80136/144998	.......=/......	1/27	1.74	97.53	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_136_length_2390_cov_25.068493	1	2390	+	pAVC171-IncF	47575-49964/144998	....==.........	0/0	1.65	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_138_length_2211_cov_46.124280	1	127	+	pAVC171-IncF	142960-143086/144998	..............=	0/0	0.09	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_138_length_2211_cov_46.124280	2089	2211	-	pAVC171-IncF	142963-143085/144998	..............=	0/0	0.08	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_139_length_2170_cov_19.652472	1	134	+	pAVC171-IncF	60821-60954/144998	......=........	0/0	0.09	98.51	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_139_length_2170_cov_19.652472	2044	2170	-	pAVC171-IncF	60821-60947/144998	......=........	0/0	0.09	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_142_length_2074_cov_30.328197	1	158	+	pAVC171-IncF	142044-142201/144998	..............=	0/0	0.11	94.94	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_146_length_1827_cov_29.844706	1	1141	+	pAVC171-IncF	102258-103398/144998	..........=....	0/0	0.79	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_146_length_1827_cov_29.844706	1136	1827	+	pAVC171-IncF	106038-106729/144998	..........==...	0/0	0.48	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_147_length_1710_cov_95.061908	1	1710	+	pAVC171-IncF	100675-102384/144998	..........=....	0/0	1.18	98.25	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_158_length_1193_cov_29.290807	1	1193	+	pAVC171-IncF	99609-100801/144998	..........=....	0/0	0.82	100.00	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_160_length_1155_cov_68.021401	1	1155	+	pAVC171-IncF	76178-77332/144998	.......=.......	0/0	0.80	97.75	pAVC171-IncF		pAVC171-IncF	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_161_length_1155_cov_29.423152	1	1155	+	pAVC171-IncF	76178-77332/144998	.......=.......	0/0	0.80	100.00	pAVC171-IncF		pAVC171-IncF	
