#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_AA9421AA_AS.fasta	NODE_11_length_136866_cov_5.54486_ID_21	2977	4402	-	IS4:J01733	1-1426/1426	===============	0/0	100.00	99.93	ISfinder_Feb_2020		IS4:J01733	
ESC_AA9421AA_AS.fasta	NODE_11_length_136866_cov_5.54486_ID_21	8012	9258	+	IS911:X17613	1-1250/1250	========/======	3/3	99.76	98.72	ISfinder_Feb_2020		IS911:X17613	
ESC_AA9421AA_AS.fasta	NODE_11_length_136866_cov_5.54486_ID_21	11769	13032	-	ISSd1:M21947	1-1266/1266	========/======	1/2	99.84	99.21	ISfinder_Feb_2020		ISSd1:M21947	
ESC_AA9421AA_AS.fasta	NODE_11_length_136866_cov_5.54486_ID_21	22498	23265	+	IS1F:X52538	1-768/768	===============	0/0	100.00	99.61	ISfinder_Feb_2020		IS1F:X52538	
ESC_AA9421AA_AS.fasta	NODE_11_length_136866_cov_5.54486_ID_21	29786	31739	-	IS100kyp:U59875	1-1954/1954	===============	0/0	100.00	99.23	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_AA9421AA_AS.fasta	NODE_1_length_527776_cov_4.01376_ID_1	432394	432516	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_AA9421AA_AS.fasta	NODE_33_length_24409_cov_6.66175_ID_65	8959	10268	+	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_AA9421AA_AS.fasta	NODE_34_length_22825_cov_9.39162_ID_67	9028	10337	+	IS629:X51586	1-1310/1310	===============	0/0	100.00	97.79	ISfinder_Feb_2020		IS629:X51586	
ESC_AA9421AA_AS.fasta	NODE_37_length_13503_cov_4.78841_ID_73	874	2320	-	ISEc45:NC_004431	1-1447/1447	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_AA9421AA_AS.fasta	NODE_37_length_13503_cov_4.78841_ID_73	7061	8782	-	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.18	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_AA9421AA_AS.fasta	NODE_37_length_13503_cov_4.78841_ID_73	11875	13333	+	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.93	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_AA9421AA_AS.fasta	NODE_3_length_501756_cov_4.08265_ID_5	473910	475200	+	ISEc1:L02370	1-1291/1291	===============	0/0	100.00	96.05	ISfinder_Feb_2020		ISEc1:L02370	
ESC_AA9421AA_AS.fasta	NODE_3_length_501756_cov_4.08265_ID_5	475247	476495	+	ISEc1:L02370	35-1291/1291	========/======	8/12	96.59	89.59	ISfinder_Feb_2020		ISEc1:L02370	
ESC_AA9421AA_AS.fasta	NODE_40_length_7832_cov_7.08954_ID_79	6039	6803	+	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_AA9421AA_AS.fasta	NODE_42_length_7505_cov_8.43966_ID_83	1624	2803	+	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_AA9421AA_AS.fasta	NODE_6_length_348608_cov_4.65523_ID_11	43500	43622	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_AA9421AA_AS.fasta	NODE_7_length_212779_cov_4.87485_ID_13	191475	192183	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_AA9421AA_AS.fasta	NODE_8_length_194276_cov_4.98758_ID_15	4962	6392	+	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_AA9421AA_AS.fasta	NODE_8_length_194276_cov_4.98758_ID_15	6401	7684	+	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
