#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_118_length_470_cov_13.629526	108	470	+	pAVC171-IncF	24244-24606/144998	..=............	0/0	0.25	99.17	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_123_length_425_cov_5.359873	1	425	+	pAVC171-IncF	139831-140255/144998	..............=	0/0	0.29	99.77	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_12_length_135877_cov_5.519372	96208	96480	+	pAVC171-IncF	114743-115014/144998	......../...=..	1/1	0.19	75.46	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_1_length_633050_cov_5.292102	632882	633050	-	pAVC171-IncF	23586-23753/144998	..=...../......	2/3	0.12	88.82	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_20_length_84593_cov_5.403411	84158	84594	-	pAVC171-IncF	141766-142201/144998	......../.....=	2/3	0.30	90.41	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	1	15107	+	pAVC171-IncF	24499-39595/144998	..==..../......	3/14	10.41	99.78	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	15562	17378	+	pAVC171-IncF	66943-68758/144998	......=./......	1/1	1.25	98.62	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	17368	18884	+	pAVC171-IncF	69887-71400/144998	......=./......	7/11	1.04	94.21	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	18925	28120	+	pAVC171-IncF	72408-81606/144998	......==/......	2/3	6.34	97.63	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	28746	48682	+	pAVC171-IncF	83464-103398/144998	......../==....	1/2	13.75	99.14	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	48677	66153	+	pAVC171-IncF	106038-123514/144998	......../..==..	2/2	12.05	99.89	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_21_length_68979_cov_8.421255	65921	68979	+	pAVC171-IncF	123153-126211/144998	............==.	0/0	2.11	99.02	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	9733	11043	+	pAVC171-IncF	7712-9022/144998	=..............	0/0	0.90	93.82	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_24_length_54681_cov_7.189848	38571	38660	+	pAVC171-IncF	83031-83119/144998	......../=.....	1/1	0.06	87.78	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_28_length_50324_cov_6.359329	1	118	-	pAVC171-IncF	142315-142432/144998	..............=	0/0	0.08	87.29	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_28_length_50324_cov_6.359329	8514	8879	+	pAVC171-IncF	9487-9828/144998	=......./......	5/24	0.24	79.23	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_28_length_50324_cov_6.359329	43646	43996	-	pAVC171-IncF	22317-22667/144998	..=............	0/0	0.24	94.59	pAVC171-IncF		pAVC171-IncF	
ESC_GB6943AA_AS.fasta	ESC_GB6943AA_AS_NODE_2_length_426013_cov_5.244120	414752	414956	-	pAVC171-IncF	143931-144137/144998	......../.....=	1/2	0.14	90.34	pAVC171-IncF		pAVC171-IncF	
