snp-dists 0.6.3,ESC_NA3973AA_AS.out,ESC_NA3974AA_AS.out,ESC_NA3975AA_AS.out,ESC_NA3999AA_AS.out,ESC_NA4000AA_AS.out,ESC_NA4003AA_AS.out,ESC_NA4004AA_AS.out,ESC_NA4005AA_AS.out,ESC_NA4045AA_AS.out,ESC_NA4061AA_AS.out,ESC_NA4066AA_AS.out,ESC_NA4067AA_AS.out,ESC_NA4068AA_AS.out,ESC_NA4069AA_AS.out,ESC_NA4070AA_AS.out,ESC_NA4071AA_AS.out,ESC_NA4072AA_AS.out,Reference
ESC_NA3973AA_AS.out,0,15,55,20,26,26,16,26,13,13,20,11,16,18,8,16,12,13
ESC_NA3974AA_AS.out,15,0,54,21,21,23,17,27,20,12,23,12,11,19,13,5,11,12
ESC_NA3975AA_AS.out,55,54,0,55,57,55,51,59,48,52,63,56,55,55,51,55,53,52
ESC_NA3999AA_AS.out,20,21,55,0,22,24,16,26,15,15,30,19,22,28,18,22,18,15
ESC_NA4000AA_AS.out,26,21,57,22,0,26,20,32,21,21,34,21,24,30,26,22,22,21
ESC_NA4003AA_AS.out,26,23,55,24,26,0,10,24,17,21,38,25,24,28,24,26,22,21
ESC_NA4004AA_AS.out,16,17,51,16,20,10,0,16,9,11,28,15,18,24,16,20,18,11
ESC_NA4005AA_AS.out,26,27,59,26,32,24,16,0,19,23,34,27,30,32,22,30,28,23
ESC_NA4045AA_AS.out,13,20,48,15,21,17,9,19,0,14,25,16,21,21,13,21,17,14
ESC_NA4061AA_AS.out,13,12,52,15,21,21,11,23,14,0,23,12,13,21,11,15,13,0
ESC_NA4066AA_AS.out,20,23,63,30,34,38,28,34,25,23,0,21,26,30,20,22,24,23
ESC_NA4067AA_AS.out,11,12,56,19,21,25,15,27,16,12,21,0,15,19,11,13,9,12
ESC_NA4068AA_AS.out,16,11,55,22,24,24,18,30,21,13,26,15,0,20,14,14,12,13
ESC_NA4069AA_AS.out,18,19,55,28,30,28,24,32,21,21,30,19,20,0,14,22,16,21
ESC_NA4070AA_AS.out,8,13,51,18,26,24,16,22,13,11,20,11,14,14,0,16,10,11
ESC_NA4071AA_AS.out,16,5,55,22,22,26,20,30,21,15,22,13,14,22,16,0,12,15
ESC_NA4072AA_AS.out,12,11,53,18,22,22,18,28,17,13,24,9,12,16,10,12,0,13
Reference,13,12,52,15,21,21,11,23,14,0,23,12,13,21,11,15,13,0
