#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_CA5916AA_AS.fasta	NODE_20_length_61816_cov_11.5097_ID_39	7299	7559	+	IncFII_1	1-261/261	===============	0/0	100.00	100.00	plasmidfinder	AY458016	IncFII_1__AY458016	
ESC_CA5916AA_AS.fasta	NODE_42_length_9902_cov_16.7138_ID_83	1913	2594	+	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	98.39	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
ESC_CA5916AA_AS.fasta	NODE_49_length_6722_cov_130.358_ID_97	218	348	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	88.55	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_CA5916AA_AS.fasta	NODE_52_length_5245_cov_129.495_ID_103	3536	3689	-	Col156_1	1-154/154	===============	0/0	100.00	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
ESC_CA5916AA_AS.fasta	NODE_55_length_4968_cov_76.7045_ID_109	3028	3284	+	Col(MG828)_1	3-262/262	========/======	2/3	98.09	86.15	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
ESC_CA5916AA_AS.fasta	NODE_55_length_4968_cov_76.7045_ID_109	4650	4760	+	ColRNAI_1	19-128/130	..======/======	3/3	83.85	84.82	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_CA5916AA_AS.fasta	NODE_56_length_4637_cov_126.64_ID_111	202	312	+	ColRNAI_1	19-128/130	..======/======	4/5	83.08	84.96	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_CA5916AA_AS.fasta	NODE_74_length_2182_cov_4.16088_ID_147	1340	1572	-	Col(BS512)_1	1-233/233	===============	0/0	100.00	100.00	plasmidfinder	NC_010656	Col(BS512)_1__NC_010656	
ESC_CA5916AA_AS.fasta	NODE_78_length_1560_cov_368.511_ID_155	82	274	+	ColpVC_1	1-193/193	===============	0/0	100.00	100.00	plasmidfinder	JX133088	ColpVC_1__JX133088	
ESC_CA5916AA_AS.fasta	NODE_79_length_1712_cov_225.408_ID_157	565	826	+	Col(MG828)_1	1-262/262	===============	0/0	100.00	91.98	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
