#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_10_length_122237_cov_33.026501	39487	40469	+	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.97	ISfinder_Feb_2020		IS4:J01733	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_10_length_122237_cov_33.026501	40459	40631	+	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_111_length_4883_cov_37.491169	4758	4883	+	IS10L:J01829	1-126/1329	==.............	0/0	9.48	97.62	ISfinder_Feb_2020		IS10L:J01829	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_114_length_4784_cov_47.290960	4662	4784	-	IS10L:J01829	1207-1329/1329	.............==	0/0	9.26	98.37	ISfinder_Feb_2020		IS10L:J01829	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_116_length_4655_cov_36.023410	3260	3684	+	IS21:X14793	1-425/2131	===............	0/0	19.94	99.29	ISfinder_Feb_2020		IS21:X14793	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_116_length_4655_cov_36.023410	3684	3849	+	IS640:HE616528	1965-2130/2130	.............==	0/0	7.79	99.40	ISfinder_Feb_2020		IS640:HE616528	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_116_length_4655_cov_36.023410	4529	4655	-	IS1S:M37615	642-768/768	............===	0/0	16.54	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_117_length_4639_cov_23.488475	1	128	+	IS15:M12900	1347-1474/1648	............==.	0/0	7.77	100.00	ISfinder_Feb_2020		IS15:M12900	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_117_length_4639_cov_23.488475	2834	4513	-	Tn5393:M96392	99-1778/5470	=====..........	0/0	30.71	99.94	ISfinder_Feb_2020		Tn5393:M96392	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_117_length_4639_cov_23.488475	4514	4639	-	IS15:M12900	1348-1473/1648	............==.	0/0	7.65	100.00	ISfinder_Feb_2020		IS15:M12900	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_11_length_115414_cov_42.123639	31878	31968	-	IS621:NC_009800	1335-1425/1425	..............=	0/0	6.39	87.91	ISfinder_Feb_2020		IS621:NC_009800	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_11_length_115414_cov_42.123639	43758	43880	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_120_length_4313_cov_69.062112	1109	1692	+	IS1A:X52534	185-768/768	...============	0/0	76.04	99.83	ISfinder_Feb_2020		IS1A:X52534	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_125_length_3575_cov_27.679234	1508	1618	+	IS200C:NC_004431	599-709/709	............===	0/0	15.66	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_127_length_3469_cov_40.622382	427	1684	-	IS3:X02311	1-1258/1258	===============	0/0	100.00	99.92	ISfinder_Feb_2020		IS3:X02311	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_12_length_108843_cov_35.688215	45240	45362	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_130_length_3149_cov_48.918266	1	366	-	IS2:M18426	1-366/1331	=====..........	0/0	27.50	98.63	ISfinder_Feb_2020		IS2:M18426	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_130_length_3149_cov_48.918266	2323	2679	+	ISEc49:NC_004431	2195-2560/2766	......../...==.	2/11	12.87	80.93	ISfinder_Feb_2020		ISEc49:NC_004431	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_130_length_3149_cov_48.918266	3023	3149	-	IS4:J01733	1300-1426/1426	.............==	0/0	8.91	100.00	ISfinder_Feb_2020		IS4:J01733	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_138_length_2211_cov_46.124280	1	126	+	IS1S:M37615	643-768/768	............===	0/0	16.41	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_138_length_2211_cov_46.124280	129	936	+	ISKpn37:KU318421	446-1253/1253	.....==========	0/0	64.49	97.03	ISfinder_Feb_2020		ISKpn37:KU318421	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_138_length_2211_cov_46.124280	2089	2211	-	IS1S:M37615	646-768/768	............===	0/0	16.02	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_139_length_2170_cov_19.652472	1	127	-	IS15:M12900	1-127/1648	==.............	0/0	7.71	100.00	ISfinder_Feb_2020		IS15:M12900	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_139_length_2170_cov_19.652472	128	233	-	Tn5393:M96392	1-106/5470	=..............	0/0	1.94	95.28	ISfinder_Feb_2020		Tn5393:M96392	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_139_length_2170_cov_19.652472	515	2043	+	Tn2:KT002541	1-1529/4950	=====..........	0/0	30.89	100.00	ISfinder_Feb_2020		Tn2:KT002541	
ESC_HB8007AA_AS.fasta	ESC_HB8007AA_AS_NODE_139_length_2170_cov_19.652472	2042	2170	+	IS15:M12900	652-780/1648	.....===.......	0/0	7.83	100.00	ISfinder_Feb_2020		IS15:M12900	
