#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_MA2736AA_AS.fasta	NODE_10_length_203970_cov_5.62077	132317	133053	+	gimB-marker_CP002167.1	1-737/737	===============	0/0	100.00	100.00	EC_custom_Feb_2020		gimB-marker_CP002167.1	
ESC_MA2736AA_AS.fasta	NODE_12_length_132449_cov_5.72811	129939	130160	-	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	90.54	EC_custom_Feb_2020		yeeT_|VFG1529	
ESC_MA2736AA_AS.fasta	NODE_14_length_122674_cov_5.61079	1	657	-	sitA_(gi:26247468)|VFG012571	1-657/858	============...	0/0	76.57	100.00	EC_custom_Feb_2020		sitA_(gi:26247468)|VFG012571	
ESC_MA2736AA_AS.fasta	NODE_15_length_119010_cov_5.33756	118576	118797	-	yeeT_|VFG1529	1-222/222	===============	0/0	100.00	98.65	EC_custom_Feb_2020		yeeT_|VFG1529	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	43817	45838	-	fyuA_Z35106.1	1-2022/2022	===============	0/0	100.00	99.75	EC_custom_Feb_2020		fyuA_Z35106.1	
ESC_MA2736AA_AS.fasta	NODE_18_length_109153_cov_5.36727	59026	65151	-	irp2_(gi:117624162)|VFG012550	1-6126/6126	===============	0/0	100.00	100.00	EC_custom_Feb_2020		irp2_(gi:117624162)|VFG012550	
ESC_MA2736AA_AS.fasta	NODE_1_length_631673_cov_5.47113	18530	21658	+	silA_KU248945.1	1-3129/3147	========/======	7/16	99.17	76.92	EC_custom_Feb_2020		silA_KU248945.1	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	18112	19023	+	cvaA_AY545598.5	1-912/912	===============	0/0	100.00	100.00	EC_custom_Feb_2020		cvaA_AY545598.5	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	18998	21112	+	cvaB_AY545598.5	1-2115/2115	===============	0/0	100.00	99.91	EC_custom_Feb_2020		cvaB_AY545598.5	
ESC_MA2736AA_AS.fasta	NODE_20_length_83400_cov_3.62017	21282	21593	+	cvaC_X57525.1	1-312/312	===============	0/0	100.00	100.00	EC_custom_Feb_2020		cvaC_X57525.1	
