Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Revised Source Niche	Revised_Collection_Year	Classification	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Revised_Country	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_BA7670AA	eo1679	ERR435341;ILLUMINA;Paired;227;ERX401616	Human	2007	SEPEC																	THE SANGER CENTER	Escherichia coli								PRJEB4681	ERP003992		SAMEA2205187	ERS357698	2015-08-27	2014-05-14	ESC_BA7670AA	Assembled	0	222284	5504113	Escherichia coli / Shigella;98.51%	163	2431	2.2	ESC_BA8511AA_AS
ESC_CA9632AA	BS14	traces-0FKfrhe;ILLUMINA;Paired;;NA	Human	2015	SEPEC	Human	Human	Blood	2015				Australia	Oceania	Australia	Australian Capital Territory		Canberra				David Gordon	Escherichia coli				Pathogen	ExPEC	Septicemia				Septicemia			2016-04-05	2016-10-04	ESC_CA9632AA	Assembled	42	56198	5226493	Escherichia coli / Shigella;97.68%	269	16297	3.41	ESC_GA5350AA_AS
ESC_DA4337AA	PA70B	ERR445635;ILLUMINA;Paired;367;ERX412399	Human	----	UPEC								Australia	Oceania								AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392734	ERS416954	2016-07-01	2016-03-11	ESC_DA4337AA	Assembled	248	187195	5433061	Escherichia coli / Shigella;98.95%	148	1096	3.41	ESC_HA6420AA_AS
ESC_DA4339AA	PA47B	ERR445633;ILLUMINA;Paired;374;ERX412397	Human	----	UPEC								Australia	Oceania								AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392732	ERS416952	2016-07-01	2016-03-11	ESC_DA4339AA	Assembled	296	323075	5392049	Escherichia coli / Shigella;97.88%	143	2485	3.41	ESC_HA6418AA_AS
ESC_DA4344AA	PA11B	ERR445628;ILLUMINA;Paired;393;ERX412392	Human	----	UPEC								Australia	Oceania								AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392727	ERS416947	2016-07-01	2016-03-11	ESC_DA4344AA	Assembled	177	203930	5311823	Escherichia coli / Shigella;98.98%	160	1374	3.41	ESC_HA6413AA_AS
ESC_DA4346AA	PA63B	ERR445626;ILLUMINA;Paired;374;ERX412390	Human	----	UPEC								Australia	Oceania								AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392725	ERS416945	2016-07-01	2016-03-11	ESC_DA4346AA	Assembled	253	259101	5210025	Escherichia coli / Shigella;100.0%	117	1411	3.41	ESC_HA6411AA_AS
ESC_DA4364AA	PA28B	ERR445608;ILLUMINA;Paired;392;ERX412372	Human	----	UPEC								Australia	Oceania								AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392707	ERS416927	2016-07-01	2016-03-11	ESC_DA4364AA	Assembled	118	323079	5405498	Escherichia coli / Shigella;99.1%	178	1347	3.41	ESC_HA6342AA_AS
ESC_DA4374AA	PA8B	ERR445598;ILLUMINA;Paired;388;ERX412362	Human	----	UPEC								Australia	Oceania								AIDRC	Escherichia coli								PRJEB5742	ERP005166		SAMEA2392697	ERS416917	2016-07-01	2016-03-11	ESC_DA4374AA	Assembled	169	210720	5470707	Escherichia coli / Shigella;98.92%	145	1542	3.41	ESC_HA6332AA_AS
ESC_EA4696AA	1.10-R8	SRR4067502;ILLUMINA;Paired;;SRX2054706	Human	2012	Faecal	Human	Human	Homo sapiens; human faeces	2012				Australia	Oceania	Australia	New South Wales		Sydney				University of Melbourne	Escherichia coli								PRJNA335932	SRP082992		SAMN05567340	SRS1646779	2016-09-02	2016-09-01	ESC_EA4696AA	Assembled	120	203926	5323253	Escherichia coli / Shigella;98.1%	169	1719	3.51	ESC_IA0811AA_AS
ESC_EA8089AA	231b2b60-fa7c-11e5-a546-3c4a9275d6c8	ERR1622055;ILLUMINA;Paired;457;ERX1692420	Poultry_or_human	----	NA								Vietnam									SC	Escherichia coli								PRJEB12887	ERP014412		SAMEA3981009	ERS1152119	2016-10-02	2016-09-30	ESC_EA8089AA	Assembled	61	268708	5216881	Escherichia coli / Shigella;98.18%	85	1815	3.51	ESC_IA3651AA_AS
