#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_LA1124AA_AS.fasta	NODE_10_length_188928_cov_9.7131	1	127	+	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_LA1124AA_AS.fasta	NODE_10_length_188928_cov_9.7131	18504	19219	+	IS1N:J01737	44-761/766	========/======	4/4	93.34	76.77	ISfinder_Feb_2020		IS1N:J01737	
ESC_LA1124AA_AS.fasta	NODE_10_length_188928_cov_9.7131	188755	188928	+	IS10R:J01829	1-174/1329	==.............	0/0	13.09	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_LA1124AA_AS.fasta	NODE_12_length_148271_cov_9.85928	1	284	-	IS1F:X52538	1-284/768	======.........	0/0	36.98	95.78	ISfinder_Feb_2020		IS1F:X52538	
ESC_LA1124AA_AS.fasta	NODE_12_length_148271_cov_9.85928	147889	148271	-	IS2:M18426	949-1331/1331	..........=====	0/0	28.78	95.82	ISfinder_Feb_2020		IS2:M18426	
ESC_LA1124AA_AS.fasta	NODE_13_length_129611_cov_9.94446	70691	70779	-	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_LA1124AA_AS.fasta	NODE_14_length_124859_cov_9.16919	84013	84185	-	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_LA1124AA_AS.fasta	NODE_14_length_124859_cov_9.16919	84175	85157	-	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.66	ISfinder_Feb_2020		IS4:J01733	
ESC_LA1124AA_AS.fasta	NODE_17_length_96419_cov_9.74847	96293	96419	-	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_LA1124AA_AS.fasta	NODE_18_length_83258_cov_6.75829	1	209	+	IS1S:M37615	560-768/768	..........=====	0/0	27.21	99.52	ISfinder_Feb_2020		IS1S:M37615	
ESC_LA1124AA_AS.fasta	NODE_18_length_83258_cov_6.75829	4831	6010	-	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_LA1124AA_AS.fasta	NODE_18_length_83258_cov_6.75829	55293	55386	+	IS1396:AF027768	1630-1723/1771	.............==	0/0	5.31	86.17	ISfinder_Feb_2020		IS1396:AF027768	
ESC_LA1124AA_AS.fasta	NODE_18_length_83258_cov_6.75829	59911	60021	-	IS200C:NC_004431	599-709/709	............===	0/0	15.66	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_LA1124AA_AS.fasta	NODE_18_length_83258_cov_6.75829	80108	80226	+	ISEc13:DQ388534	1-124/1550	==....../......	1/5	7.68	91.94	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_LA1124AA_AS.fasta	NODE_18_length_83258_cov_6.75829	82893	83258	+	IS2:M18426	1-366/1331	=====..........	0/0	27.50	99.45	ISfinder_Feb_2020		IS2:M18426	
