#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_UA1505AA_AS.fasta	NODE_11_length_159167_cov_29.204741	142380	143643	-	ISSd1:M21947	1-1266/1266	========/======	1/2	99.84	99.21	ISfinder_Feb_2020		ISSd1:M21947	
ESC_UA1505AA_AS.fasta	NODE_11_length_159167_cov_29.204741	153217	153984	+	IS1F:X52538	1-768/768	===============	0/0	100.00	99.35	ISfinder_Feb_2020		IS1F:X52538	
ESC_UA1505AA_AS.fasta	NODE_11_length_159167_cov_29.204741	156321	158390	-	ISEc8:NC_004431	1-2070/2442	=============..	0/0	84.77	99.52	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_UA1505AA_AS.fasta	NODE_12_length_156132_cov_27.715118	109097	109219	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_UA1505AA_AS.fasta	NODE_13_length_139945_cov_32.953904	198	1628	+	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_UA1505AA_AS.fasta	NODE_13_length_139945_cov_32.953904	1637	2920	+	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_UA1505AA_AS.fasta	NODE_13_length_139945_cov_32.953904	133881	135076	+	ISKpn26:NC_016845	1-1196/1196	===============	0/0	100.00	99.67	ISfinder_Feb_2020		ISKpn26:NC_016845	
ESC_UA1505AA_AS.fasta	NODE_1_length_625683_cov_26.462985	470061	470183	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_UA1505AA_AS.fasta	NODE_20_length_60996_cov_19.358639	55116	56295	+	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_UA1505AA_AS.fasta	NODE_21_length_51362_cov_30.453557	5932	6696	+	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_UA1505AA_AS.fasta	NODE_31_length_28014_cov_29.542152	9336	11916	-	ISEc12:DQ269483	1-2581/2581	===============	0/0	100.00	99.96	ISfinder_Feb_2020		ISEc12:DQ269483	
ESC_UA1505AA_AS.fasta	NODE_33_length_23917_cov_31.315511	8171	9480	+	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.49	ISfinder_Feb_2020		IS1203:U06468	
ESC_UA1505AA_AS.fasta	NODE_33_length_23917_cov_31.315511	22536	23791	-	ISEc48:ADUS01000070	61-1316/1336	========/======	2/2	93.94	95.15	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_UA1505AA_AS.fasta	NODE_38_length_16400_cov_29.106495	806	2527	+	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	94.66	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_UA1505AA_AS.fasta	NODE_4_length_369563_cov_27.616099	177145	177853	+	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_UA1505AA_AS.fasta	NODE_51_length_4950_cov_995.185362	1	4950	+	Tn2:KT002541	1-4950/4950	===============	0/0	100.00	99.84	ISfinder_Feb_2020		Tn2:KT002541	
ESC_UA1505AA_AS.fasta	NODE_65_length_1888_cov_65.607041	3	1887	-	ISEc53:HG941718	1-1885/1885	===============	0/0	100.00	99.95	ISfinder_Feb_2020		ISEc53:HG941718	
ESC_UA1505AA_AS.fasta	NODE_69_length_1311_cov_51.810811	2	1311	+	IS629:X51586	1-1310/1310	===============	0/0	100.00	97.79	ISfinder_Feb_2020		IS629:X51586	
