#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_HA6418AA_AS.fasta	NODE_105_length_836_cov_91.0067_ID_209	1	836	+	IS2:M18426	240-1075/1331	..===========..	0/0	62.81	98.21	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_108_length_772_cov_26.5796_ID_215	529	772	+	IS1A:X52534	1-244/768	=====..........	0/0	31.77	100.00	ISfinder_Feb_2020		IS1A:X52534	
ESC_HA6418AA_AS.fasta	NODE_10_length_163227_cov_13.3429_ID_19	1	326	-	IS2:M18426	1-326/1331	====...........	0/0	24.49	98.47	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_113_length_640_cov_22.0669_ID_225	1	319	+	IS911:X17613	445-789/1250	....====/=.....	5/26	25.52	78.55	ISfinder_Feb_2020		IS911:X17613	
ESC_HA6418AA_AS.fasta	NODE_118_length_555_cov_24.1987_ID_235	1	555	-	IS4:J01733	173-727/1426	.=======.......	0/0	38.92	100.00	ISfinder_Feb_2020		IS4:J01733	
ESC_HA6418AA_AS.fasta	NODE_11_length_144703_cov_13.2153_ID_21	1	343	+	IS2:M18426	989-1331/1331	...........====	0/0	25.77	95.92	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_128_length_424_cov_93.5757_ID_255	1	424	+	IS1A:X52534	263-686/768	.....=========.	0/0	55.21	99.76	ISfinder_Feb_2020		IS1A:X52534	
ESC_HA6418AA_AS.fasta	NODE_129_length_413_cov_61.8037_ID_257	1	326	-	IS2:M18426	1-326/1331	====...........	0/0	24.49	98.47	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_129_length_413_cov_61.8037_ID_257	335	413	-	IS911:X17613	445-524/1250	....==../......	1/1	6.32	88.75	ISfinder_Feb_2020		IS911:X17613	
ESC_HA6418AA_AS.fasta	NODE_12_length_143621_cov_11.45_ID_23	1	87	+	IS10L:J01829	1243-1329/1329	..............=	0/0	6.55	97.70	ISfinder_Feb_2020		IS10L:J01829	
ESC_HA6418AA_AS.fasta	NODE_13_length_129426_cov_13.2574_ID_25	70651	70739	-	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_HA6418AA_AS.fasta	NODE_145_length_271_cov_13.4565_ID_289	185	271	-	IS600:X05952	1178-1264/1264	.............==	0/0	6.88	100.00	ISfinder_Feb_2020		IS600:X05952	
ESC_HA6418AA_AS.fasta	NODE_148_length_256_cov_18.2722_ID_295	1	87	+	IS1S:M37615	682-768/768	.............==	0/0	11.33	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_HA6418AA_AS.fasta	NODE_150_length_192_cov_67.6476_ID_299	1	192	+	IS1S:M37615	158-349/768	...====........	0/0	25.00	99.48	ISfinder_Feb_2020		IS1S:M37615	
ESC_HA6418AA_AS.fasta	NODE_151_length_169_cov_80.3902_ID_301	1	169	+	IS1S:M37615	600-768/768	...........====	0/0	22.01	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_HA6418AA_AS.fasta	NODE_16_length_106065_cov_13.7257_ID_31	105723	106065	-	IS2:M18426	989-1331/1331	...........====	0/0	25.77	95.92	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_17_length_84858_cov_11.7485_ID_33	84354	84526	-	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_HA6418AA_AS.fasta	NODE_17_length_84858_cov_11.7485_ID_33	84516	84858	-	IS4:J01733	641-983/1426	......=====....	0/0	24.05	97.38	ISfinder_Feb_2020		IS4:J01733	
ESC_HA6418AA_AS.fasta	NODE_19_length_60779_cov_13.8285_ID_37	1	134	-	IS10R:J01829	1-134/1329	==.............	0/0	10.08	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_HA6418AA_AS.fasta	NODE_19_length_60779_cov_13.8285_ID_37	38742	39457	-	IS1N:J01737	44-761/766	========/======	4/4	93.34	76.77	ISfinder_Feb_2020		IS1N:J01737	
ESC_HA6418AA_AS.fasta	NODE_1_length_687241_cov_12.6297_ID_1	366	1796	+	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_HA6418AA_AS.fasta	NODE_1_length_687241_cov_12.6297_ID_1	1805	3088	+	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_HA6418AA_AS.fasta	NODE_1_length_687241_cov_12.6297_ID_1	525036	525119	-	MITEEc1:U00096	1-84/123	===========....	0/0	68.29	89.29	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_HA6418AA_AS.fasta	NODE_1_length_687241_cov_12.6297_ID_1	683093	683251	+	ISEc47:AIFX01000063	2383-2541/2541	..............=	0/0	6.26	98.74	ISfinder_Feb_2020		ISEc47:AIFX01000063	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	1	326	-	IS2:M18426	1-326/1331	====...........	0/0	24.49	99.39	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	2993	3111	-	ISEc13:DQ388534	1-124/1550	==....../......	1/5	7.68	91.94	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	23200	23310	+	IS200C:NC_004431	599-709/709	............===	0/0	15.66	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	27835	27928	-	IS1396:AF027768	1630-1723/1771	.............==	0/0	5.31	86.17	ISfinder_Feb_2020		IS1396:AF027768	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	29784	33532	-	TnAs1:CP022426	2946-6694/6694	......=========	0/0	56.01	99.92	ISfinder_Feb_2020		TnAs1:CP022426	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	33500	35101	-	TnAs3:CP000645	13469-15070/18735	..........===..	0/0	8.55	99.94	ISfinder_Feb_2020		TnAs3:CP000645	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	35791	36971	-	TnAs3:CP000645	8152-9332/18735	......==.......	0/0	6.30	100.00	ISfinder_Feb_2020		TnAs3:CP000645	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	36972	37791	-	IS26:X00011	1-820/820	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS26:X00011	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	37789	43796	-	TnAs3:CP000645	22-6029/18735	=====..........	0/0	32.07	99.98	ISfinder_Feb_2020		TnAs3:CP000645	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	43796	45122	+	IS4321R:U67194	1-1326/1326	========/======	1/1	100.00	99.70	ISfinder_Feb_2020		IS4321R:U67194	
ESC_HA6418AA_AS.fasta	NODE_20_length_60150_cov_16.4181_ID_39	60064	60150	+	IS3H:CP000035	1-87/1261	==.............	0/0	6.90	100.00	ISfinder_Feb_2020		IS3H:CP000035	
ESC_HA6418AA_AS.fasta	NODE_22_length_55641_cov_13.1119_ID_43	1	87	+	IS10L:J01829	1243-1329/1329	..............=	0/0	6.55	97.70	ISfinder_Feb_2020		IS10L:J01829	
ESC_HA6418AA_AS.fasta	NODE_22_length_55641_cov_13.1119_ID_43	55299	55641	-	IS2:M18426	989-1331/1331	...........====	0/0	25.77	95.92	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_23_length_49324_cov_14.5007_ID_45	3657	4188	+	ISEc1:L02370	1-532/1291	======../......	2/2	41.13	92.12	ISfinder_Feb_2020		ISEc1:L02370	
ESC_HA6418AA_AS.fasta	NODE_23_length_49324_cov_14.5007_ID_45	4189	4634	+	ISEc1:L02370	845-1291/1291	......../.=====	1/1	34.55	92.17	ISfinder_Feb_2020		ISEc1:L02370	
ESC_HA6418AA_AS.fasta	NODE_23_length_49324_cov_14.5007_ID_45	5903	6099	+	ISEc5:L02372	323-519/1291	...====........	0/0	15.26	85.28	ISfinder_Feb_2020		ISEc5:L02372	
ESC_HA6418AA_AS.fasta	NODE_23_length_49324_cov_14.5007_ID_45	36704	36899	+	ISEc23:[]	2318-2532/2532	......../....==	3/19	7.74	75.81	ISfinder_Feb_2020		ISEc23:[]	
ESC_HA6418AA_AS.fasta	NODE_23_length_49324_cov_14.5007_ID_45	37179	38509	+	IS2:M18426	1-1331/1331	===============	0/0	100.00	95.72	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_24_length_46005_cov_14.7827_ID_47	25677	26988	+	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.28	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_HA6418AA_AS.fasta	NODE_24_length_46005_cov_14.7827_ID_47	33718	33993	-	ISEc13:DQ388534	1276-1550/1550	......../...===	1/1	17.74	94.93	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_HA6418AA_AS.fasta	NODE_24_length_46005_cov_14.7827_ID_47	40044	41353	-	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_HA6418AA_AS.fasta	NODE_25_length_41742_cov_11.789_ID_49	1	84	-	IS10R:J01829	1-84/1329	=..............	0/0	6.32	100.00	ISfinder_Feb_2020		IS10R:J01829	
ESC_HA6418AA_AS.fasta	NODE_25_length_41742_cov_11.789_ID_49	41400	41742	-	IS2:M18426	989-1331/1331	...........====	0/0	25.77	95.92	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_26_length_36226_cov_11.9075_ID_51	1	259	-	IS4:J01733	1-259/1426	===............	0/0	18.16	96.14	ISfinder_Feb_2020		IS4:J01733	
ESC_HA6418AA_AS.fasta	NODE_27_length_35083_cov_13.9245_ID_53	25862	26079	-	ISEc23:[]	2315-2532/2532	.............==	0/0	8.61	96.33	ISfinder_Feb_2020		ISEc23:[]	
ESC_HA6418AA_AS.fasta	NODE_27_length_35083_cov_13.9245_ID_53	26080	27011	-	ISEhe3:AF327445	296-1229/1229	...=====/======	2/4	75.75	94.65	ISfinder_Feb_2020		ISEhe3:AF327445	
ESC_HA6418AA_AS.fasta	NODE_27_length_35083_cov_13.9245_ID_53	26995	27326	-	IS911:X17613	1-332/1250	====...........	0/0	26.56	99.10	ISfinder_Feb_2020		IS911:X17613	
ESC_HA6418AA_AS.fasta	NODE_27_length_35083_cov_13.9245_ID_53	28275	29039	-	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_HA6418AA_AS.fasta	NODE_27_length_35083_cov_13.9245_ID_53	34840	35083	+	IS1F:X52538	1-244/768	=====..........	0/0	31.77	97.95	ISfinder_Feb_2020		IS1F:X52538	
ESC_HA6418AA_AS.fasta	NODE_28_length_33100_cov_16.55_ID_55	1	87	+	IS3:X02311	1172-1258/1258	.............==	0/0	6.92	100.00	ISfinder_Feb_2020		IS3:X02311	
ESC_HA6418AA_AS.fasta	NODE_29_length_32229_cov_13.8236_ID_57	1	134	-	IS10L:J01829	1-134/1329	==.............	0/0	10.08	97.76	ISfinder_Feb_2020		IS10L:J01829	
ESC_HA6418AA_AS.fasta	NODE_2_length_629485_cov_12.1595_ID_3	433502	433624	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_HA6418AA_AS.fasta	NODE_30_length_31923_cov_11.2175_ID_59	2813	2974	+	ISEc5:L02372	621-783/1291	......==/=.....	1/1	12.55	89.57	ISfinder_Feb_2020		ISEc5:L02372	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	7408	7657	+	IS682:NC_002695	10-260/2533	==....../......	3/3	9.83	94.44	ISfinder_Feb_2020		IS682:NC_002695	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	11278	11367	+	IS3H:CP000035	1173-1261/1261	......../.....=	1/1	7.06	88.89	ISfinder_Feb_2020		IS3H:CP000035	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	16454	17091	-	ISEc76:NZ_CP019028	721-1362/1368	.......=/======	4/4	46.64	91.28	ISfinder_Feb_2020		ISEc76:NZ_CP019028	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	20210	20684	+	ISEc48:ADUS01000070	8-484/1336	======../......	2/2	35.55	85.74	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	20670	21336	+	ISEc48:ADUS01000070	629-1298/1336	......==/======	3/5	49.85	91.95	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	24449	24698	+	ISSfl3:AL391753	1-249/2729	==....../......	2/5	9.05	76.19	ISfinder_Feb_2020		ISSfl3:AL391753	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	24772	24832	+	ISEc8:NC_004431	1-61/2442	=..............	0/0	2.50	98.36	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_33_length_25158_cov_14.0615_ID_65	24833	25158	+	IS2:M18426	1-326/1331	====...........	0/0	24.49	98.47	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	88	253	-	IS640:HE616528	1965-2130/2130	.............==	0/0	7.79	99.40	ISfinder_Feb_2020		IS640:HE616528	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	253	677	-	IS21:X14793	1-425/2131	===............	0/0	19.94	99.29	ISfinder_Feb_2020		IS21:X14793	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	8668	9033	-	IS1351:Z83734	841-1207/1207	......../.=====	1/1	30.32	76.84	ISfinder_Feb_2020		IS1351:Z83734	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	9034	10343	+	IS629:X51586	1-1310/1310	===============	0/0	100.00	97.79	ISfinder_Feb_2020		IS629:X51586	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	10360	10444	-	IS1351:Z83734	743-827/1207	.........==....	0/0	7.04	88.23	ISfinder_Feb_2020		IS1351:Z83734	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	10441	10774	-	IS911:X17613	900-1250/1250	......../..====	3/17	26.72	92.88	ISfinder_Feb_2020		IS911:X17613	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	10808	11145	+	ISEhe3:AF327445	868-1229/1229	......../.=====	5/24	27.50	78.18	ISfinder_Feb_2020		ISEhe3:AF327445	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	16501	16587	+	ISCro3:[]	1-87/1430	=..............	0/0	6.08	90.81	ISfinder_Feb_2020		ISCro3:[]	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	16586	16920	+	IS200C:NC_004431	1-335/709	========.......	0/0	47.25	99.70	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	19924	20069	-	IS2:M18426	1020-1165/1331	...........===.	0/0	10.97	93.84	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_35_length_23000_cov_18.0395_ID_69	22658	23000	-	IS2:M18426	989-1331/1331	...........====	0/0	25.77	98.25	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_36_length_22692_cov_14.3507_ID_71	4325	4984	+	IS200C:NC_004431	12-673/709	========/======	2/2	93.09	95.77	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_36_length_22692_cov_14.3507_ID_71	9116	9792	-	ISEc23:[]	262-942/2532	.=====../......	4/10	26.62	83.92	ISfinder_Feb_2020		ISEc23:[]	
ESC_HA6418AA_AS.fasta	NODE_36_length_22692_cov_14.3507_ID_71	10019	11276	+	ISEc31:NC_011751	1-1258/1258	===============	0/0	100.00	99.52	ISfinder_Feb_2020		ISEc31:NC_011751	
ESC_HA6418AA_AS.fasta	NODE_36_length_22692_cov_14.3507_ID_71	11606	11979	-	IS629:X51586	1-375/1310	=====.../......	4/7	28.32	90.74	ISfinder_Feb_2020		IS629:X51586	
ESC_HA6418AA_AS.fasta	NODE_36_length_22692_cov_14.3507_ID_71	12424	12561	-	IS200C:NC_004431	572-709/709	............===	0/0	19.46	97.83	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_36_length_22692_cov_14.3507_ID_71	17320	18711	+	ISEc13:DQ388534	1-1392/1550	==============.	0/0	89.81	96.19	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_HA6418AA_AS.fasta	NODE_36_length_22692_cov_14.3507_ID_71	18751	19817	-	IS1414:AF143819	1-1067/1314	========/====..	4/4	81.05	81.48	ISfinder_Feb_2020		IS1414:AF143819	
ESC_HA6418AA_AS.fasta	NODE_37_length_22001_cov_14.3121_ID_73	1	87	-	ISSfl10:NC_004741	1-87/1237	==.............	0/0	7.03	100.00	ISfinder_Feb_2020		ISSfl10:NC_004741	
ESC_HA6418AA_AS.fasta	NODE_37_length_22001_cov_14.3121_ID_73	21653	22001	+	IS1A:X52534	1-349/768	=======........	0/0	45.44	100.00	ISfinder_Feb_2020		IS1A:X52534	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	1	87	-	ISSfl10:NC_004741	1-87/1237	==.............	0/0	7.03	100.00	ISfinder_Feb_2020		ISSfl10:NC_004741	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	88	878	+	ISEc52:HG941718	454-1246/1250	.....===/======	2/2	63.28	97.48	ISfinder_Feb_2020		ISEc52:HG941718	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	9553	10320	+	IS1F:X52538	1-768/768	===============	0/0	100.00	99.61	ISfinder_Feb_2020		IS1F:X52538	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	10391	10628	+	IS3:X02311	1-238/1258	===...../......	3/6	18.68	88.38	ISfinder_Feb_2020		IS3:X02311	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	10633	10744	+	IS3F:CU928158	1134-1245/1258	.............==	0/0	8.90	87.50	ISfinder_Feb_2020		IS3F:CU928158	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	11428	11580	-	IS102:J01728	859-1021/1057	......../...===	1/10	14.47	76.07	ISfinder_Feb_2020		IS102:J01728	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	11619	11792	-	IS629:X51586	1137-1310/1310	.............==	0/0	13.28	96.55	ISfinder_Feb_2020		IS629:X51586	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	13634	13857	-	ISEc8:NC_004431	2219-2442/2442	.............==	0/0	9.17	98.66	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_38_length_18995_cov_13.727_ID_75	13853	14660	-	ISEc8:NC_004431	1263-2070/2442	.......======..	0/0	33.09	99.26	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_39_length_15489_cov_14.9051_ID_77	6811	7161	-	IS2:M18426	1-351/1331	====...........	0/0	26.37	94.87	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_39_length_15489_cov_14.9051_ID_77	9585	9694	+	ISSham1:NC_008700	517-626/626	............===	0/0	17.57	81.82	ISfinder_Feb_2020		ISSham1:NC_008700	
ESC_HA6418AA_AS.fasta	NODE_3_length_360816_cov_13.2498_ID_5	353272	353491	-	ISKpn42:CP025642	942-1161/1161	............===	0/0	18.95	85.00	ISfinder_Feb_2020		ISKpn42:CP025642	
ESC_HA6418AA_AS.fasta	NODE_40_length_12602_cov_16.8674_ID_79	12359	12602	+	IS1A:X52534	1-244/768	=====..........	0/0	31.77	100.00	ISfinder_Feb_2020		IS1A:X52534	
ESC_HA6418AA_AS.fasta	NODE_41_length_10846_cov_15.525_ID_81	1	343	+	IS2:M18426	989-1331/1331	...........====	0/0	25.77	95.92	ISfinder_Feb_2020		IS2:M18426	
ESC_HA6418AA_AS.fasta	NODE_41_length_10846_cov_15.525_ID_81	344	1169	+	ISEc8:NC_004431	57-882/2442	======.........	0/0	33.82	98.91	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_41_length_10846_cov_15.525_ID_81	1170	1388	-	ISEc47:AIFX01000063	2323-2541/2541	.............==	0/0	8.62	99.54	ISfinder_Feb_2020		ISEc47:AIFX01000063	
ESC_HA6418AA_AS.fasta	NODE_41_length_10846_cov_15.525_ID_81	1388	2834	+	ISEc45:NC_004431	1-1447/1447	===============	0/0	100.00	99.93	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_HA6418AA_AS.fasta	NODE_41_length_10846_cov_15.525_ID_81	2819	5127	-	ISEc23:[]	1-2329/2532	========/=====.	3/22	91.15	97.60	ISfinder_Feb_2020		ISEc23:[]	
ESC_HA6418AA_AS.fasta	NODE_41_length_10846_cov_15.525_ID_81	5128	6395	+	ISEch14:CP002038	368-1634/1666	...=====/======	3/3	75.99	79.67	ISfinder_Feb_2020		ISEch14:CP002038	
