#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_19_length_98726_cov_13.795951	4056	9005	-	Tn2:KT002541	1-4950/4950	===============	0/0	100.00	99.96	ISfinder_Feb_2020		Tn2:KT002541	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_19_length_98726_cov_13.795951	23708	25034	+	IS4321R:U67194	1-1326/1326	========/======	1/1	100.00	99.70	ISfinder_Feb_2020		IS4321R:U67194	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_19_length_98726_cov_13.795951	37733	38961	+	ISEhe3:AF327445	1-1229/1229	========/======	2/2	99.92	95.94	ISfinder_Feb_2020		ISEhe3:AF327445	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_1_length_506332_cov_18.455345	192006	192714	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_20_length_85712_cov_14.600397	3590	4646	-	IS903B:X02527	1-1057/1057	===============	0/0	100.00	96.12	ISfinder_Feb_2020		IS903B:X02527	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_20_length_85712_cov_14.600397	63105	64161	-	IS903B:X02527	1-1057/1057	===============	0/0	100.00	96.88	ISfinder_Feb_2020		IS903B:X02527	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_21_length_76934_cov_9.717591	70620	72131	-	IS91:X17114	1-1512/1829	========/====..	2/2	82.61	97.42	ISfinder_Feb_2020		IS91:X17114	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_21_length_76934_cov_9.717591	72158	73378	-	IS30:X00792	1-1221/1221	===============	0/0	100.00	99.75	ISfinder_Feb_2020		IS30:X00792	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_27_length_31720_cov_14.202545	7065	8507	+	ISKpn8:EF382672	1-1443/1443	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISKpn8:EF382672	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_27_length_31720_cov_14.202545	8596	10191	+	ISEsa1:LCWW01000014	1-1596/1609	===============	0/0	99.19	91.67	ISfinder_Feb_2020		ISEsa1:LCWW01000014	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_27_length_31720_cov_14.202545	10192	11684	+	ISEsa2:MF344582	1-1493/1493	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEsa2:MF344582	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_29_length_26302_cov_20.777268	12542	14080	-	ISEc13:DQ388534	1-1550/1550	========/======	4/13	99.23	96.52	ISfinder_Feb_2020		ISEc13:DQ388534	
ESC_FB9215AA_AS.fasta	ESC_FB9215AA_AS_NODE_2_length_496209_cov_18.610371	54521	54643	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
