#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_1_length_551221_cov_5.618021	55819	57949	-	IS21:X14793	1-2131/2131	===============	0/0	100.00	99.72	ISfinder_Feb_2020		IS21:X14793	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_21_length_69163_cov_2.824261	70	2479	+	ISEc10:NC_004431	1-2410/2410	===============	0/0	100.00	99.92	ISfinder_Feb_2020		ISEc10:NC_004431	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_21_length_69163_cov_2.824261	26048	26867	-	IS26:X00011	1-820/820	===============	0/0	100.00	99.51	ISfinder_Feb_2020		IS26:X00011	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_24_length_63588_cov_7.361880	3753	5009	-	ISKpn37:KU318421	1-1253/1253	========/======	2/4	100.00	97.30	ISfinder_Feb_2020		ISKpn37:KU318421	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_24_length_63588_cov_7.361880	49189	50498	-	IS1203:U06468	1-1310/1310	===============	0/0	100.00	95.04	ISfinder_Feb_2020		IS1203:U06468	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_2_length_442522_cov_5.636668	246688	246810	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_30_length_31098_cov_5.571576	4829	6550	-	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.18	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_30_length_31098_cov_5.571576	9643	11101	+	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.93	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_30_length_31098_cov_5.571576	13128	15081	-	IS100kyp:U59875	1-1954/1954	===============	0/0	100.00	99.18	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_33_length_19077_cov_2.979724	15950	17834	+	ISEc53:HG941718	1-1885/1885	===============	0/0	100.00	99.89	ISfinder_Feb_2020		ISEc53:HG941718	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_35_length_17349_cov_7.672769	14910	17250	+	IS682:NC_002695	1-2330/2533	========/=====.	2/11	91.99	96.11	ISfinder_Feb_2020		IS682:NC_002695	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_3_length_358007_cov_6.741256	224075	224197	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_5_length_275205_cov_6.473080	82751	83459	+	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_62_length_1421_cov_13.052553	1	1421	-	ISEc45:NC_004431	1-1421/1447	===============	0/0	98.20	99.93	ISfinder_Feb_2020		ISEc45:NC_004431	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_67_length_768_cov_94.042710	1	768	-	IS1A:X52534	1-768/768	===============	0/0	100.00	99.22	ISfinder_Feb_2020		IS1A:X52534	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_9_length_230010_cov_5.937344	161	1591	+	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.51	ISfinder_Feb_2020		IS1397:X92970	
ESC_IB7591AA_AS.fasta	ESC_IB7591AA_AS_NODE_9_length_230010_cov_5.937344	1600	2883	+	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
