#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_XA1359AA_AS.fasta	NODE_10_length_186135_cov_16.067080	127069	127191	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_XA1359AA_AS.fasta	NODE_16_length_101303_cov_13.685820	63471	63593	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_XA1359AA_AS.fasta	NODE_2_length_393224_cov_14.483563	357557	358847	+	ISEc1:L02370	1-1291/1291	===============	0/0	100.00	96.05	ISfinder_Feb_2020		ISEc1:L02370	
ESC_XA1359AA_AS.fasta	NODE_2_length_393224_cov_14.483563	358893	360141	+	ISEc1:L02370	35-1291/1291	========/======	8/12	96.59	89.59	ISfinder_Feb_2020		ISEc1:L02370	
ESC_XA1359AA_AS.fasta	NODE_35_length_25333_cov_16.215595	3729	4975	+	IS911:X17613	1-1250/1250	========/======	3/3	99.76	98.80	ISfinder_Feb_2020		IS911:X17613	
ESC_XA1359AA_AS.fasta	NODE_35_length_25333_cov_16.215595	7486	8749	-	ISSd1:M21947	1-1266/1266	========/======	1/2	99.84	99.21	ISfinder_Feb_2020		ISSd1:M21947	
ESC_XA1359AA_AS.fasta	NODE_35_length_25333_cov_16.215595	18215	18982	+	IS1F:X52538	1-768/768	===============	0/0	100.00	99.48	ISfinder_Feb_2020		IS1F:X52538	
ESC_XA1359AA_AS.fasta	NODE_37_length_19193_cov_14.165671	119	1313	+	IS5:J01735	1-1195/1195	===============	0/0	100.00	99.67	ISfinder_Feb_2020		IS5:J01735	
ESC_XA1359AA_AS.fasta	NODE_41_length_11334_cov_16.717521	4653	5417	-	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_XA1359AA_AS.fasta	NODE_42_length_10396_cov_17.871655	9024	10277	-	ISEc48:ADUS01000070	63-1316/1336	========/======	2/2	93.79	95.14	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_XA1359AA_AS.fasta	NODE_45_length_7996_cov_14.248953	2124	3303	+	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_XA1359AA_AS.fasta	NODE_63_length_2581_cov_57.219740	1	2581	-	ISEc12:DQ269483	1-2581/2581	===============	0/0	100.00	99.92	ISfinder_Feb_2020		ISEc12:DQ269483	
ESC_XA1359AA_AS.fasta	NODE_6_length_351159_cov_15.063691	192010	192718	-	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_XA1359AA_AS.fasta	NODE_75_length_1679_cov_15.902564	118	1496	-	IS1397:X92970	1-1380/1432	========/======	1/1	96.30	99.49	ISfinder_Feb_2020		IS1397:X92970	
ESC_XA1359AA_AS.fasta	NODE_82_length_1310_cov_43.052057	1	1310	+	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.49	ISfinder_Feb_2020		IS1203:U06468	
ESC_XA1359AA_AS.fasta	NODE_98_length_820_cov_48.700428	1	820	+	IS26:X00011	1-820/820	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS26:X00011	
