#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_JA4566AA_AS.fasta	NODE_100_length_820_cov_60.0492	1	820	-	IS26:X00011	1-820/820	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS26:X00011	
ESC_JA4566AA_AS.fasta	NODE_15_length_122093_cov_6.32196	103390	104157	-	IS1F:X52538	1-768/768	===============	0/0	100.00	99.61	ISfinder_Feb_2020		IS1F:X52538	
ESC_JA4566AA_AS.fasta	NODE_15_length_122093_cov_6.32196	112832	114074	-	IS911:X17613	1-1246/1250	========/======	3/3	99.44	97.03	ISfinder_Feb_2020		IS911:X17613	
ESC_JA4566AA_AS.fasta	NODE_15_length_122093_cov_6.32196	117684	119109	+	IS4:J01733	1-1426/1426	===============	0/0	100.00	99.86	ISfinder_Feb_2020		IS4:J01733	
ESC_JA4566AA_AS.fasta	NODE_17_length_112898_cov_5.76679	4	1287	+	IS621:NC_009800	36-1335/1425	========/======	5/16	90.11	95.92	ISfinder_Feb_2020		IS621:NC_009800	
ESC_JA4566AA_AS.fasta	NODE_1_length_625178_cov_5.56972	194831	194953	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_JA4566AA_AS.fasta	NODE_22_length_43605_cov_6.74876	19246	20557	+	ISEc48:ADUS01000070	5-1316/1336	========/======	2/2	98.13	95.28	ISfinder_Feb_2020		ISEc48:ADUS01000070	
ESC_JA4566AA_AS.fasta	NODE_22_length_43605_cov_6.74876	33613	34922	-	IS1203:U06468	1-1310/1310	===============	0/0	100.00	96.41	ISfinder_Feb_2020		IS1203:U06468	
ESC_JA4566AA_AS.fasta	NODE_27_length_31788_cov_5.66349	5622	7343	-	ISEc38:AJ303141	1-1722/1722	===============	0/0	100.00	95.24	ISfinder_Feb_2020		ISEc38:AJ303141	
ESC_JA4566AA_AS.fasta	NODE_27_length_31788_cov_5.66349	10436	11894	+	ISEc20:NZ_AAJU01000001	1-1459/1459	===============	0/0	100.00	99.86	ISfinder_Feb_2020		ISEc20:NZ_AAJU01000001	
ESC_JA4566AA_AS.fasta	NODE_27_length_31788_cov_5.66349	14140	15787	-	IS100kyp:U59875	1-1648/1954	=============..	0/0	84.34	99.27	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_JA4566AA_AS.fasta	NODE_2_length_485954_cov_5.38324	425788	427218	-	IS1397:X92970	1-1432/1432	========/======	1/1	99.93	99.58	ISfinder_Feb_2020		IS1397:X92970	
ESC_JA4566AA_AS.fasta	NODE_32_length_23675_cov_6.55397	12660	13969	-	IS629:X51586	1-1310/1310	===============	0/0	100.00	97.79	ISfinder_Feb_2020		IS629:X51586	
ESC_JA4566AA_AS.fasta	NODE_42_length_7835_cov_6.81875	1025	1789	-	ISEc30:NC_011603	1-766/766	========/======	1/1	99.87	97.00	ISfinder_Feb_2020		ISEc30:NC_011603	
ESC_JA4566AA_AS.fasta	NODE_43_length_7638_cov_7.43224	1624	2803	+	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_JA4566AA_AS.fasta	NODE_5_length_355688_cov_5.81849	312059	312181	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_JA4566AA_AS.fasta	NODE_60_length_4318_cov_7.04658	90	1353	+	ISSd1:M21947	1-1266/1266	========/======	1/2	99.84	99.21	ISfinder_Feb_2020		ISSd1:M21947	
ESC_JA4566AA_AS.fasta	NODE_7_length_264072_cov_5.91652	71427	72135	+	IS200C:NC_004431	1-709/709	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
