#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_10_length_124197_cov_17.638221	61119	62159	-	ompA	1-1041/1041	===============	0/0	100.00	100.00	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_11_length_120497_cov_16.709264	111986	112441	-	csgB	1-456/456	========/======	2/2	99.78	84.03	vfdb	NP_460114	(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_11_length_120497_cov_16.709264	113194	113844	+	csgD	1-651/651	===============	0/0	100.00	81.41	vfdb	NP_460113	(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_11_length_120497_cov_16.709264	114263	114679	+	csgF	1-417/417	========/======	3/8	99.04	81.00	vfdb	NP_460111	(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_11_length_120497_cov_16.709264	114706	115539	+	csgG	1-834/834	===============	0/0	100.00	82.97	vfdb	NP_460110	(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	78584	80605	-	fyuA	1-2022/2022	===============	0/0	100.00	99.80	vfdb	NP_405467	(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	80736	82313	-	ybtE	1-1578/1578	===============	0/0	100.00	99.87	vfdb	NP_405468	(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	82317	83120	-	ybtT	1-804/804	===============	0/0	100.00	99.63	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	83117	84217	-	ybtU	1-1101/1101	===============	0/0	100.00	99.82	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	84214	93704	-	irp1	1-9492/9492	========/======	1/1	99.99	99.23	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	93792	99903	-	irp2	1-6108/6108	========/======	1/4	100.00	99.70	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	100094	101053	-	ybtA	1-960/960	===============	0/0	100.00	99.48	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	101220	103022	+	ybtP	1-1803/1803	===============	0/0	100.00	99.78	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	103009	104811	+	ybtQ	1-1803/1803	===============	0/0	100.00	99.67	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	104804	106084	+	ybtX	1-1281/1281	===============	0/0	100.00	99.69	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_12_length_118848_cov_19.191401	106112	107416	+	ybtS	1-1305/1305	===============	0/0	100.00	99.77	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_136_length_2186_cov_13.572118	564	1115	-	papX	1-552/552	===============	0/0	100.00	97.46	vfdb	NP_755457	(papX) PapX protein regulates flagellum synthesis to repress motility [P fimbriae (CVF425)] [Escherichia coli CFT073]	
ESC_GB6540AA_AS.fasta	ESC_GB6540AA_AS_NODE_16_length_113438_cov_20.386323	36991	38419	-	aslA	1-1428/1428	========/======	1/1	100.00	98.67	vfdb	AAG10151	(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218]	
