#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_SA8243AA_AS.fasta	NODE_100_length_2312_cov_3.852794	2205	2310	+	IS10L:J01829	1-106/1329	==.............	0/0	7.98	98.11	ISfinder_Feb_2020		IS10L:J01829	
ESC_SA8243AA_AS.fasta	NODE_103_length_2112_cov_4.720640	1	348	-	IS2:M18426	1-348/1331	====...........	0/0	26.15	99.42	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_103_length_2112_cov_4.720640	1433	1573	-	IS200:X56834	1-143/709	===...../......	2/4	19.75	76.39	ISfinder_Feb_2020		IS200:X56834	
ESC_SA8243AA_AS.fasta	NODE_105_length_1954_cov_5.860011	1	1954	+	IS100kyp:U59875	1-1954/1954	===============	0/0	100.00	99.49	ISfinder_Feb_2020		IS100kyp:U59875	
ESC_SA8243AA_AS.fasta	NODE_106_length_1856_cov_3.110602	1	111	+	IS100:Z32853	1843-1953/1953	..............=	0/0	5.68	100.00	ISfinder_Feb_2020		IS100:Z32853	
ESC_SA8243AA_AS.fasta	NODE_107_length_1818_cov_3.727006	3	110	-	IS2:M18426	1-108/1331	==.............	0/0	8.11	97.22	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_109_length_1648_cov_8.095641	1	295	+	IS911:X17613	954-1250/1250	......../..====	2/2	23.60	96.63	ISfinder_Feb_2020		IS911:X17613	
ESC_SA8243AA_AS.fasta	NODE_109_length_1648_cov_8.095641	292	376	+	IS1351:Z83734	743-827/1207	.........==....	0/0	7.04	88.23	ISfinder_Feb_2020		IS1351:Z83734	
ESC_SA8243AA_AS.fasta	NODE_109_length_1648_cov_8.095641	393	1648	-	IS629:X51586	55-1310/1310	===============	0/0	95.88	96.02	ISfinder_Feb_2020		IS629:X51586	
ESC_SA8243AA_AS.fasta	NODE_10_length_191864_cov_2.297216	191767	191864	-	IS200C:NC_004431	612-709/709	............===	0/0	13.82	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_SA8243AA_AS.fasta	NODE_113_length_1332_cov_5.414414	4	1330	+	IS4321R:U67194	1-1326/1326	========/======	1/1	100.00	99.70	ISfinder_Feb_2020		IS4321R:U67194	
ESC_SA8243AA_AS.fasta	NODE_114_length_1331_cov_20.218852	1	1331	-	IS2:M18426	1-1331/1331	===============	0/0	100.00	97.75	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_115_length_1329_cov_29.551724	1	1329	+	IS10R:J01829	1-1329/1329	===============	0/0	100.00	99.17	ISfinder_Feb_2020		IS10R:J01829	
ESC_SA8243AA_AS.fasta	NODE_118_length_1258_cov_5.011334	1	1258	+	IS3:X02311	1-1258/1258	===============	0/0	100.00	100.00	ISfinder_Feb_2020		IS3:X02311	
ESC_SA8243AA_AS.fasta	NODE_119_length_1255_cov_2.649476	2	1255	-	IS4:J01733	173-1426/1426	.==============	0/0	87.94	99.60	ISfinder_Feb_2020		IS4:J01733	
ESC_SA8243AA_AS.fasta	NODE_121_length_1206_cov_2.714155	167	929	-	IS1H:U15127	1-764/764	========/======	3/3	99.74	91.89	ISfinder_Feb_2020		IS1H:U15127	
ESC_SA8243AA_AS.fasta	NODE_122_length_1155_cov_2.674330	4	108	+	IS629:X51586	1206-1310/1310	.............==	0/0	8.02	99.05	ISfinder_Feb_2020		IS629:X51586	
ESC_SA8243AA_AS.fasta	NODE_122_length_1155_cov_2.674330	109	1009	+	ISEc39:CP001855	414-1315/1315	....====/======	1/1	68.52	96.67	ISfinder_Feb_2020		ISEc39:CP001855	
ESC_SA8243AA_AS.fasta	NODE_123_length_1126_cov_3.018719	1	110	-	IS1203:U06468	1-110/1310	==.............	0/0	8.40	97.27	ISfinder_Feb_2020		IS1203:U06468	
ESC_SA8243AA_AS.fasta	NODE_123_length_1126_cov_3.018719	111	527	-	ISEic2:NC_012779	1-417/1315	=====..........	0/0	31.71	84.65	ISfinder_Feb_2020		ISEic2:NC_012779	
ESC_SA8243AA_AS.fasta	NODE_123_length_1126_cov_3.018719	1019	1126	-	IS2:M18426	1224-1331/1331	.............==	0/0	8.11	100.00	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_124_length_1060_cov_2.658588	1	111	-	IS21:X14793	1-111/2131	=..............	0/0	5.21	100.00	ISfinder_Feb_2020		IS21:X14793	
ESC_SA8243AA_AS.fasta	NODE_124_length_1060_cov_2.658588	112	950	+	ISCro1:[]	794-1630/2699	....====/=.....	2/4	30.97	90.00	ISfinder_Feb_2020		ISCro1:[]	
ESC_SA8243AA_AS.fasta	NODE_124_length_1060_cov_2.658588	957	1060	-	IS100:Z32853	1850-1953/1953	..............=	0/0	5.33	100.00	ISfinder_Feb_2020		IS100:Z32853	
ESC_SA8243AA_AS.fasta	NODE_126_length_902_cov_1.767383	1	902	-	ISEc23:[]	743-1644/2532	....======.....	0/0	35.62	96.23	ISfinder_Feb_2020		ISEc23:[]	
ESC_SA8243AA_AS.fasta	NODE_128_length_828_cov_1.622036	1	895	-	ISEc8:NC_004431	506-1349/2442	..======/......	1/51	34.56	93.86	ISfinder_Feb_2020		ISEc8:NC_004431	
ESC_SA8243AA_AS.fasta	NODE_12_length_162853_cov_2.430159	1	107	-	IS2:M18426	1-107/1331	==.............	0/0	8.04	97.20	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_130_length_763_cov_1.725460	1	588	-	ISEc23:[]	1-620/2532	====..../......	1/32	23.22	91.94	ISfinder_Feb_2020		ISEc23:[]	
ESC_SA8243AA_AS.fasta	NODE_13_length_161272_cov_2.508039	117645	117767	-	MITEEc1:U00096	1-123/123	===============	0/0	100.00	98.37	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_SA8243AA_AS.fasta	NODE_13_length_161272_cov_2.508039	129557	129647	+	IS621:NC_009800	1335-1425/1425	..............=	0/0	6.39	87.91	ISfinder_Feb_2020		IS621:NC_009800	
ESC_SA8243AA_AS.fasta	NODE_144_length_353_cov_2.301653	1	145	-	IS4:J01733	1254-1398/1426	.............==	0/0	10.17	98.62	ISfinder_Feb_2020		IS4:J01733	
ESC_SA8243AA_AS.fasta	NODE_144_length_353_cov_2.301653	135	353	-	IS4:J01733	765-983/1426	........===....	0/0	15.36	96.80	ISfinder_Feb_2020		IS4:J01733	
ESC_SA8243AA_AS.fasta	NODE_145_length_333_cov_3.770270	1	333	+	IS2:M18426	525-857/1331	.....=====.....	0/0	25.02	93.99	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_14_length_160216_cov_2.497755	1	115	-	IS200C:NC_004431	1-115/709	===............	0/0	16.22	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_SA8243AA_AS.fasta	NODE_14_length_160216_cov_2.497755	26184	26263	-	IS621:NC_009800	1337-1416/1425	..............=	0/0	5.61	93.75	ISfinder_Feb_2020		IS621:NC_009800	
ESC_SA8243AA_AS.fasta	NODE_151_length_262_cov_2.403974	183	262	+	IS911:X17613	763-842/1250	.........==....	0/0	6.40	100.00	ISfinder_Feb_2020		IS911:X17613	
ESC_SA8243AA_AS.fasta	NODE_15_length_145411_cov_2.424370	1	111	+	IS2:M18426	1221-1331/1331	.............==	0/0	8.34	93.69	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_16_length_129256_cov_2.403786	58732	58820	+	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_SA8243AA_AS.fasta	NODE_17_length_119920_cov_2.655084	1	110	+	IS4:J01733	1317-1426/1426	.............==	0/0	7.71	100.00	ISfinder_Feb_2020		IS4:J01733	
ESC_SA8243AA_AS.fasta	NODE_17_length_119920_cov_2.655084	99078	99845	+	IS1A:X52534	1-768/768	===============	0/0	100.00	99.87	ISfinder_Feb_2020		IS1A:X52534	
ESC_SA8243AA_AS.fasta	NODE_17_length_119920_cov_2.655084	104338	105517	-	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_SA8243AA_AS.fasta	NODE_17_length_119920_cov_2.655084	119835	119920	+	ISSso4:NC_007385	1-86/2638	=..............	0/0	3.26	100.00	ISfinder_Feb_2020		ISSso4:NC_007385	
ESC_SA8243AA_AS.fasta	NODE_1_length_480169_cov_2.252863	1	109	+	IS4321R:U67194	1218-1326/1326	.............==	0/0	8.22	100.00	ISfinder_Feb_2020		IS4321R:U67194	
ESC_SA8243AA_AS.fasta	NODE_1_length_480169_cov_2.252863	280886	281008	+	MITEEc1:U00096	1-123/123	===============	0/0	100.00	99.19	ISfinder_Feb_2020		MITEEc1:U00096	
ESC_SA8243AA_AS.fasta	NODE_20_length_106829_cov_2.250098	1	111	-	IS2:M18426	1-111/1331	==.............	0/0	8.34	96.40	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_20_length_106829_cov_2.250098	106125	106829	-	IS200C:NC_004431	5-709/709	===============	0/0	99.44	95.46	ISfinder_Feb_2020		IS200C:NC_004431	
ESC_SA8243AA_AS.fasta	NODE_21_length_105745_cov_2.396823	105638	105745	-	IS2:M18426	1224-1331/1331	.............==	0/0	8.11	93.52	ISfinder_Feb_2020		IS2:M18426	
ESC_SA8243AA_AS.fasta	NODE_22_length_88501_cov_2.279760	1	111	+	IS10L:J01829	1219-1329/1329	.............==	0/0	8.35	98.20	ISfinder_Feb_2020		IS10L:J01829	
ESC_SA8243AA_AS.fasta	NODE_23_length_86463_cov_2.032541	1	1461	-	ISCro1:[]	1-1461/2699	=========......	0/0	54.13	98.63	ISfinder_Feb_2020		ISCro1:[]	
ESC_SA8243AA_AS.fasta	NODE_23_length_86463_cov_2.032541	85184	86522	-	ISCro1:[]	1361-2699/2699	.......========	0/0	49.61	97.39	ISfinder_Feb_2020		ISCro1:[]	
ESC_SA8243AA_AS.fasta	NODE_24_length_70106_cov_2.139724	1	110	-	IS1X2:Z11605	1-110/768	===............	0/0	14.32	100.00	ISfinder_Feb_2020		IS1X2:Z11605	
ESC_SA8243AA_AS.fasta	NODE_25_length_48635_cov_2.846056	1918	2725	+	ISEc8:NC_004431	1263-2070/2442	.......======..	0/0	33.09	99.38	ISfinder_Feb_2020		ISEc8:NC_004431	
