#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_RA0152AA_AS.fasta	NODE_145_length_1676_cov_82.55	1	237	+	Col(MG828)_1	26-262/262	.==============	0/0	90.46	91.14	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
ESC_RA0152AA_AS.fasta	NODE_149_length_1581_cov_16.9615	414	675	-	IncFII(pRSB107)_1_pRSB107	1-261/261	========/======	1/1	100.00	96.18	plasmidfinder	AJ851089	IncFII(pRSB107)_1_pRSB107_AJ851089	
ESC_RA0152AA_AS.fasta	NODE_150_length_1581_cov_12.6025	422	680	-	IncFII(29)_1_pUTI89	1-259/259	===============	0/0	100.00	99.61	plasmidfinder	CP003035	IncFII(29)_1_pUTI89_CP003035	
ESC_RA0152AA_AS.fasta	NODE_25_length_76219_cov_16.0059	7810	7969	-	IncB/O/K/Z_2	1-160/160	===============	0/0	100.00	100.00	plasmidfinder	GU256641	IncB/O/K/Z_2__GU256641	
ESC_RA0152AA_AS.fasta	NODE_63_length_15167_cov_29.2246	249	402	+	Col156_1	1-154/154	===============	0/0	100.00	94.81	plasmidfinder	NC_009781	Col156_1__NC_009781	
ESC_RA0152AA_AS.fasta	NODE_63_length_15167_cov_29.2246	5416	5569	+	Col156_1	1-154/154	===============	0/0	100.00	98.70	plasmidfinder	NC_009781	Col156_1__NC_009781	
ESC_RA0152AA_AS.fasta	NODE_66_length_14057_cov_11.0729	8226	8907	+	IncFIB(AP001918)_1	1-682/682	===============	0/0	100.00	96.63	plasmidfinder	AP001918	IncFIB(AP001918)_1__AP001918	
ESC_RA0152AA_AS.fasta	NODE_90_length_5712_cov_28.9864	3951	4070	-	ColRNAI_1	13-130/130	.=======/======	2/2	90.77	89.17	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_RA0152AA_AS.fasta	NODE_91_length_5291_cov_31.8329	3579	3709	-	ColRNAI_1	1-130/130	========/======	1/1	100.00	87.79	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
ESC_RA0152AA_AS.fasta	NODE_99_length_4191_cov_35.8723	965	1166	+	Col8282_1	4-205/207	===============	0/0	97.58	90.10	plasmidfinder	DQ995352	Col8282_1__DQ995352	
